ticker,trade_date,expiry,current,strike,delta,c_date,c_bid,c_ask,c_mid,f_date,f_bid,f_ask,f_mid,gross_profit,s_yield,a_yield,target_notional,contracts,actual_notional,total_profit,ending_total
MNT,2007-04-26,2007-06-16,40.5,40.0,-0.0123,2007-04-26,1.3,1.4,1.333,2007-06-16,0.1,0.15,0.134,1.1989999999999998,0.0333,0.2601,67306.81,17.0,68000.0,2038.3,69345.11
BGC,2007-04-26,2007-06-16,57.44,55.0,-0.0425,2007-04-26,1.9,2.15,1.982,2007-06-16,0.0,0.05,0.034,1.948,0.036,0.2836,67306.81,12.0,66000.0,2337.6,69644.41
BEBE,2007-04-30,2007-06-16,17.82,17.5,-0.018,2007-04-30,0.9,1.0,0.933,2007-06-16,1.25,1.35,1.317,-0.3839999999999999,0.0533,0.4885,67306.81,38.0,66500.0,-1459.2,65847.61
QLGC,2007-04-30,2007-06-16,18.05,17.5,-0.0305,2007-04-30,0.5,0.6,0.533,2007-06-16,0.35,0.45,0.417,0.11600000000000005,0.0305,0.2588,67306.81,38.0,66500.0,440.8,67747.61
TPX,2007-05-02,2007-06-16,26.12,25.0,-0.0429,2007-05-02,0.75,0.9,0.8,2007-06-16,0.0,0.05,0.034,0.766,0.032,0.2866,67306.81,27.0,67500.0,2068.2,69375.01
NTRI,2007-04-26,2007-06-16,63.4,60.0,-0.0536,2007-04-26,3.4,3.7,3.499,2007-06-16,0.0,0.05,0.034,3.4650000000000003,0.0583,0.4918,67306.81,11.0,66000.0,3811.5,71118.31
HRB,2007-04-26,2007-06-16,22.94,22.5,-0.0192,2007-04-26,0.75,0.9,0.8,2007-06-16,0.1,0.2,0.167,0.633,0.0356,0.2801,67306.81,30.0,67500.0,1899.0,69205.81
CMI,2007-04-26,2007-06-16,86.33,85.0,-0.0154,2007-04-26,3.8,4.1,3.899,2007-06-16,0.0,0.05,0.034,3.865,0.0459,0.3727,67306.81,8.0,68000.0,3092.0,70398.81
AMAT,2007-04-30,2007-06-16,19.35,19.0,-0.0181,2007-04-30,0.6,0.65,0.617,2007-06-16,0.0,0.05,0.034,0.583,0.0325,0.2776,67306.81,35.0,66500.0,2040.5,69347.31
VLO,2007-04-30,2007-06-16,71.46,70.0,-0.0204,2007-04-30,2.55,2.7,2.599,2007-06-16,0.0,0.05,0.034,2.5650000000000004,0.0371,0.3218,67306.81,10.0,70000.0,2565.0,69871.81
MTW,2007-04-26,2007-06-16,68.72,65.0,-0.0541,2007-04-26,2.1,2.3,2.166,2007-06-16,0.0,0.05,0.034,2.132,0.0333,0.2601,67306.81,10.0,65000.0,2132.0,69438.81
FTO,2007-04-26,2007-06-16,35.77,35.0,-0.0215,2007-04-26,1.25,1.3,1.267,2007-06-16,0.0,0.05,0.034,1.2329999999999999,0.0362,0.2853,67306.81,19.0,66500.0,2342.7,69649.51
CROX,2007-04-26,2007-06-16,53.54,50.0,-0.0661,2007-04-26,1.6,1.75,1.65,2007-06-16,4.3,4.5,4.434,-2.7840000000000003,0.033,0.2576,67306.81,13.0,65000.0,-3619.2,63687.61
RES,2007-04-26,2007-06-16,17.73,17.5,-0.013,2007-04-26,0.75,0.85,0.783,2007-06-16,1.2,1.35,1.3,-0.517,0.0447,0.3616,67306.81,38.0,66500.0,-1964.6,65342.21
VSEA,2007-04-26,2007-06-16,57.07,55.0,-0.0363,2007-04-26,2.7,2.75,2.717,2007-06-16,0.25,0.35,0.317,2.4,0.0494,0.4055,67306.81,12.0,66000.0,2880.0,70186.81
NVDA,2007-04-26,2007-06-16,33.29,32.5,-0.0237,2007-04-26,1.15,1.2,1.167,2007-06-16,0.0,0.05,0.034,1.133,0.0359,0.2827,67306.81,21.0,68250.0,2379.3,69686.11
CHRS,2007-04-26,2007-06-16,12.82,12.5,-0.025,2007-04-26,0.4,0.6,0.466,2007-06-16,0.55,0.75,0.684,-0.21800000000000003,0.0373,0.295,67306.81,54.0,67500.0,-1177.2,66129.61
BID,2007-04-26,2007-06-16,52.16,50.0,-0.0414,2007-04-26,1.8,1.95,1.85,2007-06-16,0.95,1.1,1.05,0.8,0.037,0.2923,67306.81,13.0,65000.0,1040.0,68346.81
GYI,2007-04-27,2007-06-16,51.88,50.0,-0.0362,2007-04-27,1.5,1.6,1.533,2007-06-16,0.2,0.35,0.3,1.2329999999999999,0.0307,0.2432,67306.81,13.0,65000.0,1602.9,68909.70999999999
DHI,2007-04-26,2007-06-16,23.16,22.5,-0.0285,2007-04-26,0.7,0.8,0.733,2007-06-16,1.15,1.2,1.183,-0.45000000000000007,0.0326,0.2541,67306.81,30.0,67500.0,-1350.0,65956.81
