ticker,trade_date,expiry,current,strike,delta,c_date,c_bid,c_ask,c_mid,f_date,f_bid,f_ask,f_mid,gross_profit,s_yield,a_yield,target_notional,contracts,actual_notional,total_profit,ending_total
AGN,2013-06-24,2013-07-20,84.79,82.5,-0.027,2013-06-24,3.0,3.2,3.066,2013-07-20,0.0,0.05,0.034,3.032,0.0372,0.6582,83368.94,10.0,82500.0,3032.0,86400.94
WLK,2013-06-24,2013-07-20,93.5,91.25,-0.0241,2013-06-24,2.4,3.9,2.895,2013-07-20,0.0,0.2,0.134,2.761,0.0317,0.5405,83368.94,9.0,82125.0,2484.9,85853.84
GT,2013-06-24,2013-07-20,14.37,14.0,-0.0257,2013-06-24,0.45,0.5,0.467,2013-07-20,0.0,0.05,0.034,0.43300000000000005,0.0334,0.576,83368.94,60.0,84000.0,2598.0,85966.94
APOL,2013-06-24,2013-07-20,18.97,18.0,-0.0511,2013-06-24,0.84,0.86,0.847,2013-07-20,0.01,0.02,0.017,0.83,0.0471,0.8913,83368.94,46.0,82800.0,3818.0,87186.94
FFIV,2013-06-24,2013-07-20,68.92,67.5,-0.0206,2013-06-24,2.58,2.62,2.593,2013-07-20,0.0,0.02,0.013,2.58,0.0384,0.685,83368.94,12.0,81000.0,3096.0,86464.94
NATI,2013-06-24,2013-07-20,26.66,25.0,-0.0623,2013-06-24,0.05,5.0,1.684,2013-07-20,0.0,0.05,0.034,1.65,0.0674,1.4673,83368.94,33.0,82500.0,5445.0,88813.94
BBBY,2013-06-24,2013-07-20,68.76,67.5,-0.0183,2013-06-24,2.09,2.11,2.097,2013-07-20,0.0,0.01,0.007,2.09,0.0311,0.5281,83368.94,12.0,81000.0,2508.0,85876.94
RAX,2013-06-24,2013-07-20,35.98,35.0,-0.0272,2013-06-24,1.45,1.55,1.483,2013-07-20,0.0,0.05,0.034,1.449,0.0424,0.7771,83368.94,24.0,84000.0,3477.6,86846.54000000001
ALGN,2013-06-24,2013-07-20,35.55,35.0,-0.0155,2013-06-24,1.35,1.55,1.416,2013-07-20,0.0,0.05,0.034,1.382,0.0405,0.7328,83368.94,24.0,84000.0,3316.8,86685.74
ATML,2013-06-24,2013-07-20,7.14,7.0,-0.0196,2013-06-24,0.35,0.4,0.366,2013-07-20,0.0,0.05,0.034,0.33199999999999996,0.0523,1.0256,83368.94,119.0,83300.0,3950.8,87319.74
SWI,2013-06-24,2013-07-20,38.77,37.5,-0.0328,2013-06-24,1.15,1.25,1.183,2013-07-20,0.0,0.05,0.034,1.149,0.0315,0.5364,83368.94,22.0,82500.0,2527.8,85896.74
MYGN,2013-06-24,2013-07-20,25.77,25.0,-0.0299,2013-06-24,0.9,1.05,0.95,2013-07-20,0.0,0.05,0.034,0.9159999999999999,0.038,0.676,83368.94,33.0,82500.0,3022.8,86391.74
NFLX,2013-06-24,2013-07-26,214.04,210.0,-0.0189,2013-06-24,15.35,17.4,16.026,2013-07-26,0.0,0.01,0.007,16.019,0.0763,1.2869,83368.94,4.0,84000.0,6407.6,89776.54000000001
SWKS,2013-06-24,2013-07-20,21.26,21.0,-0.0122,2013-06-24,1.05,1.15,1.083,2013-07-20,0.0,0.05,0.034,1.049,0.0516,1.007,83368.94,40.0,84000.0,4196.0,87564.94
GPOR,2013-06-24,2013-07-20,46.95,45.0,-0.0415,2013-06-24,1.55,1.7,1.6,2013-07-20,0.0,0.05,0.034,1.566,0.0356,0.6231,83368.94,19.0,85500.0,2975.4,86344.34
QCOR,2013-06-24,2013-07-20,43.3,42.0,-0.03,2013-06-24,1.75,1.9,1.8,2013-07-20,0.0,0.1,0.067,1.733,0.0429,0.7889,83368.94,20.0,84000.0,3466.0,86834.94
VMW,2013-06-24,2013-07-20,65.87,65.0,-0.0132,2013-06-24,2.15,2.25,2.183,2013-07-20,0.0,0.05,0.034,2.149,0.0336,0.5803,83368.94,13.0,84500.0,2793.7,86162.64
DDD,2013-06-24,2013-07-20,42.14,41.0,-0.0271,2013-06-24,1.8,1.9,1.833,2013-07-20,0.0,0.05,0.034,1.799,0.0447,0.8321,83368.94,20.0,82000.0,3598.0,86966.94
TPX,2013-06-24,2013-07-20,40.19,39.0,-0.0296,2013-06-24,1.5,1.6,1.533,2013-07-20,0.0,0.05,0.034,1.4989999999999999,0.0393,0.7053,83368.94,21.0,81900.0,3147.9,86516.84
GMCR,2013-06-25,2013-08-17,74.34,72.5,-0.0248,2013-06-25,6.15,6.25,6.183,2013-08-17,0.0,0.03,0.02,6.163,0.0853,0.7437,83368.94,11.0,79750.0,6779.3,90148.24
