c_ask,gross_profit,contracts,expiry,actual_notional,delta,target_notional,f_mid,c_bid,f_ask,ticker,total_profit,c_date,ending_total,f_date,c_mid,current,f_bid,trade_date,strike
0.3125,-0.02300000000000002,38.0,1998-02-21,95000.0,-0.09,95883.12,0.168,0.0625,0.25,XRAY,-87.4,1998-01-13,95795.72,1998-02-21,0.145,27.44,0.0,1998-01-13,25.0
0.375,0.12399999999999999,27.0,1998-02-21,94500.0,-0.14,95883.12,0.084,0.125,0.125,GR,334.8,1998-01-16,96217.92,1998-02-21,0.208,40.72,0.0,1998-01-16,35.0
0.5,0.248,38.0,1998-02-21,95000.0,-0.16,95883.12,0.126,0.3125,0.1875,ARW,942.4,1998-01-13,96825.51999999999,1998-02-21,0.374,29.69,0.0,1998-01-13,25.0
2.625,2.499,9.0,1998-02-21,99000.0,-0.05,95883.12,0.042,2.5,0.0625,DAL,2249.1,1998-01-15,98132.22,1998-02-21,2.541,116.09,0.0,1998-01-15,110.0
0.75,0.582,77.0,1998-02-21,96250.0,-0.1,95883.12,0.126,0.6875,0.1875,ECI,4481.4,1998-01-14,100364.51999999999,1998-02-21,0.708,13.91,0.0,1998-01-14,12.5
1.125,0.9159999999999999,55.0,1998-02-21,96250.0,-0.08,95883.12,0.042,0.875,0.0625,SEG,5038.0,1998-01-14,100921.12,1998-02-21,0.958,19.09,0.0,1998-01-14,17.5
0.1875,0.01999999999999999,21.0,1998-02-21,94500.0,-0.11,95883.12,0.084,0.0625,0.125,CCN,42.0,1998-01-13,95925.12,1998-02-21,0.104,50.47,0.0,1998-01-13,45.0
0.8125,0.645,38.0,1998-02-21,95000.0,-0.04,95883.12,0.042,0.625,0.0625,YUM,2451.0,1998-01-13,98334.12,1998-02-21,0.687,26.06,0.0,1998-01-13,25.0
1.0625,0.727,17.0,1998-02-21,93500.0,-0.07,95883.12,0.168,0.8125,0.25,PD,1235.9,1998-01-13,97119.01999999999,1998-02-21,0.895,59.22,0.0,1998-01-13,55.0
0.5625,0.395,35.0,1998-02-21,96250.0,-0.08,95883.12,0.042,0.375,0.0625,X,1382.5,1998-01-13,97265.62,1998-02-21,0.437,29.91,0.0,1998-01-13,27.5
1.0625,0.853,32.0,1998-02-21,96000.0,-0.12,95883.12,0.042,0.8125,0.0625,NVLS,2729.6,1998-01-21,98612.72,1998-02-21,0.895,34.22,0.0,1998-01-21,30.0
