ticker,trade_date,expiry,current,strike,delta,c_date,c_bid,c_ask,c_mid,f_date,f_bid,f_ask,f_mid,gross_profit,s_yield,a_yield,target_notional,contracts,actual_notional,total_profit,ending_total
USG,2005-06-23,2005-07-16,44.28,42.5,-0.0402,2005-06-23,1.4,1.5,1.433,2005-07-16,0.0,0.05,0.034,1.399,0.0337,0.68,54451.23,13.0,55250.0,1818.7,56269.93
COP,2005-06-23,2005-07-16,58.43,57.5,-0.0159,2005-06-23,1.15,1.2,1.167,2005-07-16,0.0,0.05,0.034,1.133,0.0203,0.3697,54451.23,9.0,51750.0,1019.7,55470.93
RYL,2005-06-23,2005-07-16,74.45,70.0,-0.0598,2005-06-23,1.15,1.25,1.183,2005-07-16,0.0,0.05,0.034,1.149,0.0169,0.2999,54451.23,8.0,56000.0,919.2,55370.43
EOG,2005-06-23,2005-07-16,57.21,55.0,-0.0386,2005-06-23,0.95,1.1,1.0,2005-07-16,0.0,0.05,0.034,0.966,0.0182,0.3262,54451.23,10.0,55000.0,966.0,55417.23
MUR,2005-06-23,2005-07-16,54.2,52.5,-0.0314,2005-06-23,1.0,1.15,1.05,2005-07-16,0.0,0.05,0.034,1.016,0.02,0.3634,54451.23,10.0,52500.0,1016.0,55467.23
SUN,2005-06-23,2005-07-16,114.93,110.0,-0.0429,2005-06-23,1.6,1.75,1.65,2005-07-16,0.0,0.05,0.034,1.6159999999999999,0.015,0.2624,54451.23,5.0,55000.0,808.0,55259.23
CVG,2005-06-23,2005-07-16,12.86,12.5,-0.028,2005-06-23,0.2,0.25,0.217,2005-07-16,0.0,0.05,0.034,0.183,0.0174,0.31,54451.23,44.0,55000.0,805.2,55256.43
BZH,2005-06-23,2005-07-16,55.86,55.0,-0.0154,2005-06-23,1.75,1.9,1.8,2005-07-16,0.0,0.05,0.034,1.766,0.0327,0.6547,54451.23,10.0,55000.0,1766.0,56217.23
VLO,2005-06-27,2005-08-20,81.28,80.0,-0.0157,2005-06-27,4.0,4.1,4.033,2005-08-20,0.0,0.05,0.034,3.9990000000000006,0.0504,0.3879,54451.23,7.0,56000.0,2799.3,57250.530000000006
QLGC,2005-06-23,2005-07-16,31.12,30.0,-0.036,2005-06-23,0.6,0.7,0.633,2005-07-16,0.0,0.05,0.034,0.599,0.0211,0.3866,54451.23,18.0,54000.0,1078.2,55529.43
EASI,2005-06-23,2005-07-16,35.97,35.0,-0.027,2005-06-23,0.75,0.8,0.767,2005-07-16,0.0,0.2,0.134,0.633,0.0219,0.4037,54451.23,16.0,56000.0,1012.8,55464.030000000006
ATVI,2005-06-23,2005-07-16,18.09,17.5,-0.0326,2005-06-23,0.4,0.5,0.433,2005-07-16,0.0,0.05,0.034,0.399,0.0247,0.4651,54451.23,31.0,54250.0,1236.9,55688.130000000005
DHI,2005-06-23,2005-07-16,37.42,35.0,-0.0647,2005-06-23,0.5,0.65,0.55,2005-07-16,0.0,0.05,0.034,0.516,0.0157,0.2761,54451.23,16.0,56000.0,825.6,55276.83
THO,2005-06-30,2005-08-20,31.42,30.0,-0.0452,2005-06-30,0.8,1.0,0.866,2005-08-20,0.0,0.05,0.034,0.832,0.0289,0.2228,54451.23,18.0,54000.0,1497.6,55948.83
MTH,2005-06-23,2005-07-16,82.89,80.0,-0.0349,2005-06-23,2.05,2.1,2.067,2005-07-16,0.0,0.15,0.101,1.9660000000000002,0.0258,0.4899,54451.23,7.0,56000.0,1376.2,55827.43
GPS,2005-06-23,2005-07-16,20.63,20.0,-0.0305,2005-06-23,0.25,0.3,0.267,2005-07-16,0.0,0.05,0.034,0.233,0.0134,0.2316,54451.23,27.0,54000.0,629.1,55080.33
PHM,2005-06-23,2005-07-16,83.67,80.0,-0.0439,2005-06-23,1.35,1.5,1.4,2005-07-16,0.0,0.05,0.034,1.3659999999999999,0.0175,0.312,54451.23,7.0,56000.0,956.2,55407.43
MGI,2005-06-23,2005-07-16,20.3,20.0,-0.0148,2005-06-23,0.15,0.4,0.233,2005-07-16,0.0,0.05,0.034,0.199,0.0117,0.1997,54451.23,27.0,54000.0,537.3,54988.530000000006
PPP,2005-06-23,2005-07-16,51.54,50.0,-0.0299,2005-06-23,0.65,0.85,0.716,2005-07-16,0.0,0.05,0.034,0.6819999999999999,0.0143,0.2489,54451.23,11.0,55000.0,750.2,55201.43
APC,2005-06-23,2005-07-16,83.6,80.0,-0.0431,2005-06-23,0.9,1.0,0.933,2005-07-16,0.0,0.05,0.034,0.899,0.0117,0.1997,54451.23,7.0,56000.0,629.3,55080.530000000006
