ticker,trade_date,expiry,current,strike,delta,c_date,c_bid,c_ask,c_mid,f_date,f_bid,f_ask,f_mid,gross_profit,s_yield,a_yield,target_notional,contracts,actual_notional,total_profit,ending_total
NFLX,2014-10-29,2014-12-05,382.22,375.0,-0.0189,2014-10-29,12.55,13.35,12.814,2014-12-05,23.95,24.85,24.553,-11.739,0.0342,0.3871,88113.9,2.0,75000.0,-2347.8,85766.09999999999
JOY,2014-10-29,2014-12-05,52.75,51.5,-0.0237,2014-10-29,1.54,2.02,1.698,2014-12-05,0.0,0.43,0.288,1.41,0.033,0.3715,88113.9,17.0,87550.0,2397.0,90510.9
AOL,2014-10-29,2014-12-05,41.87,41.0,-0.0208,2014-10-29,1.55,2.0,1.699,2014-12-05,0.0,0.2,0.134,1.565,0.0414,0.4839,88113.9,21.0,86100.0,3286.5,91400.4
GT,2014-10-29,2014-12-05,23.31,23.0,-0.0133,2014-10-29,0.95,1.05,0.983,2014-12-05,0.0,0.05,0.034,0.949,0.0427,0.5021,88113.9,38.0,87400.0,3606.2,91720.09999999999
HAL,2014-10-29,2014-12-05,54.49,53.5,-0.0182,2014-10-29,1.88,1.96,1.906,2014-12-05,12.4,13.3,13.003,-11.097,0.0356,0.4054,88113.9,16.0,85600.0,-17755.2,70358.7
AMKR,2014-10-29,2014-12-20,6.28,6.0,-0.0446,2014-10-29,0.35,0.45,0.383,2014-12-20,0.0,0.1,0.067,0.316,0.0638,0.5345,88113.9,147.0,88200.0,4645.2,92759.09999999999
HP,2014-10-29,2014-12-20,86.37,85.0,-0.0159,2014-10-29,4.6,5.0,4.732,2014-12-20,13.0,14.6,14.072,-9.34,0.0557,0.4554,88113.9,10.0,85000.0,-9340.0,78773.9
PTEN,2014-10-29,2014-12-20,23.35,23.0,-0.015,2014-10-29,1.65,1.8,1.7,2014-12-20,5.2,7.0,6.406,-4.7059999999999995,0.0739,0.6382,88113.9,38.0,87400.0,-17882.8,70231.09999999999
DDS,2014-10-29,2014-12-20,104.44,100.0,-0.0425,2014-10-29,4.6,4.9,4.699,2014-12-20,0.0,0.5,0.335,4.364,0.047,0.3743,88113.9,9.0,90000.0,3927.6,92041.5
NTCT,2014-10-29,2014-12-20,36.05,35.0,-0.0291,2014-10-29,1.5,2.65,1.88,2014-12-20,0.0,0.85,0.57,1.31,0.0537,0.4364,88113.9,25.0,87500.0,3275.0,91388.9
FOSL,2014-10-29,2014-12-05,100.53,99.0,-0.0152,2014-10-29,3.9,4.4,4.065,2014-12-05,0.0,0.15,0.101,3.9640000000000004,0.0411,0.4798,88113.9,9.0,89100.0,3567.6,91681.5
TRIP,2014-10-29,2014-12-05,87.7,86.0,-0.0194,2014-10-29,3.8,4.4,3.998,2014-12-05,7.5,9.5,8.84,-4.842,0.0465,0.5562,88113.9,10.0,86000.0,-4842.0,83271.9
WFM,2014-10-29,2014-12-05,38.54,38.0,-0.014,2014-10-29,1.3,1.46,1.353,2014-12-05,0.0,0.03,0.02,1.333,0.0356,0.4054,88113.9,23.0,87400.0,3065.9,91179.79999999999
NUS,2014-10-31,2014-12-12,53.07,52.0,-0.0202,2014-10-31,3.8,5.0,4.196,2014-12-12,9.5,12.3,11.376,-7.18,0.0807,0.9449,88113.9,17.0,88400.0,-12206.0,75907.9
EXPE,2014-10-29,2014-12-05,77.2,76.0,-0.0155,2014-10-29,2.5,3.3,2.764,2014-12-05,0.0,0.05,0.034,2.73,0.0364,0.416,88113.9,12.0,91200.0,3276.0,91389.9
DO,2014-10-29,2014-12-20,39.14,38.5,-0.0164,2014-10-29,2.75,2.88,2.793,2014-12-20,3.25,3.45,3.384,-0.5909999999999997,0.0725,0.6235,88113.9,23.0,88550.0,-1359.3,86754.59999999999
HCLP,2014-10-31,2014-12-20,42.83,40.0,-0.0661,2014-10-31,2.0,2.5,2.165,2014-12-20,4.9,7.1,6.374,-4.209,0.0541,0.4613,88113.9,22.0,88000.0,-9259.8,78854.09999999999
AEO,2014-10-29,2014-12-20,12.49,12.0,-0.0392,2014-10-29,0.6,0.65,0.617,2014-12-20,0.0,0.05,0.034,0.583,0.0514,0.4148,88113.9,73.0,87600.0,4255.9,92369.79999999999
AKAM,2014-10-29,2014-12-05,56.66,55.5,-0.0205,2014-10-29,2.11,2.74,2.318,2014-12-05,0.0,0.09,0.06,2.258,0.0418,0.4895,88113.9,16.0,88800.0,3612.8,91726.7
SSTK,2014-10-29,2014-12-20,73.14,70.0,-0.0429,2014-10-29,4.3,5.1,4.564,2014-12-20,1.55,2.9,2.455,2.109,0.0652,0.5485,88113.9,13.0,91000.0,2741.7,90855.59999999999
