ticker,trade_date,expiry,current,strike,delta,c_date,c_bid,c_ask,c_mid,f_date,f_bid,f_ask,f_mid,gross_profit,s_yield,a_yield,target_notional,contracts,actual_notional,total_profit,ending_total
RYL,2005-12-19,2006-01-21,74.3,65.0,-0.13,2005-12-19,0.55,0.65,0.583,2006-01-21,0.3,0.4,0.367,0.21599999999999997,0.009,0.1027,71124.17,11.0,71500.0,237.6,71361.77
CMC,2005-12-19,2006-01-21,35.86,30.0,-0.16,2005-12-19,0.25,0.4,0.299,2006-01-21,0.0,0.1,0.067,0.23199999999999998,0.01,0.1147,71124.17,24.0,72000.0,556.8,71680.97
TOL,2005-12-19,2006-01-21,36.72,32.5,-0.11,2005-12-19,0.35,0.45,0.383,2006-01-21,0.45,0.5,0.484,-0.10099999999999998,0.0118,0.1365,71124.17,22.0,71500.0,-222.2,70901.97
LEA,2005-12-19,2006-01-21,28.31,25.0,-0.12,2005-12-19,0.4,0.45,0.417,2006-01-21,0.25,0.35,0.317,0.09999999999999998,0.0167,0.198,71124.17,28.0,70000.0,280.0,71404.17
TTWO,2005-12-19,2006-01-21,17.55,15.0,-0.15,2005-12-19,0.25,0.35,0.283,2006-01-21,0.15,0.3,0.251,0.03199999999999997,0.0189,0.2266,71124.17,47.0,70500.0,150.4,71274.56999999999
VLO,2005-12-19,2006-01-21,52.33,47.5,-0.09,2005-12-19,0.55,0.6,0.567,2006-01-21,0.3,0.4,0.367,0.19999999999999996,0.0119,0.1377,71124.17,15.0,71250.0,300.0,71424.17
MDC,2005-12-20,2006-01-21,64.16,60.0,-0.06,2005-12-20,1.0,1.1,1.033,2006-01-21,1.25,1.4,1.351,-0.31800000000000006,0.0172,0.2115,71124.17,12.0,72000.0,-381.6,70742.56999999999
THX,2005-12-19,2006-01-21,54.05,50.0,-0.07,2005-12-19,0.45,0.9,0.599,2006-01-21,0.15,0.85,0.619,-0.020000000000000018,0.012,0.139,71124.17,14.0,70000.0,-28.0,71096.17
NUE,2005-12-19,2006-01-21,66.46,60.0,-0.1,2005-12-19,0.9,1.0,0.933,2006-01-21,0.3,0.4,0.367,0.5660000000000001,0.0156,0.184,71124.17,12.0,72000.0,679.2,71803.37
SGY,2005-12-27,2006-02-18,44.97,40.0,-0.11,2005-12-27,0.6,0.75,0.649,2006-02-18,0.45,0.65,0.584,0.06500000000000006,0.0162,0.1153,71124.17,18.0,72000.0,117.0,71241.17
LPX,2005-12-19,2006-01-21,26.85,25.0,-0.07,2005-12-19,0.45,0.55,0.483,2006-01-21,0.15,0.2,0.183,0.3,0.0193,0.2319,71124.17,28.0,70000.0,840.0,71964.17
MVL,2005-12-20,2006-01-21,16.2,15.0,-0.07,2005-12-20,0.1,0.2,0.133,2006-01-21,0.05,0.15,0.117,0.016,0.0089,0.1048,71124.17,47.0,70500.0,75.2,71199.37
STLD,2005-12-19,2006-01-21,34.39,30.0,-0.13,2005-12-19,0.3,0.4,0.333,2006-01-21,0.0,0.2,0.134,0.199,0.0111,0.128,71124.17,24.0,72000.0,477.6,71601.77
PHM,2005-12-23,2006-01-21,41.25,37.5,-0.09,2005-12-23,0.45,0.5,0.467,2006-01-21,0.5,0.6,0.567,-0.09999999999999992,0.0125,0.1667,71124.17,19.0,71250.0,-190.0,70934.17
ARLP,2005-12-19,2006-01-21,37.06,35.0,-0.06,2005-12-19,0.75,0.9,0.8,2006-01-21,0.35,0.5,0.451,0.34900000000000003,0.0229,0.2802,71124.17,20.0,70000.0,698.0,71822.17
