c_ask,gross_profit,contracts,expiry,actual_notional,delta,target_notional,f_mid,c_bid,f_ask,ticker,total_profit,c_date,ending_total,f_date,c_mid,current,f_bid,trade_date,strike
2.25,2.14,5.0,2008-05-17,37500.0,-0.05,35704.75,0.01,2.15,0.01,COP,1070.0,2008-04-03,36774.75,2008-05-17,2.15,78.75,0.0,2008-04-03,75.0
1.85,-3.3999999999999995,22.0,2008-05-17,35200.0,-0.02,35704.75,5.1,1.7,5.1,CROX,-7480.0,2008-04-03,28224.75,2008-05-17,1.7,16.36,4.9,2008-04-03,16.0
5.8,5.45,5.0,2008-05-17,37500.0,-0.01,35704.75,0.05,5.5,0.05,ATI,2725.0,2008-04-03,38429.75,2008-05-17,5.5,75.84,0.0,2008-04-03,75.0
2.4,-0.6000000000000001,12.0,2008-05-17,36000.0,-0.01,35704.75,2.85,2.25,2.85,HNT,-720.0,2008-04-04,34984.75,2008-05-17,2.25,30.19,2.65,2008-04-04,30.0
1.0,0.85,20.0,2008-05-17,35000.0,-0.06,35704.75,0.05,0.9,0.05,AEO,1700.0,2008-04-03,37404.75,2008-05-17,0.9,18.52,0.0,2008-04-03,17.5
3.6,3.1500000000000004,6.0,2008-05-17,33000.0,0.0,35704.75,0.05,3.2,0.05,SGY,1890.0,2008-04-03,37594.75,2008-05-17,3.2,54.77,0.0,2008-04-03,55.0
2.5,2.3000000000000003,8.0,2008-05-17,38000.0,-0.05,35704.75,0.05,2.35,0.05,CMI,1840.0,2008-04-03,37544.75,2008-05-17,2.35,50.11,0.0,2008-04-03,47.5
2.59,0.8799999999999999,7.0,2008-05-17,35000.0,-0.04,35704.75,1.65,2.53,1.65,VLO,616.0,2008-04-03,36320.75,2008-05-17,2.53,52.14,1.6,2008-04-03,50.0
3.7,2.5,8.0,2008-05-17,36000.0,-0.01,35704.75,0.9,3.4,0.9,HUM,2000.0,2008-04-03,37704.75,2008-05-17,3.4,45.36,0.65,2008-04-03,45.0
1.45,1.2,14.0,2008-05-17,35000.0,-0.06,35704.75,0.05,1.25,0.05,BID,1680.0,2008-04-03,37384.75,2008-05-17,1.25,26.66,0.0,2008-04-03,25.0
1.05,-0.6500000000000001,36.0,2008-05-17,36000.0,-0.11,35704.75,1.6,0.95,1.6,NWA,-2340.0,2008-04-11,33364.75,2008-05-17,0.95,11.26,1.3,2008-04-11,10.0
0.4,0.09999999999999999,36.0,2008-05-17,36000.0,-0.08,35704.75,0.05,0.15,0.05,SCS,360.0,2008-04-03,36064.75,2008-05-17,0.15,10.88,0.0,2008-04-03,10.0
1.45,1.3,9.0,2008-05-17,36000.0,-0.04,35704.75,0.05,1.35,0.05,LRCX,1170.0,2008-04-03,36874.75,2008-05-17,1.35,41.77,0.0,2008-04-03,40.0
1.25,1.0,6.0,2008-05-17,33000.0,-0.06,35704.75,0.1,1.1,0.1,UNT,600.0,2008-04-03,36304.75,2008-05-17,1.1,58.53,0.0,2008-04-03,55.0
1.7,0.0,12.0,2008-05-17,36000.0,-0.01,35704.75,1.5,1.5,1.5,THO,0.0,2008-04-04,35704.75,2008-05-17,1.5,30.24,1.2,2008-04-04,30.0
1.05,0.8999999999999999,48.0,2008-05-17,36000.0,0.08,35704.75,0.05,0.95,0.05,CHS,4320.0,2008-04-07,40024.75,2008-05-17,0.95,6.95,0.0,2008-04-07,7.5
0.4,0.2,24.0,2008-05-17,36000.0,-0.07,35704.75,0.05,0.25,0.05,IM,480.0,2008-04-03,36184.75,2008-05-17,0.25,16.07,0.0,2008-04-03,15.0
4.3,3.6999999999999997,9.0,2008-05-17,36000.0,-0.01,35704.75,0.1,3.8,0.1,WCG,3330.0,2008-04-03,39034.75,2008-05-17,3.8,40.55,0.0,2008-04-03,40.0
1.75,1.55,16.0,2008-05-17,36000.0,-0.07,35704.75,0.05,1.6,0.05,GRA,2480.0,2008-04-03,38184.75,2008-05-17,1.6,24.11,0.0,2008-04-03,22.5
1.5,-1.3499999999999999,10.0,2008-05-17,35000.0,-0.03,35704.75,2.8,1.45,2.8,UNH,-1350.0,2008-04-03,34354.75,2008-05-17,1.45,36.14,2.6,2008-04-03,35.0
0.85,0.7,18.0,2008-05-17,36000.0,-0.06,35704.75,0.05,0.75,0.05,HRB,1260.0,2008-04-03,36964.75,2008-05-17,0.75,21.2,0.0,2008-04-03,20.0
1.75,1.5,14.0,2008-05-17,35000.0,-0.05,35704.75,0.05,1.55,0.05,LEA,2100.0,2008-04-03,37804.75,2008-05-17,1.55,26.4,0.0,2008-04-03,25.0
0.35,0.05,29.0,2008-05-17,36250.0,-0.08,35704.75,0.05,0.1,0.05,KEG,145.0,2008-04-03,35849.75,2008-05-17,0.1,13.57,0.0,2008-04-03,12.5
0.95,0.7999999999999999,14.0,2008-05-17,35000.0,-0.07,35704.75,0.05,0.85,0.05,PTEN,1120.0,2008-04-03,36824.75,2008-05-17,0.85,26.82,0.0,2008-04-03,25.0
0.75,0.6,12.0,2008-05-17,36000.0,-0.09,35704.75,0.05,0.65,0.05,LXK,720.0,2008-04-03,36424.75,2008-05-17,0.65,32.91,0.0,2008-04-03,30.0
