ticker,trade_date,expiry,current,strike,delta,c_date,c_bid,c_ask,c_mid,f_date,f_bid,f_ask,f_mid,gross_profit,s_yield,a_yield,target_notional,contracts,actual_notional,total_profit,ending_total
BGC,2007-09-24,2007-10-20,68.42,65.0,-0.05,2007-09-24,2.3,2.55,2.382,2007-10-20,0.0,0.1,0.067,2.315,0.0366,0.645,67259.12,10.0,65000.0,2315.0,69574.12
QLGC,2007-09-24,2007-10-20,12.74,12.5,-0.0188,2007-09-24,0.35,0.45,0.383,2007-10-20,0.0,0.05,0.034,0.349,0.0306,0.5179,67259.12,54.0,67500.0,1884.6,69143.72
TXI,2007-09-24,2007-10-20,76.98,75.0,-0.0257,2007-09-24,2.9,3.3,3.032,2007-10-20,2.35,2.95,2.752,0.28000000000000025,0.0404,0.7304,67259.12,9.0,67500.0,252.0,67511.12
SEPR,2007-09-24,2007-10-20,27.91,27.5,-0.0147,2007-09-24,1.2,1.3,1.233,2007-10-20,3.6,3.9,3.801,-2.568,0.0448,0.8346,67259.12,24.0,66000.0,-6163.2,61095.92
URBN,2007-10-04,2007-11-17,23.38,22.5,-0.0376,2007-10-04,1.25,1.35,1.283,2007-11-17,0.0,0.05,0.034,1.2489999999999999,0.057,0.5739,67259.12,30.0,67500.0,3747.0,71006.12
PALM,2007-09-24,2007-10-20,15.82,15.0,-0.0518,2007-09-24,0.5,0.55,0.517,2007-10-20,0.0,0.05,0.034,0.483,0.0345,0.5994,67259.12,45.0,67500.0,2173.5,69432.62
CMI,2007-09-26,2007-11-17,132.03,130.0,-0.0154,2007-09-26,8.1,8.8,8.331,2007-11-17,17.2,17.8,17.602,-9.271,0.0641,0.5375,67259.12,5.0,65000.0,-4635.5,62623.619999999995
PH,2007-09-24,2007-10-20,111.61,110.0,-0.0144,2007-09-24,3.9,4.2,3.999,2007-10-20,0.0,0.2,0.134,3.865,0.0364,0.6406,67259.12,6.0,66000.0,2319.0,69578.12
GRP,2007-09-24,2007-10-20,56.3,55.0,-0.0231,2007-09-24,1.8,1.9,1.833,2007-10-20,3.3,3.5,3.434,-1.6010000000000002,0.0333,0.5739,67259.12,12.0,66000.0,-1921.2,65337.92
FTI,2007-09-24,2007-10-20,56.48,55.0,-0.0262,2007-09-24,1.75,1.95,1.816,2007-10-20,0.0,0.05,0.034,1.782,0.033,0.5676,67259.12,12.0,66000.0,2138.4,69397.51999999999
MA,2007-09-24,2007-10-20,143.24,140.0,-0.0226,2007-09-24,5.1,5.2,5.133,2007-10-20,0.0,0.05,0.034,5.099,0.0367,0.6472,67259.12,5.0,70000.0,2549.5,69808.62
NIHD,2007-09-24,2007-10-20,77.29,75.0,-0.0296,2007-09-24,2.2,2.25,2.217,2007-10-20,7.8,8.3,8.135,-5.917999999999999,0.0296,0.4977,67259.12,9.0,67500.0,-5326.2,61932.92
VSEA,2007-09-24,2007-10-20,53.05,50.0,-0.0575,2007-09-24,1.8,2.0,1.866,2007-10-20,0.15,0.7,0.518,1.348,0.0373,0.6604,67259.12,13.0,65000.0,1752.4,69011.51999999999
SNDK,2007-09-24,2007-10-20,53.07,50.0,-0.0578,2007-09-24,1.6,1.7,1.633,2007-10-20,7.2,7.4,7.334,-5.701,0.0327,0.5613,67259.12,13.0,65000.0,-7411.3,59847.81999999999
CTV,2007-10-03,2007-11-17,51.54,50.0,-0.0299,2007-10-03,2.4,2.95,2.582,2007-11-17,9.5,9.7,9.634,-7.0520000000000005,0.0516,0.4956,67259.12,13.0,65000.0,-9167.6,58091.52
CNVR,2007-09-24,2007-10-20,3.19,2.5,-0.2163,2007-09-24,0.05,0.15,0.083,2007-10-20,0.0,0.1,0.067,0.016,0.0332,0.5718,67259.12,269.0,67250.0,430.4,67689.51999999999
VMC,2007-09-24,2007-10-20,86.58,85.0,-0.0182,2007-09-24,2.75,2.9,2.8,2007-10-20,0.0,0.1,0.067,2.7329999999999997,0.0329,0.5655,67259.12,8.0,68000.0,2186.4,69445.51999999999
TOL,2007-09-24,2007-10-20,20.51,20.0,-0.0249,2007-09-24,1.05,1.1,1.067,2007-10-20,0.0,0.05,0.034,1.033,0.0533,1.0524,67259.12,34.0,68000.0,3512.2,70771.31999999999
GVA,2007-09-24,2007-10-20,55.78,55.0,-0.014,2007-09-24,2.4,2.7,2.499,2007-10-20,3.7,4.1,3.968,-1.4689999999999999,0.0454,0.8492,67259.12,12.0,66000.0,-1762.8,65496.31999999999
CNX,2007-09-24,2007-10-20,45.83,45.0,-0.0181,2007-09-24,1.6,1.75,1.65,2007-10-20,0.0,0.05,0.034,1.6159999999999999,0.0367,0.6472,67259.12,15.0,67500.0,2424.0,69683.12
