ticker,secid,trade_date,expiry,current,strike,delta,c_date,c_bid,c_ask,c_mid,f_date,f_bid,f_ask,f_mid,gross_profit,s_yield,a_yield,target_notional,contracts,actual_notional,total_profit,ending_total
RYL,109754.0,2005-02-22,2005-03-19,65.6,60.0,-0.0854,2005-02-22,0.9,1.0,0.933,2005-03-19,0.0,0.05,0.034,0.899,0.0156,0.2497,103732.28,17.0,102000.0,1528.3,105260.58
DHI,103651.0,2005-02-22,2005-03-19,41.36,40.0,-0.0329,2005-02-22,1.4,1.5,1.433,2005-03-19,0.4,0.45,0.434,0.9990000000000001,0.0358,0.6595,103732.28,26.0,104000.0,2597.4,106329.68
MDC,107084.0,2005-02-22,2005-03-19,77.32,75.0,-0.03,2005-02-22,2.4,2.6,2.466,2005-03-19,4.0,4.2,4.134,-1.6680000000000001,0.0329,0.5938,103732.28,14.0,105000.0,-2335.2,101397.08
RCII,109575.0,2005-02-22,2005-03-19,25.75,25.0,-0.0291,2005-02-22,0.35,0.45,0.383,2005-03-19,0.0,0.15,0.101,0.28200000000000003,0.0153,0.2444,103732.28,41.0,102500.0,1156.2,104888.48
MTH,107452.0,2005-02-22,2005-03-19,70.44,65.0,-0.0772,2005-02-22,1.15,1.35,1.216,2005-03-19,4.4,4.8,4.668,-3.452,0.0187,0.3058,103732.28,16.0,104000.0,-5523.2,98209.08
SIE,110146.0,2005-02-22,2005-03-19,58.7,55.0,-0.063,2005-02-22,0.65,0.85,0.716,2005-03-19,0.0,0.2,0.134,0.582,0.013,0.2044,103732.28,19.0,104500.0,1105.8,104838.08
MRK,107430.0,2005-02-22,2005-03-19,31.89,30.0,-0.0593,2005-02-22,0.55,0.6,0.567,2005-03-19,0.0,0.05,0.034,0.5329999999999999,0.0189,0.3095,103732.28,35.0,105000.0,1865.5,105597.78
BZH,102064.0,2005-02-23,2005-03-19,161.94,160.0,-0.012,2005-02-23,5.6,5.8,5.666,2005-03-19,4.9,5.3,5.168,0.4980000000000002,0.0354,0.6851,103732.28,6.0,96000.0,298.8,104031.08
MVL,107254.0,2005-02-22,2005-03-19,17.93,17.5,-0.024,2005-02-22,0.65,0.75,0.683,2005-03-19,0.0,0.05,0.034,0.649,0.039,0.7349,103732.28,59.0,103250.0,3829.1,107561.38
AGP,113135.0,2005-02-22,2005-03-19,40.08,37.5,-0.0644,2005-02-22,0.35,0.6,0.432,2005-03-19,1.35,1.55,1.484,-1.052,0.0115,0.179,103732.28,28.0,105000.0,-2945.6,100786.68
