c_ask,gross_profit,contracts,expiry,actual_notional,delta,target_notional,f_mid,c_bid,f_ask,ticker,total_profit,c_date,ending_total,f_date,c_mid,current,f_bid,trade_date,strike
1.6,1.4,5.0,2007-07-21,37500.0,-0.02,37078.71,0.05,1.45,0.05,COP,700.0,2007-05-30,37778.71,2007-07-21,1.45,76.19,0.0,2007-05-30,75.0
1.9,-8.1,8.0,2007-07-21,36000.0,-0.03,37078.71,9.9,1.8,9.9,RYL,-6480.0,2007-05-29,30598.71,2007-07-21,1.8,46.23,9.6,2007-05-29,45.0
0.5,0.4,21.0,2007-07-21,36750.0,-0.02,37078.71,0.05,0.45,0.05,WDC,840.0,2007-05-29,37918.71,2007-07-21,0.45,17.77,0.0,2007-05-29,17.5
0.65,0.20000000000000007,7.0,2007-07-21,35000.0,-0.05,37078.71,0.35,0.55,0.35,AET,140.0,2007-05-29,37218.71,2007-07-21,0.55,52.44,0.25,2007-05-29,50.0
2.4,2.0500000000000003,4.0,2007-07-21,36000.0,-0.04,37078.71,0.05,2.1,0.05,CMI,820.0,2007-05-31,37898.71,2007-07-21,2.1,93.5,0.0,2007-05-31,90.0
1.55,1.3499999999999999,11.0,2007-07-21,38500.0,-0.02,37078.71,0.1,1.45,0.1,CMC,1485.0,2007-06-01,38563.71,2007-07-21,1.45,35.81,0.0,2007-06-01,35.0
1.35,-0.7,7.0,2007-07-21,38500.0,-0.04,37078.71,1.9,1.2,1.9,HNT,-490.0,2007-05-29,36588.71,2007-07-21,1.2,57.53,1.8,2007-05-29,55.0
0.85,-1.5499999999999998,13.0,2007-07-21,35750.0,-0.05,37078.71,2.3,0.75,2.3,TOL,-2015.0,2007-06-01,35063.71,2007-07-21,0.75,29.07,2.15,2007-06-01,27.5
0.6,0.45,15.0,2007-07-21,37500.0,-0.08,37078.71,0.05,0.5,0.05,AEO,675.0,2007-05-29,37753.71,2007-07-21,0.5,27.11,0.0,2007-05-29,25.0
0.9,0.75,16.0,2007-07-21,36000.0,-0.02,37078.71,0.05,0.8,0.05,KMX,1200.0,2007-05-29,38278.71,2007-07-21,0.8,23.05,0.0,2007-05-29,22.5
2.0,1.8499999999999999,5.0,2007-07-21,40000.0,-0.01,37078.71,0.05,1.9,0.05,CVX,925.0,2007-05-29,38003.71,2007-07-21,1.9,80.5,0.0,2007-05-29,80.0
2.4,0.25,5.0,2007-07-21,37500.0,-0.01,37078.71,2.05,2.3,2.05,VLO,125.0,2007-06-05,37203.71,2007-07-21,2.3,76.12,1.9,2007-06-05,75.0
1.0,-1.9,11.0,2007-07-21,35750.0,0.0,37078.71,2.8,0.9,2.8,SEE,-2090.0,2007-05-31,34988.71,2007-07-21,0.9,32.47,2.3,2007-05-31,32.5
3.3,-1.4999999999999996,6.0,2007-07-21,39000.0,-0.02,37078.71,4.6,3.1,4.6,NUE,-900.0,2007-05-29,36178.71,2007-07-21,3.1,66.03,4.5,2007-05-29,65.0
0.85,-2.65,16.0,2007-07-21,36000.0,-0.04,37078.71,3.4,0.75,3.4,DHI,-4240.0,2007-05-29,32838.71,2007-07-21,0.75,23.48,3.3,2007-05-29,22.5
3.3,2.95,5.0,2007-07-21,37500.0,-0.03,37078.71,0.05,3.0,0.05,CLF,1475.0,2007-05-29,38553.71,2007-07-21,3.0,77.32,0.0,2007-05-29,75.0
1.1,0.95,11.0,2007-07-21,38500.0,0.0,37078.71,0.05,1.0,0.05,CHK,1045.0,2007-05-30,38123.71,2007-07-21,1.0,34.88,0.0,2007-05-30,35.0
2.9,2.35,3.0,2007-07-21,34500.0,-0.03,37078.71,0.4,2.75,0.4,MRO,705.0,2007-05-29,37783.71,2007-07-21,2.75,119.09,0.3,2007-05-29,115.0
1.6,1.45,12.0,2007-07-21,36000.0,-0.0,37078.71,0.05,1.5,0.05,GM,1740.0,2007-05-31,38818.71,2007-07-21,1.5,30.09,0.0,2007-05-31,30.0
1.05,0.95,5.0,2007-07-21,40000.0,-0.04,37078.71,0.05,1.0,0.05,XOM,475.0,2007-05-31,37553.71,2007-07-21,1.0,83.69,0.0,2007-05-31,80.0
0.8,0.7,11.0,2007-07-21,38500.0,-0.08,37078.71,0.05,0.75,0.05,FTO,770.0,2007-05-29,37848.71,2007-07-21,0.75,38.1,0.0,2007-05-29,35.0
2.25,2.0500000000000003,8.0,2007-07-21,36000.0,-0.03,37078.71,0.05,2.1,0.05,STLD,1640.0,2007-05-29,38718.71,2007-07-21,2.1,46.17,0.0,2007-05-29,45.0
0.85,0.65,9.0,2007-07-21,38250.0,-0.01,37078.71,0.1,0.75,0.1,SIAL,585.0,2007-05-29,37663.71,2007-07-21,0.75,43.14,0.0,2007-05-29,42.5
0.75,0.6499999999999999,7.0,2007-07-21,36750.0,-0.04,37078.71,0.05,0.7,0.05,NKE,455.0,2007-05-29,37533.71,2007-07-21,0.7,54.83,0.0,2007-05-29,52.5
1.0,0.7999999999999999,9.0,2007-07-21,36000.0,-0.02,37078.71,0.05,0.85,0.05,XEC,720.0,2007-05-29,37798.71,2007-07-21,0.85,40.9,0.0,2007-05-29,40.0
2.05,0.75,12.0,2007-07-21,36000.0,0.05,37078.71,1.1,1.85,1.1,MGI,900.0,2007-05-29,37978.71,2007-07-21,1.85,28.64,0.9,2007-05-29,30.0
2.1,1.7,11.0,2007-07-21,38500.0,-0.0,37078.71,0.3,2.0,0.3,LCC,1870.0,2007-05-29,38948.71,2007-07-21,2.0,35.16,0.2,2007-05-29,35.0
1.55,1.4,5.0,2007-07-21,37500.0,-0.04,37078.71,0.05,1.45,0.05,APA,700.0,2007-05-29,37778.71,2007-07-21,1.45,77.9,0.0,2007-05-29,75.0
