ticker,trade_date,expiry,current,strike,delta,c_date,c_bid,c_ask,c_mid,f_date,f_bid,f_ask,f_mid,gross_profit,s_yield,a_yield,target_notional,contracts,actual_notional,total_profit,ending_total
WDC,2016-04-22,2016-06-03,44.03,43.0,-0.0234,2016-04-22,2.48,2.69,2.549,2016-06-03,3.5,3.8,3.701,-1.1520000000000001,0.0593,0.6385,88580.99,21.0,90300.0,-2419.2,86161.79000000001
RL,2016-04-22,2016-05-20,94.31,90.0,-0.0457,2016-04-22,3.0,3.2,3.066,2016-05-20,3.4,3.7,3.601,-0.5350000000000001,0.0341,0.539,88580.99,10.0,90000.0,-535.0,88045.99
RAX,2016-04-22,2016-06-03,25.37,25.0,-0.0146,2016-04-22,1.85,2.2,1.966,2016-06-03,3.1,3.5,3.368,-1.402,0.0786,0.9128,88580.99,35.0,87500.0,-4907.0,83673.99
HAR,2016-04-22,2016-05-20,87.04,85.0,-0.0234,2016-04-22,2.95,3.1,3.0,2016-05-20,8.5,9.7,9.304,-6.304,0.0353,0.5621,88580.99,10.0,85000.0,-6304.0,82276.99
AKAM,2016-04-22,2016-06-03,51.23,50.0,-0.024,2016-04-22,2.66,2.82,2.713,2016-06-03,1.43,1.52,1.49,1.223,0.0543,0.5734,88580.99,18.0,90000.0,2201.4,90782.39
SWKS,2016-04-22,2016-06-03,71.36,70.0,-0.0191,2016-04-22,3.4,4.0,3.598,2016-06-03,4.8,5.6,5.336,-1.7380000000000004,0.0514,0.5367,88580.99,13.0,91000.0,-2259.4,86321.59000000001
STMP,2016-04-22,2016-06-03,91.19,89.5,-0.0185,2016-04-22,6.2,8.3,6.893,2016-06-03,10.5,13.6,12.577,-5.684,0.077,0.8886,88580.99,10.0,89500.0,-5684.0,82896.99
DDS,2016-04-22,2016-05-20,72.42,70.0,-0.0334,2016-04-22,2.35,2.7,2.466,2016-05-20,2.9,3.2,3.101,-0.6349999999999998,0.0352,0.5602,88580.99,13.0,91000.0,-825.5,87755.49
FOSL,2016-04-22,2016-06-03,43.09,42.0,-0.0253,2016-04-22,2.6,2.75,2.65,2016-06-03,3.7,4.6,4.303,-1.653,0.0631,0.6896,88580.99,21.0,88200.0,-3471.3,85109.69
CTB,2016-04-22,2016-05-20,36.52,36.0,-0.0142,2016-04-22,1.15,1.35,1.216,2016-05-20,1.65,2.35,2.119,-0.9030000000000002,0.0338,0.5332,88580.99,25.0,90000.0,-2257.5,86323.49
NUS,2016-04-22,2016-06-03,37.59,37.0,-0.0157,2016-04-22,1.75,2.5,1.998,2016-06-03,0.55,2.5,1.857,0.14100000000000001,0.054,0.5696,88580.99,24.0,88800.0,338.4,88919.39
ILMN,2016-04-22,2016-06-03,143.39,141.0,-0.0167,2016-04-22,6.7,8.0,7.129,2016-06-03,9.8,11.0,10.604,-3.4749999999999996,0.0506,0.5267,88580.99,6.0,84600.0,-2085.0,86495.99
TRIP,2016-04-22,2016-06-03,63.76,62.5,-0.0198,2016-04-22,4.0,4.4,4.132,2016-06-03,3.5,3.7,3.634,0.4979999999999998,0.0661,0.7309,88580.99,14.0,87500.0,697.2,89278.19
AAN,2016-04-22,2016-05-20,26.5,26.0,-0.0189,2016-04-22,1.05,1.25,1.116,2016-05-20,0.65,1.25,1.052,0.06400000000000006,0.0429,0.7161,88580.99,34.0,88400.0,217.6,88798.59000000001
DY,2016-04-22,2016-05-20,67.9,65.0,-0.0427,2016-04-22,2.25,2.9,2.465,2016-05-20,1.3,2.1,1.836,0.6289999999999998,0.0379,0.6133,88580.99,14.0,91000.0,880.6,89461.59000000001
STRZA,2016-04-22,2016-05-20,26.32,26.0,-0.0122,2016-04-22,0.85,1.3,0.999,2016-05-20,0.3,1.05,0.803,0.19599999999999995,0.0384,0.6233,88580.99,34.0,88400.0,666.4,89247.39
JCOM,2016-04-22,2016-05-20,63.08,60.0,-0.0488,2016-04-22,1.8,2.35,1.982,2016-05-20,1.8,2.25,2.102,-0.11999999999999988,0.033,0.5181,88580.99,15.0,90000.0,-180.0,88400.99
AKRX,2016-04-22,2016-05-20,28.2,25.0,-0.1135,2016-04-22,1.35,1.8,1.499,2016-05-20,2.65,3.3,3.085,-1.5859999999999999,0.06,1.1152,88580.99,35.0,87500.0,-5551.0,83029.99
CALM,2016-04-22,2016-05-20,50.52,50.0,-0.0103,2016-04-22,2.05,2.4,2.165,2016-05-20,1.35,1.55,1.484,0.681,0.0433,0.7246,88580.99,18.0,90000.0,1225.8,89806.79000000001
UBNT,2016-04-22,2016-05-20,32.63,32.0,-0.0193,2016-04-22,1.15,1.45,1.249,2016-05-20,0.7,1.05,0.935,0.31400000000000006,0.039,0.6354,88580.99,28.0,89600.0,879.2,89460.19
