c_ask,gross_profit,contracts,expiry,actual_notional,delta,target_notional,f_mid,c_bid,f_ask,ticker,total_profit,c_date,ending_total,f_date,c_mid,current,f_bid,trade_date,strike
1.125,-2.793,19.0,1999-08-21,85500.0,-0.08,86855.53,3.751,0.875,3.875,CDD,-5306.7,1999-07-16,81548.83,1999-08-21,0.958,48.72,3.5,1999-07-16,45.0
0.5625,0.269,35.0,1999-08-21,87500.0,-0.06,86855.53,0.126,0.3125,0.1875,KNL,941.5,1999-07-08,87797.03,1999-08-21,0.395,26.72,0.0,1999-07-08,25.0
1.1875,0.936,22.0,1999-08-21,88000.0,-0.07,86855.53,0.084,0.9375,0.125,ALK,2059.2,1999-07-08,88914.73,1999-08-21,1.02,42.97,0.0,1999-07-08,40.0
0.4375,0.10200000000000001,43.0,1999-08-21,86000.0,-0.13,86855.53,0.168,0.1875,0.25,PHM,438.6,1999-07-16,87294.13,1999-08-21,0.27,23.03,0.0,1999-07-16,20.0
1.0,-1.7510000000000001,50.0,1999-08-21,87500.0,-0.07,86855.53,2.584,0.75,2.625,ODP,-8755.0,1999-07-08,78100.53,1999-08-21,0.833,18.81,2.5,1999-07-08,17.5
0.8125,0.477,29.0,1999-08-21,87000.0,-0.13,86855.53,0.168,0.5625,0.25,LAF,1383.3,1999-07-08,88238.83,1999-08-21,0.645,34.53,0.0,1999-07-08,30.0
1.125,-1.481,35.0,1999-08-21,87500.0,-0.07,86855.53,2.439,0.875,2.5625,ADSK,-5183.5,1999-07-15,81672.03,1999-08-21,0.958,26.88,2.1875,1999-07-15,25.0
1.0,0.6649999999999999,19.0,1999-08-21,85500.0,-0.05,86855.53,0.168,0.75,0.25,CCN,1263.5,1999-07-08,88119.03,1999-08-21,0.833,47.53,0.0,1999-07-08,45.0
0.9375,0.77,43.0,1999-08-21,86000.0,-0.08,86855.53,0.084,0.8125,0.125,SDC,3311.0,1999-07-15,90166.53,1999-08-21,0.854,21.63,0.0,1999-07-15,20.0
0.3125,0.14500000000000002,43.0,1999-08-21,86000.0,-0.14,86855.53,0.084,0.1875,0.125,IBP,623.5,1999-07-08,87479.03,1999-08-21,0.229,23.25,0.0,1999-07-08,20.0
0.75,0.54,25.0,1999-08-21,87500.0,-0.09,86855.53,0.126,0.625,0.1875,MO,1350.0,1999-07-08,88205.53,1999-08-21,0.666,38.53,0.0,1999-07-08,35.0
1.0,0.6649999999999999,25.0,1999-08-21,87500.0,-0.07,86855.53,0.168,0.75,0.25,TGH,1662.5,1999-07-08,88518.03,1999-08-21,0.833,37.63,0.0,1999-07-08,35.0
1.25,-0.5840000000000001,29.0,1999-08-21,87000.0,-0.05,86855.53,1.667,1.0,1.75,ETH,-1693.6,1999-07-09,85161.93,1999-08-21,1.083,31.66,1.5,1999-07-09,30.0
