ticker,secid,trade_date,expiry,current,strike,delta,c_date,c_bid,c_ask,c_mid,f_date,f_bid,f_ask,f_mid,gross_profit,s_yield,a_yield,target_notional,contracts,actual_notional,total_profit,ending_total
RYL,109754.0,2005-01-24,2005-02-19,60.63,60.0,-0.0104,2005-01-24,2.2,2.25,2.217,2005-02-19,0.0,0.05,0.034,2.1830000000000003,0.037,0.6538,91996.65,15.0,90000.0,3274.5,95271.15
DHI,103651.0,2005-01-24,2005-02-19,39.41,35.0,-0.1119,2005-01-24,0.3,0.4,0.333,2005-02-19,0.0,0.05,0.034,0.29900000000000004,0.0095,0.1399,91996.65,26.0,91000.0,777.4,92774.04999999999
MDC,107084.0,2005-01-24,2005-02-19,69.95,69.25,-0.01,2005-01-24,2.5,2.7,2.566,2005-02-19,0.0,0.25,0.168,2.3979999999999997,0.0371,0.656,91996.65,13.0,90025.0,3117.4,95114.04999999999
RCII,109575.0,2005-01-24,2005-02-19,25.8,25.0,-0.031,2005-01-24,0.5,0.6,0.533,2005-02-19,0.0,0.15,0.101,0.43200000000000005,0.0213,0.3389,91996.65,37.0,92500.0,1598.4,93595.04999999999
BZH,102064.0,2005-01-24,2005-02-19,141.86,140.0,-0.0131,2005-01-24,5.7,5.9,5.766,2005-02-19,0.0,0.05,0.034,5.732,0.0412,0.749,91996.65,7.0,98000.0,4012.4,96009.04999999999
MTH,107452.0,2005-01-24,2005-02-19,61.88,60.0,-0.0304,2005-01-24,2.15,2.55,2.282,2005-02-19,0.0,0.05,0.034,2.248,0.038,0.676,91996.65,15.0,90000.0,3372.0,95368.65
CNC,113430.0,2005-01-24,2005-02-19,30.98,30.0,-0.0316,2005-01-24,1.3,1.55,1.383,2005-02-19,0.0,0.25,0.168,1.215,0.0461,0.8664,91996.65,31.0,93000.0,3766.5,95763.15
SIE,110146.0,2005-01-24,2005-02-19,53.06,50.0,-0.0577,2005-01-24,0.9,1.05,0.95,2005-02-19,0.0,0.25,0.168,0.7819999999999999,0.019,0.2977,91996.65,18.0,90000.0,1407.6,93404.25
MRK,107430.0,2005-01-24,2005-02-19,30.25,27.5,-0.0909,2005-01-24,0.2,0.25,0.217,2005-02-19,0.0,0.05,0.034,0.183,0.0079,0.1151,91996.65,33.0,90750.0,603.9,92600.54999999999
AGP,113135.0,2005-01-24,2005-02-19,39.77,37.5,-0.0571,2005-01-24,0.4,0.65,0.483,2005-02-19,0.0,0.25,0.168,0.31499999999999995,0.0129,0.1942,91996.65,25.0,93750.0,787.5,92784.15
HRB,102244.0,2005-01-24,2005-02-19,46.95,45.0,-0.0415,2005-01-24,0.45,0.5,0.467,2005-02-19,0.0,0.05,0.034,0.43300000000000005,0.0104,0.154,91996.65,20.0,90000.0,866.0,92862.65
