c_ask,gross_profit,contracts,expiry,actual_notional,delta,target_notional,f_mid,c_bid,f_ask,ticker,total_profit,c_date,ending_total,f_date,c_mid,current,f_bid,trade_date,strike
1.875,1.54,3.0,1998-05-16,60000.0,-0.06,64934.49,0.168,1.625,0.25,CI,462.0,1998-04-17,65396.49,1998-05-16,1.708,212.16,0.0,1998-04-17,200.0
0.5,0.29100000000000004,43.0,1998-05-16,64500.0,-0.17,64934.49,0.042,0.25,0.0625,WDC,1251.3,1998-04-13,66185.79,1998-05-16,0.333,18.03,0.0,1998-04-13,15.0
0.9375,-1.8549999999999998,8.0,1998-05-16,64000.0,-0.08,64934.49,2.667,0.75,2.75,AET,-1484.0,1998-04-08,63450.49,1998-05-16,0.812,86.81,2.5,1998-04-08,80.0
1.125,0.603,17.0,1998-05-16,63750.0,-0.08,64934.49,0.355,0.875,0.4375,ABF,1025.1,1998-04-13,65959.59,1998-05-16,0.958,40.75,0.1875,1998-04-13,37.5
0.75,0.498,26.0,1998-05-16,65000.0,-0.05,64934.49,0.126,0.5625,0.1875,ARW,1294.8,1998-04-08,66229.29,1998-05-16,0.624,26.31,0.0,1998-04-08,25.0
0.9375,0.7280000000000001,11.0,1998-05-16,66000.0,-0.11,64934.49,0.084,0.75,0.125,WLP,800.8,1998-04-08,65735.29,1998-05-16,0.812,67.25,0.0,1998-04-08,60.0
0.3125,0.060999999999999985,19.0,1998-05-16,66500.0,-0.13,64934.49,0.084,0.0625,0.125,MO,115.9,1998-04-13,65050.39,1998-05-16,0.145,40.16,0.0,1998-04-13,35.0
0.9375,-0.08499999999999996,19.0,1998-05-16,66500.0,-0.05,64934.49,0.855,0.6875,0.9375,CTX,-161.5,1998-04-08,64772.99,1998-05-16,0.77,36.81,0.6875,1998-04-08,35.0
0.625,0.29000000000000004,10.0,1998-05-16,65000.0,-0.07,64934.49,0.168,0.375,0.25,SDW,290.0,1998-04-08,65224.49,1998-05-16,0.458,70.25,0.0,1998-04-08,65.0
0.3125,-0.02300000000000002,26.0,1998-05-16,65000.0,-0.14,64934.49,0.168,0.0625,0.25,KWP,-59.8,1998-04-08,64874.689999999995,1998-05-16,0.145,29.09,0.0,1998-04-08,25.0
0.625,0.33099999999999996,29.0,1998-05-16,65250.0,-0.09,64934.49,0.168,0.4375,0.25,OEI,959.9,1998-04-08,65894.39,1998-05-16,0.499,24.63,0.0,1998-04-08,22.5
0.4375,-0.41700000000000004,12.0,1998-05-16,66000.0,-0.07,64934.49,0.771,0.3125,0.8125,CCN,-500.4,1998-04-08,64434.09,1998-05-16,0.354,59.03,0.6875,1998-04-08,55.0
0.75,0.498,17.0,1998-05-16,63750.0,-0.03,64934.49,0.126,0.5625,0.1875,X,846.6,1998-04-08,65781.09,1998-05-16,0.624,38.59,0.0,1998-04-08,37.5
0.8125,0.6869999999999999,29.0,1998-05-16,65250.0,-0.08,64934.49,0.042,0.6875,0.0625,CPQ,1992.3,1998-04-08,66926.79,1998-05-16,0.729,24.38,0.0,1998-04-08,22.5
1.0625,0.895,32.0,1998-05-16,64000.0,-0.06,64934.49,0.042,0.875,0.0625,SMOD,2864.0,1998-04-08,67798.48999999999,1998-05-16,0.937,21.25,0.0,1998-04-08,20.0
1.875,1.7489999999999999,10.0,1998-05-16,65000.0,-0.02,64934.49,0.042,1.75,0.0625,GM,1749.0,1998-04-08,66683.48999999999,1998-05-16,1.791,66.56,0.0,1998-04-08,65.0
