ticker,secid,trade_date,expiry,current,strike,delta,c_date,c_bid,c_ask,c_mid,f_date,f_bid,f_ask,f_mid,gross_profit,s_yield,a_yield,target_notional,contracts,actual_notional,total_profit,ending_total
RYL,109754.0,2006-05-23,2006-07-22,53.13,50.0,-0.0589,2006-05-23,2.3,2.45,2.349,2006-07-22,13.4,13.6,13.534,-11.185,0.047,0.3173,41802.53,8.0,40000.0,-8948.0,32854.53
CVH,103485.0,2006-05-23,2006-07-22,51.47,50.0,-0.0286,2006-05-23,1.9,2.05,1.95,2006-07-22,0.0,0.05,0.034,1.916,0.039,0.258,41802.53,8.0,40000.0,1532.8,43335.33
AZO,101806.0,2006-05-23,2006-09-16,88.8,85.0,-0.0428,2006-05-23,2.95,3.1,3.0,2006-09-16,0.0,0.05,0.034,2.966,0.0353,0.1137,41802.53,5.0,42500.0,1483.0,43285.53
DG,103906.0,2006-05-25,2006-08-19,16.09,15.0,-0.0677,2006-05-25,0.25,0.35,0.283,2006-08-19,0.85,0.95,0.917,-0.6340000000000001,0.0189,0.0815,41802.53,28.0,42000.0,-1775.2,40027.33
VFC,111537.0,2006-05-23,2006-08-19,62.77,60.0,-0.0441,2006-05-23,1.1,1.25,1.15,2006-08-19,0.0,0.05,0.034,1.1159999999999999,0.0192,0.0809,41802.53,7.0,42000.0,781.2,42583.729999999996
HW,105630.0,2006-05-26,2006-08-19,27.61,25.0,-0.0945,2006-05-26,0.95,1.05,0.983,2006-08-19,2.65,2.75,2.717,-1.734,0.0393,0.1773,41802.53,17.0,42500.0,-2947.8,38854.729999999996
RCII,109575.0,2006-05-23,2006-09-16,25.16,22.5,-0.1057,2006-05-23,0.65,0.75,0.683,2006-09-16,0.0,0.05,0.034,0.649,0.0304,0.0974,41802.53,19.0,42750.0,1233.1,43035.63
TOL,111071.0,2006-05-23,2006-09-16,27.96,25.0,-0.1059,2006-05-23,1.4,1.5,1.433,2006-09-16,0.0,0.05,0.034,1.399,0.0573,0.1888,41802.53,17.0,42500.0,2378.3,44180.83
HD,105759.0,2006-05-26,2006-08-19,38.8,37.5,-0.0335,2006-05-26,1.05,1.1,1.067,2006-08-19,2.7,2.8,2.767,-1.7,0.0285,0.1264,41802.53,11.0,41250.0,-1870.0,39932.53
BSX,102296.0,2006-05-23,2006-08-19,19.77,17.5,-0.1148,2006-05-23,0.55,0.65,0.583,2006-08-19,0.8,0.85,0.834,-0.251,0.0333,0.1434,41802.53,24.0,42000.0,-602.4,41200.13
MDC,107084.0,2006-05-23,2006-09-16,54.28,50.0,-0.0789,2006-05-23,2.15,2.35,2.216,2006-09-16,4.0,4.3,4.201,-1.9849999999999994,0.0443,0.144,41802.53,8.0,40000.0,-1588.0,40214.53
SHW,110117.0,2006-05-23,2006-09-16,47.23,45.0,-0.0472,2006-05-23,1.95,2.1,2.0,2006-09-16,0.0,0.05,0.034,1.966,0.0444,0.1443,41802.53,9.0,40500.0,1769.4,43571.93
WHR,112015.0,2006-05-23,2006-09-16,86.72,85.0,-0.0198,2006-05-23,3.7,3.9,3.766,2006-09-16,0.0,0.05,0.034,3.732,0.0443,0.144,41802.53,5.0,42500.0,1866.0,43668.53
HRB,102244.0,2006-05-23,2006-07-22,21.81,20.0,-0.083,2006-05-23,0.3,0.4,0.333,2006-07-22,0.0,0.05,0.034,0.29900000000000004,0.0167,0.1045,41802.53,21.0,42000.0,627.9,42430.43
SONC,110295.0,2006-05-23,2006-09-16,21.63,20.0,-0.0754,2006-05-23,0.35,0.7,0.465,2006-09-16,0.0,0.1,0.067,0.398,0.0232,0.0738,41802.53,21.0,42000.0,835.8,42638.33
MAT,107280.0,2006-05-23,2006-07-22,16.59,15.0,-0.0958,2006-05-23,0.15,0.25,0.183,2006-07-22,0.0,0.05,0.034,0.149,0.0122,0.0755,41802.53,28.0,42000.0,417.2,42219.729999999996
DHI,103651.0,2006-05-23,2006-08-19,27.14,25.0,-0.0789,2006-05-23,1.15,1.25,1.183,2006-08-19,2.95,3.1,3.051,-1.868,0.0473,0.2081,41802.53,17.0,42500.0,-3175.6,38626.93
LPX,107044.0,2006-05-24,2006-08-19,24.02,22.5,-0.0633,2006-05-24,0.8,0.9,0.833,2006-08-19,2.8,2.9,2.867,-2.034,0.037,0.1622,41802.53,19.0,42750.0,-3864.6,37937.93
MTH,107452.0,2006-05-23,2006-09-16,54.71,50.0,-0.0861,2006-05-23,3.1,3.4,3.199,2006-09-16,6.3,6.6,6.501,-3.3020000000000005,0.064,0.2123,41802.53,8.0,40000.0,-2641.6,39160.93
MVL,107254.0,2006-05-23,2006-09-16,19.89,17.5,-0.1202,2006-05-23,0.45,0.55,0.483,2006-09-16,0.0,0.05,0.034,0.44899999999999995,0.0276,0.0882,41802.53,24.0,42000.0,1077.6,42880.13
