ticker,trade_date,expiry,current,strike,delta,c_date,c_bid,c_ask,c_mid,f_date,f_bid,f_ask,f_mid,gross_profit,s_yield,a_yield,target_notional,contracts,actual_notional,total_profit,ending_total
CRS,2008-02-21,2008-03-22,63.73,57.5,-0.1,2008-02-21,0.8,0.95,0.85,2008-03-22,0.0,0.05,0.034,0.816,0.0148,0.1928,23079.81,4.0,23000.0,326.4,23406.210000000003
CTV,2008-02-21,2008-03-22,40.39,35.0,-0.13,2008-02-21,0.55,0.75,0.616,2008-03-22,0.0,0.05,0.034,0.582,0.0176,0.2329,23079.81,7.0,24500.0,407.4,23487.210000000003
CMI,2008-02-21,2008-03-22,53.24,47.5,-0.11,2008-02-21,1.05,1.2,1.1,2008-03-22,0.0,0.05,0.034,1.066,0.0232,0.3168,23079.81,5.0,23750.0,533.0,23612.81
SUN,2008-02-21,2008-03-22,65.02,60.0,-0.08,2008-02-21,1.1,1.25,1.15,2008-03-22,4.3,4.5,4.434,-3.2840000000000003,0.0192,0.2564,23079.81,4.0,24000.0,-1313.6,21766.210000000003
FDO,2008-02-21,2008-03-22,19.86,17.5,-0.12,2008-02-21,0.3,0.45,0.35,2008-03-22,0.0,0.05,0.034,0.31599999999999995,0.02,0.2682,23079.81,13.0,22750.0,410.8,23490.61
ATI,2008-02-21,2008-03-22,84.44,75.0,-0.11,2008-02-21,1.35,1.45,1.383,2008-03-22,2.35,2.65,2.551,-1.1680000000000001,0.0184,0.2446,23079.81,3.0,22500.0,-350.4,22729.41
ATU,2008-02-21,2008-03-22,28.49,25.0,-0.12,2008-02-21,0.3,0.5,0.366,2008-03-22,0.0,0.15,0.101,0.265,0.0146,0.19,23079.81,9.0,22500.0,238.5,23318.31
COLM,2008-02-28,2008-04-19,43.65,40.0,-0.08,2008-02-28,1.15,1.45,1.249,2008-04-19,0.0,0.05,0.034,1.215,0.0312,0.2422,23079.81,6.0,24000.0,729.0,23808.81
HNT,2008-02-28,2008-04-19,46.64,42.5,-0.09,2008-02-28,0.6,0.75,0.649,2008-04-19,13.6,13.8,13.734,-13.085,0.0153,0.1131,23079.81,5.0,21250.0,-6542.5,16537.31
CAM,2008-02-29,2008-04-19,43.79,40.0,-0.09,2008-02-29,1.6,1.75,1.65,2008-04-19,0.0,0.05,0.034,1.6159999999999999,0.0412,0.3374,23079.81,6.0,24000.0,969.6,24049.41
