c_ask,gross_profit,contracts,expiry,actual_notional,delta,target_notional,f_mid,c_bid,f_ask,ticker,total_profit,c_date,ending_total,f_date,c_mid,current,f_bid,trade_date,strike
1.75,-4.699999999999999,6.0,2008-03-22,39000.0,-0.01,38827.15,6.3,1.6,6.3,CRS,-2820.0,2008-02-25,36007.15,2008-03-22,1.6,65.72,5.9,2008-02-25,65.0
1.95,-1.9,8.0,2008-04-19,40000.0,-0.04,38827.15,3.75,1.85,3.75,NEM,-1520.0,2008-03-03,37307.15,2008-04-19,1.85,52.2,3.65,2008-03-03,50.0
1.15,1.0,14.0,2008-03-22,38500.0,-0.05,38827.15,0.05,1.05,0.05,DKS,1400.0,2008-02-25,40227.15,2008-03-22,1.05,29.0,0.0,2008-02-25,27.5
2.25,-1.4,7.0,2008-03-22,36750.0,-0.01,38827.15,3.5,2.1,3.5,CMI,-980.0,2008-02-25,37847.15,2008-03-22,2.1,52.89,3.2,2008-02-25,52.5
1.0,0.85,19.0,2008-03-22,38000.0,0.0,38827.15,0.05,0.9,0.05,FDO,1615.0,2008-02-25,40442.15,2008-03-22,0.9,19.98,0.0,2008-02-25,20.0
0.4,0.0,16.0,2008-03-22,40000.0,-0.11,38827.15,0.15,0.15,0.15,ATU,0.0,2008-02-25,38827.15,2008-03-22,0.15,28.01,0.0,2008-02-25,25.0
1.5,-15.049999999999999,9.0,2008-04-19,40500.0,-0.04,38827.15,16.4,1.35,16.4,HNT,-13545.0,2008-02-28,25282.15,2008-04-19,1.35,46.64,15.9,2008-02-28,45.0
2.8,-2.2500000000000004,9.0,2008-04-19,40500.0,-0.04,38827.15,4.9,2.65,4.9,JCP,-2025.0,2008-02-29,36802.15,2008-04-19,2.65,47.0,4.7,2008-02-29,45.0
4.0,3.6500000000000004,4.0,2008-03-22,38000.0,-0.02,38827.15,0.05,3.7,0.05,SHLD,1460.0,2008-02-25,40287.15,2008-03-22,3.7,97.31,0.0,2008-02-25,95.0
2.0,1.75,9.0,2008-03-22,40500.0,0.02,38827.15,0.1,1.85,0.1,PCAR,1575.0,2008-02-25,40402.15,2008-03-22,1.85,44.3,0.0,2008-02-25,45.0
1.0,-7.05,7.0,2008-03-22,40250.0,-0.04,38827.15,8.0,0.95,8.0,VLO,-4935.0,2008-02-25,33892.15,2008-03-22,0.95,60.19,7.8,2008-02-25,57.5
0.75,-0.04999999999999993,31.0,2008-04-19,38750.0,-0.06,38827.15,0.7,0.65,0.7,ODP,-155.0,2008-02-26,38672.15,2008-04-19,0.65,13.24,0.55,2008-02-26,12.5
2.95,-19.0,6.0,2008-04-19,39000.0,-0.03,38827.15,21.8,2.8,21.8,HUM,-11400.0,2008-03-06,27427.15,2008-04-19,2.8,67.03,21.3,2008-03-06,65.0
1.8,-8.9,17.0,2008-04-19,38250.0,-0.05,38827.15,10.5,1.6,10.5,WNR,-15130.0,2008-02-27,23697.15,2008-04-19,1.6,23.6,10.2,2008-02-27,22.5
1.05,-3.6499999999999995,17.0,2008-03-22,38250.0,0.0,38827.15,4.6,0.95,4.6,AEO,-6205.0,2008-02-25,32622.15,2008-03-22,0.95,22.42,4.4,2008-02-25,22.5
1.4,-1.9000000000000001,10.0,2008-03-22,40000.0,-0.01,38827.15,3.2,1.3,3.2,LRCX,-1900.0,2008-02-25,36927.15,2008-03-22,1.3,40.52,3.0,2008-02-25,40.0
1.85,-0.5000000000000002,7.0,2008-03-22,38500.0,0.01,38827.15,2.2,1.7,2.2,UNT,-350.0,2008-02-25,38477.15,2008-03-22,1.7,54.62,1.95,2008-02-25,55.0
1.0,0.75,22.0,2008-04-19,38500.0,-0.08,38827.15,0.1,0.85,0.1,FORM,1650.0,2008-02-28,40477.15,2008-04-19,0.85,18.98,0.0,2008-02-28,17.5
1.4,-2.8,39.0,2008-04-19,39000.0,0.08,38827.15,4.1,1.3,4.1,CHS,-10920.0,2008-03-03,27907.15,2008-04-19,1.3,9.27,3.9,2008-03-03,10.0
0.65,0.4,26.0,2008-04-19,39000.0,-0.03,38827.15,0.05,0.45,0.05,IM,1040.0,2008-02-29,39867.15,2008-04-19,0.45,15.45,0.0,2008-02-29,15.0
3.6,-10.399999999999999,8.0,2008-03-22,40000.0,0.0,38827.15,13.6,3.2,13.6,WCG,-8320.0,2008-02-25,30507.15,2008-03-22,3.2,49.86,12.6,2008-02-25,50.0
1.1,0.8999999999999999,19.0,2008-03-22,38000.0,-0.08,38827.15,0.05,0.95,0.05,GRA,1710.0,2008-02-25,40537.15,2008-03-22,0.95,21.74,0.0,2008-02-25,20.0
1.45,1.2,16.0,2008-04-19,40000.0,-0.11,38827.15,0.05,1.25,0.05,LEA,1920.0,2008-02-29,40747.15,2008-04-19,1.25,27.99,0.0,2008-02-29,25.0
0.3,-1.1500000000000001,31.0,2008-03-22,38750.0,-0.03,38827.15,1.3,0.15,1.3,KEG,-3565.0,2008-02-25,35262.15,2008-03-22,0.15,12.91,1.05,2008-02-25,12.5
2.65,-11.1,6.0,2008-03-22,39000.0,-0.0,38827.15,13.6,2.5,13.6,NOV,-6660.0,2008-02-25,32167.15,2008-03-22,2.5,65.08,13.3,2008-02-25,65.0
