c_ask,gross_profit,contracts,expiry,actual_notional,delta,target_notional,f_mid,c_bid,f_ask,ticker,total_profit,c_date,ending_total,f_date,c_mid,current,f_bid,trade_date,strike
0.8125,0.561,37.0,1999-06-19,92500.0,-0.12,92116.53,0.126,0.625,0.1875,DO,2075.7,1999-05-24,94192.23,1999-06-19,0.687,28.5,0.0,1999-05-24,25.0
2.4375,2.144,37.0,1999-07-17,92500.0,0.01,92116.53,0.042,2.0625,0.0625,ABF,7932.8,1999-06-02,100049.33,1999-07-17,2.186,24.69,0.0,1999-06-02,25.0
0.75,0.4149999999999999,26.0,1999-07-17,91000.0,-0.1,92116.53,0.168,0.5,0.25,PCP,1079.0,1999-05-25,93195.53,1999-07-17,0.583,38.91,0.0,1999-05-25,35.0
0.4375,0.186,53.0,1999-06-19,92750.0,-0.12,92116.53,0.126,0.25,0.1875,COMR,985.8,1999-05-24,93102.33,1999-06-19,0.312,19.91,0.0,1999-05-24,17.5
0.25,-0.0020000000000000018,23.0,1999-07-17,92000.0,-0.14,92116.53,0.126,0.0625,0.1875,VMC,-4.6,1999-05-24,92111.93,1999-07-17,0.124,46.75,0.0,1999-05-24,40.0
0.3125,0.14500000000000002,37.0,1999-07-17,92500.0,-0.08,92116.53,0.084,0.1875,0.125,KSE,536.5,1999-05-28,92653.03,1999-07-17,0.229,27.25,0.0,1999-05-28,25.0
0.625,0.29000000000000004,23.0,1999-07-17,92000.0,-0.12,92116.53,0.168,0.375,0.25,CCN,667.0,1999-05-25,92783.53,1999-07-17,0.458,45.44,0.0,1999-05-25,40.0
1.0625,0.727,31.0,1999-07-17,93000.0,-0.12,92116.53,0.168,0.8125,0.25,LAF,2253.7,1999-05-24,94370.23,1999-07-17,0.895,34.28,0.0,1999-05-24,30.0
0.375,0.20699999999999996,46.0,1999-06-19,92000.0,-0.11,92116.53,0.084,0.25,0.125,IBP,952.2,1999-05-24,93068.73,1999-06-19,0.291,22.5,0.0,1999-05-24,20.0
1.375,1.166,18.0,1999-07-17,90000.0,-0.09,92116.53,0.042,1.125,0.0625,PSS,2098.8,1999-05-24,94215.33,1999-07-17,1.208,54.69,0.0,1999-05-24,50.0
1.25,0.9149999999999999,26.0,1999-07-17,91000.0,-0.08,92116.53,0.168,1.0,0.25,TGH,2379.0,1999-05-24,94495.53,1999-07-17,1.083,37.88,0.0,1999-05-24,35.0
1.0,0.748,37.0,1999-06-19,92500.0,-0.09,92116.53,0.168,0.875,0.25,ADSK,2767.6,1999-05-24,94884.13,1999-06-19,0.916,27.56,0.0,1999-05-24,25.0
