ticker,trade_date,expiry,current,strike,delta,c_date,c_bid,c_ask,c_mid,f_date,f_bid,f_ask,f_mid,gross_profit,s_yield,a_yield,target_notional,contracts,actual_notional,total_profit,ending_total
EXP,2007-08-29,2007-10-20,37.26,35.0,-0.0607,2007-08-29,1.25,1.3,1.267,2007-10-20,0.0,0.05,0.034,1.2329999999999999,0.0362,0.2791,65560.41,19.0,66500.0,2342.7,67903.11
CMI,2007-09-06,2007-10-20,117.9,115.0,-0.0246,2007-09-06,5.6,6.2,5.798,2007-10-20,0.0,0.05,0.034,5.764,0.0504,0.4953,65560.41,6.0,69000.0,3458.4,69018.81
EIX,2007-09-07,2007-10-20,53.2,52.5,-0.0132,2007-09-07,1.95,2.1,2.0,2007-10-20,0.0,0.05,0.034,1.966,0.0381,0.3676,65560.41,12.0,63000.0,2359.2,67919.61
HP,2007-08-29,2007-10-20,31.35,30.0,-0.0431,2007-08-29,1.0,1.15,1.05,2007-10-20,0.0,0.05,0.034,1.016,0.035,0.2689,65560.41,22.0,66000.0,2235.2,67795.61
YRCW,2007-08-29,2007-10-20,30.32,30.0,-0.0106,2007-08-29,1.35,1.45,1.383,2007-10-20,4.2,4.4,4.334,-2.9509999999999996,0.0461,0.3662,65560.41,22.0,66000.0,-6492.2,59068.21000000001
GLBL,2007-09-05,2007-10-20,24.15,22.5,-0.0683,2007-09-05,0.7,0.95,0.782,2007-10-20,0.0,0.1,0.067,0.7150000000000001,0.0348,0.3148,65560.41,29.0,65250.0,2073.5,67633.91
TOL,2007-08-31,2007-10-20,21.61,20.0,-0.0745,2007-08-31,0.95,1.05,0.983,2007-10-20,0.0,0.05,0.034,0.949,0.0491,0.4122,65560.41,33.0,66000.0,3131.7,68692.11
ODP,2007-09-07,2007-10-20,20.39,20.0,-0.0191,2007-09-07,1.35,1.5,1.4,2007-10-20,0.0,0.1,0.067,1.333,0.07,0.762,65560.41,33.0,66000.0,4398.9,69959.31
CRDN,2007-08-31,2007-10-20,71.66,70.0,-0.0232,2007-08-31,3.0,3.2,3.066,2007-10-20,0.0,0.05,0.034,3.032,0.0438,0.3616,65560.41,9.0,63000.0,2728.8,68289.21
BKS,2007-08-29,2007-10-20,35.39,35.0,-0.011,2007-08-29,1.25,1.4,1.3,2007-10-20,0.0,0.05,0.034,1.266,0.0371,0.2868,65560.41,19.0,66500.0,2405.4,67965.81
LRCX,2007-08-29,2007-10-20,53.38,50.0,-0.0633,2007-08-29,1.6,1.75,1.65,2007-10-20,0.0,0.05,0.034,1.6159999999999999,0.033,0.252,65560.41,13.0,65000.0,2100.8,67661.21
HOG,2007-08-29,2007-10-20,53.9,52.5,-0.026,2007-08-29,1.75,1.9,1.8,2007-10-20,4.3,4.5,4.434,-2.6340000000000003,0.0343,0.263,65560.41,12.0,63000.0,-3160.8,62399.61
BDK,2007-09-04,2007-10-20,86.38,85.0,-0.016,2007-09-04,2.95,3.2,3.033,2007-10-20,7.2,7.4,7.334,-4.301,0.0357,0.3159,65560.41,8.0,68000.0,-3440.8,62119.61
BBBY,2007-08-29,2007-10-20,33.86,32.5,-0.0402,2007-08-29,0.95,1.0,0.966,2007-10-20,0.0,0.05,0.034,0.9319999999999999,0.0297,0.2246,65560.41,20.0,65000.0,1864.0,67424.41
FRX,2007-09-06,2007-10-20,41.1,40.0,-0.0268,2007-09-06,1.45,1.6,1.5,2007-10-20,2.2,2.35,2.301,-0.8010000000000002,0.0375,0.3515,65560.41,16.0,64000.0,-1281.6,64278.810000000005
NKE,2007-09-05,2007-10-20,55.63,55.0,-0.0113,2007-09-05,1.9,2.0,1.933,2007-10-20,0.0,0.05,0.034,1.899,0.0351,0.3178,65560.41,12.0,66000.0,2278.8,67839.21
XEC,2007-08-30,2007-10-20,35.58,35.0,-0.0163,2007-08-30,1.1,1.25,1.15,2007-10-20,0.0,0.05,0.034,1.1159999999999999,0.0329,0.2567,65560.41,19.0,66500.0,2120.4,67680.81
MGI,2007-08-29,2007-10-20,21.44,20.0,-0.0672,2007-08-29,1.15,1.35,1.216,2007-10-20,1.2,1.5,1.401,-0.18500000000000005,0.0608,0.5047,65560.41,33.0,66000.0,-610.5,64949.91
BJS,2007-09-04,2007-10-20,25.39,25.0,-0.0154,2007-09-04,0.8,0.85,0.817,2007-10-20,0.0,0.05,0.034,0.7829999999999999,0.0327,0.2864,65560.41,26.0,65000.0,2035.8,67596.21
LXK,2007-08-29,2007-10-20,37.07,35.0,-0.0558,2007-08-29,1.05,1.15,1.083,2007-10-20,0.0,0.05,0.034,1.049,0.0309,0.2345,65560.41,19.0,66500.0,1993.1,67553.51000000001
