c_ask,gross_profit,contracts,expiry,actual_notional,delta,target_notional,f_mid,c_bid,f_ask,ticker,total_profit,c_date,ending_total,f_date,c_mid,current,f_bid,trade_date,strike
3.8,2.0999999999999996,5.0,2008-03-22,30000.0,-0.04,31958.29,1.3,3.4,1.3,CRS,1050.0,2008-01-30,33008.29,2008-03-22,3.4,62.4,0.9,2008-01-30,60.0
0.9,0.75,6.0,2008-02-16,30000.0,-0.07,31958.29,0.05,0.8,0.05,AET,450.0,2008-01-24,32408.29,2008-02-16,0.8,53.75,0.0,2008-01-24,50.0
1.25,1.0999999999999999,13.0,2008-02-16,32500.0,0.02,31958.29,0.05,1.15,0.05,CMC,1430.0,2008-01-24,33388.29,2008-02-16,1.15,24.57,0.0,2008-01-24,25.0
3.0,2.8000000000000003,5.0,2008-02-16,32500.0,-0.04,31958.29,0.05,2.85,0.05,ATI,1400.0,2008-01-24,33358.29,2008-02-16,2.85,67.44,0.0,2008-01-24,65.0
0.65,0.19999999999999998,13.0,2008-02-16,32500.0,-0.1,31958.29,0.1,0.3,0.1,KMT,260.0,2008-01-24,32218.29,2008-02-16,0.3,27.81,0.0,2008-01-24,25.0
1.85,-12.600000000000001,7.0,2008-03-22,31500.0,-0.02,31958.29,14.3,1.7,14.3,HNT,-8820.0,2008-01-25,23138.29,2008-03-22,1.7,45.96,13.9,2008-01-25,45.0
2.55,-0.5,7.0,2008-02-16,31500.0,-0.03,31958.29,2.85,2.35,2.85,PCAR,-350.0,2008-01-24,31608.29,2008-02-16,2.35,46.5,2.1,2008-01-24,45.0
2.15,1.95,6.0,2008-02-16,30000.0,-0.07,31958.29,0.05,2.0,0.05,TEX,1170.0,2008-01-24,33128.29,2008-02-16,2.0,53.56,0.0,2008-01-24,50.0
4.2,3.75,7.0,2008-03-22,31500.0,-0.02,31958.29,0.05,3.8,0.05,CENX,2625.0,2008-01-25,34583.29,2008-03-22,3.8,45.94,0.0,2008-01-25,45.0
1.45,1.3,6.0,2008-02-16,31500.0,-0.04,31958.29,0.05,1.35,0.05,VLO,780.0,2008-01-24,32738.29,2008-02-16,1.35,54.57,0.0,2008-01-24,52.5
0.4,0.3,26.0,2008-02-16,32500.0,-0.11,31958.29,0.05,0.35,0.05,ODP,780.0,2008-01-24,32738.29,2008-02-16,0.35,14.04,0.0,2008-01-24,12.5
2.4,-4.2,4.0,2008-02-16,30000.0,-0.02,31958.29,6.4,2.2,6.4,HUM,-1680.0,2008-01-24,30278.29,2008-02-16,2.2,76.91,6.0,2008-01-24,75.0
