c_ask,gross_profit,contracts,expiry,actual_notional,delta,target_notional,f_mid,c_bid,f_ask,ticker,total_profit,c_date,ending_total,f_date,c_mid,current,f_bid,trade_date,strike
1.85,-6.15,12.0,2008-10-18,27000.0,-0.01,25921.93,7.8,1.65,7.8,WDC,-7380.0,2008-09-22,18541.93,2008-10-18,1.65,22.8,7.4,2008-09-22,22.5
2.95,-14.7,9.0,2008-10-18,27000.0,-0.05,25921.93,17.4,2.7,17.4,AKS,-13230.0,2008-09-22,12691.93,2008-10-18,2.7,31.56,17.1,2008-09-22,30.0
3.8,-16.599999999999998,4.0,2008-10-18,24000.0,-0.04,25921.93,20.2,3.6,20.2,FLR,-6640.0,2008-09-22,19281.93,2008-10-18,3.6,62.28,19.6,2008-09-22,60.0
2.7,-13.45,6.0,2008-10-18,24000.0,-0.08,25921.93,15.9,2.45,15.9,ATI,-8070.0,2008-09-22,17851.93,2008-10-18,2.45,43.27,15.4,2008-09-22,40.0
1.4,-6.7,10.0,2008-10-18,25000.0,-0.01,25921.93,7.7,1.0,7.7,HNT,-6700.0,2008-09-22,19221.93,2008-10-18,1.0,25.3,7.0,2008-09-22,25.0
1.55,-7.699999999999999,21.0,2008-10-18,26250.0,-0.03,25921.93,8.7,1.0,8.7,CVI,-16170.0,2008-09-22,9751.93,2008-10-18,1.0,12.89,7.9,2008-09-22,12.5
0.8,-4.3999999999999995,17.0,2008-10-18,25500.0,-0.06,25921.93,5.1,0.7,5.1,AEO,-7480.0,2008-09-22,18441.93,2008-10-18,0.7,15.88,4.9,2008-09-22,15.0
2.15,-15.5,6.0,2008-10-18,27000.0,-0.07,25921.93,17.5,2.0,17.5,SGY,-9300.0,2008-09-22,16621.93,2008-10-18,2.0,48.28,15.5,2008-09-22,45.0
3.2,-23.8,6.0,2008-10-18,24000.0,-0.01,25921.93,26.7,2.9,26.7,CENX,-14280.0,2008-09-22,11641.93,2008-10-18,2.9,40.53,26.1,2008-09-22,40.0
1.93,-11.18,8.0,2008-10-18,24800.0,-0.06,25921.93,13.0,1.82,13.0,VLO,-8944.0,2008-09-22,16977.93,2008-10-18,1.82,33.02,12.8,2008-09-22,31.0
0.75,-5.8500000000000005,17.0,2008-10-18,25500.0,-0.04,25921.93,6.2,0.35,6.2,CBS,-9945.0,2008-09-22,15976.93,2008-10-18,0.35,15.59,5.1,2008-09-22,15.0
0.25,-2.05,52.0,2008-10-18,26000.0,-0.14,25921.93,2.25,0.2,2.25,ODP,-10660.0,2008-09-22,15261.93,2008-10-18,0.2,5.83,2.0,2008-09-22,5.0
1.65,-3.2499999999999996,6.0,2008-10-18,24000.0,-0.06,25921.93,4.6,1.35,4.6,HUM,-1950.0,2008-09-22,23971.93,2008-10-18,1.35,42.67,3.9,2008-09-22,40.0
1.1,-8.9,9.0,2008-10-18,27000.0,-0.1,25921.93,9.9,1.0,9.9,TEX,-8010.0,2008-09-22,17911.93,2008-10-18,1.0,33.48,9.5,2008-09-22,30.0
1.2,-4.95,26.0,2008-11-22,26000.0,-0.03,25921.93,6.0,1.05,6.0,OSK,-12870.0,2008-09-26,13051.93,2008-11-22,1.05,10.32,5.6,2008-09-26,10.0
2.0,-2.3,13.0,2008-10-18,26000.0,0.02,25921.93,4.1,1.8,4.1,KBR,-2990.0,2008-09-22,22931.93,2008-10-18,1.8,19.54,3.7,2008-09-22,20.0
2.6,-2.5000000000000004,9.0,2008-10-18,27000.0,-0.01,25921.93,4.9,2.4,4.9,ASH,-2250.0,2008-09-22,23671.93,2008-10-18,2.4,30.23,4.3,2008-09-22,30.0
2.5,-10.05,9.0,2008-11-22,27000.0,-0.03,25921.93,12.4,2.35,12.4,LRCX,-9045.0,2008-10-01,16876.93,2008-11-22,2.35,31.06,12.0,2008-10-01,30.0
2.1,-4.05,15.0,2008-10-18,26250.0,0.04,25921.93,6.0,1.95,6.0,GT,-6075.0,2008-09-22,19846.93,2008-10-18,1.95,16.79,5.6,2008-09-22,17.5
0.9,-5.05,15.0,2008-10-18,26250.0,-0.06,25921.93,5.8,0.75,5.8,MTW,-7575.0,2008-09-22,18346.93,2008-10-18,0.75,18.64,5.4,2008-09-22,17.5
1.2,-4.25,17.0,2008-10-18,25500.0,0.01,25921.93,5.2,0.95,5.2,URI,-7225.0,2008-09-25,18696.93,2008-10-18,0.95,14.86,4.8,2008-09-25,15.0
3.9,-11.399999999999999,6.0,2008-10-18,24000.0,0.0,25921.93,14.6,3.2,14.6,WCG,-6840.0,2008-09-22,19081.93,2008-10-18,3.2,39.85,12.6,2008-09-22,40.0
0.65,-5.3,17.0,2008-10-18,25500.0,-0.1,25921.93,5.8,0.5,5.8,GRA,-9010.0,2008-09-25,16911.93,2008-10-18,0.5,16.66,5.5,2008-09-25,15.0
1.15,0.1499999999999999,10.0,2008-10-18,25000.0,-0.02,25921.93,0.8,0.95,0.8,UNH,150.0,2008-09-24,26071.93,2008-10-18,0.95,25.63,0.4,2008-09-24,25.0
2.5,-5.699999999999999,15.0,2008-11-22,26250.0,-0.02,25921.93,8.1,2.4,8.1,FTO,-8550.0,2008-10-01,17371.93,2008-11-22,2.4,17.91,7.8,2008-10-01,17.5
2.0,-8.25,6.0,2008-10-18,24000.0,-0.06,25921.93,10.1,1.85,10.1,ANF,-4950.0,2008-09-22,20971.93,2008-10-18,1.85,42.5,9.8,2008-09-22,40.0
1.2,-0.9999999999999998,26.0,2008-11-22,26000.0,0.04,25921.93,2.05,1.05,2.05,KG,-2600.0,2008-10-01,23321.93,2008-11-22,1.05,9.63,1.3,2008-10-01,10.0
4.95,-32.55,4.0,2008-10-18,28000.0,-0.06,25921.93,37.25,4.7,37.25,FCX,-13020.0,2008-09-22,12901.93,2008-10-18,4.7,74.64,37.0,2008-09-22,70.0
1.05,-2.55,35.0,2008-10-18,26250.0,0.1,25921.93,3.5,0.95,3.5,AMKR,-8925.0,2008-09-22,16996.93,2008-10-18,0.95,6.8,3.3,2008-09-22,7.5
0.95,-2.5,35.0,2008-10-18,26250.0,0.09,25921.93,3.3,0.8,3.3,VSH,-8750.0,2008-09-23,17171.93,2008-10-18,0.8,6.91,3.0,2008-09-23,7.5
4.5,-11.3,6.0,2008-10-18,27000.0,0.01,25921.93,14.9,3.6,14.9,JLL,-6780.0,2008-09-22,19141.93,2008-10-18,3.6,44.41,12.6,2008-09-22,45.0
2.8,-13.450000000000001,6.0,2008-10-18,27000.0,-0.04,25921.93,15.8,2.35,15.8,MAN,-8070.0,2008-09-22,17851.93,2008-10-18,2.35,47.1,13.2,2008-09-22,45.0
0.4,-2.05,26.0,2008-10-18,26000.0,-0.12,25921.93,2.4,0.35,2.4,NVDA,-5330.0,2008-09-22,20591.93,2008-10-18,0.35,11.38,2.25,2008-09-22,10.0
