c_ask,gross_profit,contracts,expiry,actual_notional,delta,target_notional,f_mid,c_bid,f_ask,ticker,total_profit,c_date,ending_total,f_date,c_mid,current,f_bid,trade_date,strike
0.4375,0.124,26.0,1998-06-20,95225.0,-0.09,95490.71,0.188,0.25,0.25,LANC,322.4,1998-05-18,95813.11,1998-06-20,0.312,40.38,0.0625,1998-05-18,36.625
1.1875,1.02,15.0,1998-06-20,97500.0,-0.08,95490.71,0.084,1.0625,0.125,WLP,1530.0,1998-05-18,97020.71,1998-06-20,1.104,70.91,0.0,1998-05-18,65.0
0.4375,0.22799999999999998,32.0,1998-07-18,96000.0,-0.14,95490.71,0.084,0.25,0.125,CTX,729.6,1998-05-27,96220.31000000001,1998-07-18,0.312,34.69,0.0,1998-05-27,30.0
0.625,0.29000000000000004,38.0,1998-06-20,95000.0,-0.05,95490.71,0.168,0.375,0.25,KWP,1102.0,1998-05-18,96592.71,1998-06-20,0.458,26.34,0.0,1998-05-18,25.0
0.4375,-1.8760000000000001,48.0,1998-06-20,96000.0,-0.09,95490.71,2.188,0.25,2.25,OEI,-9004.8,1998-05-18,86485.91,1998-06-20,0.312,22.06,2.0625,1998-05-18,20.0
0.25,0.082,19.0,1998-06-20,95000.0,-0.08,95490.71,0.084,0.125,0.125,CCN,155.8,1998-05-18,95646.51000000001,1998-06-20,0.166,54.28,0.0,1998-05-18,50.0
0.625,-6.627000000000001,48.0,1998-06-20,96000.0,-0.12,95490.71,7.126,0.4375,7.25,SMOD,-31809.6,1998-05-18,63681.11000000001,1998-06-20,0.499,22.66,6.875,1998-05-18,20.0
0.8125,0.729,35.0,1998-06-20,96250.0,-0.07,95490.71,0.042,0.75,0.0625,CPQ,2551.5,1998-05-18,98042.21,1998-06-20,0.771,29.63,0.0,1998-05-18,27.5
0.25,0.16599999999999998,15.0,1998-06-20,97500.0,-0.12,95490.71,0.042,0.1875,0.0625,GM,249.0,1998-05-18,95739.71,1998-06-20,0.208,74.06,0.0,1998-05-18,65.0
0.25,0.124,64.0,1998-06-20,96000.0,-0.13,95490.71,0.042,0.125,0.0625,CPU,793.6,1998-05-20,96284.31000000001,1998-06-20,0.166,17.25,0.0,1998-05-20,15.0
1.0,0.832,48.0,1998-07-18,96000.0,-0.05,95490.71,0.042,0.8125,0.0625,ELY,3993.6,1998-05-26,99484.31000000001,1998-07-18,0.874,21.13,0.0,1998-05-26,20.0
