ticker,trade_date,expiry,current,strike,delta,c_date,c_bid,c_ask,c_mid,f_date,f_bid,f_ask,f_mid,gross_profit,s_yield,a_yield,target_notional,contracts,actual_notional,total_profit,ending_total
COP,2008-07-30,2008-09-20,82.45,80.0,-0.0297,2008-07-30,1.9,1.93,1.91,2008-09-20,1.54,1.71,1.654,0.256,0.0239,0.1776,28585.49,4.0,32000.0,102.4,28687.890000000003
SWK,2008-08-04,2008-09-20,44.26,42.5,-0.0398,2008-08-04,1.35,1.65,1.449,2008-09-20,0.0,0.15,0.101,1.348,0.0341,0.2928,28585.49,7.0,29750.0,943.6,29529.09
BBY,2008-08-04,2008-09-20,39.86,37.5,-0.0592,2008-08-04,1.45,1.55,1.483,2008-09-20,0.0,0.05,0.034,1.449,0.0395,0.3455,28585.49,8.0,30000.0,1159.2,29744.690000000002
CVX,2008-07-29,2008-09-20,82.57,80.0,-0.0311,2008-07-29,2.5,2.65,2.55,2008-09-20,0.0,0.05,0.034,2.516,0.0319,0.2377,28585.49,4.0,32000.0,1006.4,29591.890000000003
CSL,2008-07-29,2008-09-20,30.84,30.0,-0.0272,2008-07-29,0.95,1.35,1.082,2008-09-20,0.0,0.15,0.101,0.9810000000000001,0.0361,0.2724,28585.49,10.0,30000.0,981.0,29566.49
FLR,2008-08-01,2008-09-20,82.54,80.0,-0.0308,2008-08-01,5.8,6.1,5.899,2008-09-20,15.8,16.4,16.202,-10.303,0.0737,0.6686,28585.49,4.0,32000.0,-4121.2,24464.29
MGLN,2008-07-29,2008-09-20,36.76,35.0,-0.0479,2008-07-29,0.85,1.35,1.015,2008-09-20,0.0,0.2,0.134,0.8809999999999999,0.029,0.2143,28585.49,8.0,28000.0,704.8,29290.29
ATW,2008-08-04,2008-09-20,44.75,42.5,-0.0503,2008-08-04,3.5,3.8,3.599,2008-09-20,1.95,2.3,2.184,1.415,0.0847,0.864,28585.49,7.0,29750.0,990.5,29575.99
KLAC,2008-07-29,2008-09-20,36.75,35.0,-0.0476,2008-07-29,1.6,1.7,1.633,2008-09-20,0.65,0.8,0.751,0.882,0.0467,0.3635,28585.49,8.0,28000.0,705.6,29291.09
CVG,2008-07-31,2008-09-20,12.63,12.5,-0.0103,2008-07-31,0.5,0.6,0.533,2008-09-20,0.0,0.45,0.302,0.23100000000000004,0.0426,0.3424,28585.49,23.0,28750.0,531.3,29116.79
SHLD,2008-07-29,2008-09-20,78.61,75.0,-0.0459,2008-07-29,4.9,5.6,5.131,2008-09-20,0.0,0.05,0.034,5.097,0.0684,0.5674,28585.49,4.0,30000.0,2038.8,30624.29
AEO,2008-07-29,2008-09-20,14.1,12.5,-0.1135,2008-07-29,0.6,0.7,0.633,2008-09-20,0.0,0.05,0.034,0.599,0.0506,0.3983,28585.49,23.0,28750.0,1377.7,29963.190000000002
DKS,2008-07-29,2008-09-20,18.02,17.5,-0.0289,2008-07-29,1.25,1.35,1.283,2008-09-20,0.0,0.05,0.034,1.2489999999999999,0.0733,0.6169,28585.49,16.0,28000.0,1998.4,30583.890000000003
KSS,2008-07-29,2008-09-20,41.48,40.0,-0.0357,2008-07-29,2.1,2.2,2.133,2008-09-20,0.0,0.05,0.034,2.099,0.0533,0.4229,28585.49,7.0,28000.0,1469.3,30054.79
VLO,2008-08-04,2008-09-20,31.71,31.0,-0.0224,2008-08-04,2.39,2.44,2.407,2008-09-20,0.0,0.01,0.007,2.4,0.0776,0.7726,28585.49,9.0,27900.0,2160.0,30745.49
VSEA,2008-07-29,2008-09-20,27.45,25.0,-0.0893,2008-07-29,0.8,0.9,0.833,2008-09-20,0.0,0.1,0.067,0.766,0.0333,0.2492,28585.49,11.0,27500.0,842.6,29428.09
