c_ask,gross_profit,contracts,expiry,actual_notional,delta,target_notional,f_mid,c_bid,f_ask,ticker,total_profit,c_date,ending_total,f_date,c_mid,current,f_bid,trade_date,strike
1.5,0.04999999999999982,9.0,2007-11-17,33750.0,-0.03,33731.68,1.35,1.4,1.35,USG,45.0,2007-10-01,33776.68,2007-11-17,1.4,38.67,1.1,2007-10-01,37.5
2.24,-3.97,4.0,2007-11-17,34000.0,-0.03,33731.68,6.15,2.18,6.15,COP,-1588.0,2007-10-01,32143.68,2007-11-17,2.18,87.22,6.0,2007-10-01,85.0
2.4,2.1,6.0,2007-11-17,33000.0,0.01,33731.68,0.15,2.25,0.15,AET,1260.0,2007-10-01,34991.68,2007-11-17,2.25,54.64,0.0,2007-10-01,55.0
1.65,-2.8000000000000003,4.0,2007-11-17,36000.0,-0.04,33731.68,4.4,1.6,4.4,CVX,-1120.0,2007-10-01,32611.68,2007-11-17,1.6,93.9,4.2,2007-10-01,90.0
0.4,0.25,11.0,2007-11-17,33000.0,-0.1,33731.68,0.05,0.3,0.05,HP,275.0,2007-10-01,34006.68,2007-11-17,0.3,33.27,0.0,2007-10-01,30.0
1.4,0.9500000000000001,11.0,2007-11-17,33000.0,-0.06,33731.68,0.35,1.3,0.35,CMC,1045.0,2007-10-01,34776.68,2007-11-17,1.3,32.0,0.15,2007-10-01,30.0
1.4,-4.35,6.0,2007-11-17,31500.0,-0.03,33731.68,5.6,1.25,5.6,HNT,-2610.0,2007-10-01,31121.68,2007-11-17,1.25,54.38,5.3,2007-10-01,52.5
1.25,1.0999999999999999,17.0,2007-11-17,34000.0,-0.02,33731.68,0.05,1.15,0.05,TOL,1870.0,2007-10-01,35601.68,2007-11-17,1.15,20.5,0.0,2007-10-01,20.0
2.15,1.8,7.0,2007-11-17,35000.0,-0.07,33731.68,0.15,1.95,0.15,CENX,1260.0,2007-10-01,34991.68,2007-11-17,1.95,53.59,0.0,2007-10-01,50.0
2.3,2.1500000000000004,5.0,2007-11-17,32500.0,-0.03,33731.68,0.05,2.2,0.05,VLO,1075.0,2007-10-01,34806.68,2007-11-17,2.2,66.98,0.0,2007-10-01,65.0
2.25,-3.3000000000000003,6.0,2007-11-17,33000.0,-0.04,33731.68,5.4,2.1,5.4,RS,-1980.0,2007-10-01,31751.68,2007-11-17,2.1,57.02,5.0,2007-10-01,55.0
2.65,2.45,5.0,2007-11-17,35000.0,-0.01,33731.68,0.05,2.5,0.05,HUM,1225.0,2007-10-01,34956.68,2007-11-17,2.5,70.67,0.0,2007-10-01,70.0
1.85,-2.8999999999999995,10.0,2007-11-17,35000.0,-0.09,33731.68,4.6,1.7,4.6,WNR,-2900.0,2007-10-03,30831.68,2007-11-17,1.7,38.47,4.1,2007-10-03,35.0
2.05,-2.45,6.0,2007-11-17,33000.0,-0.06,33731.68,4.4,1.95,4.4,NUE,-1470.0,2007-10-01,32261.68,2007-11-17,1.95,58.8,4.0,2007-10-01,55.0
1.45,1.3,7.0,2007-11-17,31500.0,-0.02,33731.68,0.05,1.35,0.05,HOG,910.0,2007-10-01,34641.68,2007-11-17,1.35,46.04,0.0,2007-10-01,45.0
0.8,0.6,7.0,2007-11-17,31500.0,-0.07,33731.68,0.05,0.65,0.05,UNT,420.0,2007-10-01,34151.68,2007-11-17,0.65,48.23,0.0,2007-10-01,45.0
2.4,2.25,5.0,2007-11-17,32500.0,-0.02,33731.68,0.05,2.3,0.05,HES,1125.0,2007-10-01,34856.68,2007-11-17,2.3,66.22,0.0,2007-10-01,65.0
1.95,-3.7500000000000004,7.0,2007-11-17,31500.0,-0.03,33731.68,5.4,1.65,5.4,MTW,-2625.0,2007-10-01,31106.68,2007-11-17,1.65,46.25,5.1,2007-10-01,45.0
1.95,1.8,6.0,2007-11-17,33000.0,-0.04,33731.68,0.05,1.85,0.05,MRO,1080.0,2007-10-01,34811.68,2007-11-17,1.85,57.1,0.0,2007-10-01,55.0
0.5,0.4,7.0,2007-11-17,31500.0,-0.07,33731.68,0.05,0.45,0.05,UNH,280.0,2007-10-01,34011.68,2007-11-17,0.45,48.44,0.0,2007-10-01,45.0
1.15,0.6,7.0,2007-11-17,35000.0,-0.04,33731.68,0.1,0.7,0.1,FMC,420.0,2007-10-01,34151.68,2007-11-17,0.7,52.14,0.0,2007-10-01,50.0
1.7,1.55,8.0,2007-11-17,32000.0,-0.05,33731.68,0.05,1.6,0.05,FTO,1240.0,2007-10-01,34971.68,2007-11-17,1.6,42.02,0.0,2007-10-01,40.0
1.5,0.9,11.0,2007-11-17,33000.0,-0.09,33731.68,0.1,1.0,0.1,LEA,990.0,2007-10-03,34721.68,2007-11-17,1.0,32.89,0.0,2007-10-03,30.0
1.45,-1.35,27.0,2007-11-17,33750.0,0.08,33731.68,2.6,1.25,2.6,KG,-3645.0,2007-10-01,30086.68,2007-11-17,1.25,11.6,2.45,2007-10-01,12.5
1.15,-7.2,15.0,2007-11-17,33750.0,-0.08,33731.68,7.8,0.6,7.8,MGI,-10800.0,2007-10-11,22931.68,2007-11-17,0.6,24.46,7.5,2007-10-11,22.5
0.45,0.30000000000000004,17.0,2007-11-17,34000.0,-0.07,33731.68,0.1,0.4,0.1,PTEN,510.0,2007-10-08,34241.68,2007-11-17,0.4,21.6,0.0,2007-10-08,20.0
2.45,-5.35,11.0,2007-11-17,33000.0,-0.0,33731.68,7.7,2.35,7.7,LCC,-5885.0,2007-10-05,27846.68,2007-11-17,2.35,30.05,7.5,2007-10-05,30.0
0.9,-4.85,15.0,2007-11-17,33750.0,-0.04,33731.68,5.6,0.75,5.6,PSS,-7275.0,2007-10-03,26456.68,2007-11-17,0.75,23.42,5.1,2007-10-03,22.5
1.7,-2.6,8.0,2007-11-17,32000.0,-0.03,33731.68,4.2,1.6,4.2,LXK,-2080.0,2007-10-01,31651.68,2007-11-17,1.6,41.26,3.9,2007-10-01,40.0
