c_ask,gross_profit,contracts,expiry,actual_notional,delta,target_notional,f_mid,c_bid,f_ask,ticker,total_profit,c_date,ending_total,f_date,c_mid,current,f_bid,trade_date,strike
0.3125,-0.02300000000000002,31.0,1999-12-18,77500.0,-0.18,78650.3,0.168,0.0625,0.25,CDD,-71.3,1999-11-22,78579.0,1999-12-18,0.145,30.56,0.0,1999-11-22,25.0
0.375,0.01999999999999999,17.0,1999-12-18,76500.0,-0.14,78650.3,0.188,0.125,0.25,GD,34.0,1999-11-22,78684.3,1999-12-18,0.208,52.34,0.0625,1999-11-22,45.0
1.0,-1.168,22.0,1999-12-18,77000.0,-0.06,78650.3,2.001,0.75,2.125,ALK,-2569.6,1999-11-22,76080.7,1999-12-18,0.833,37.34,1.75,1999-11-22,35.0
0.5625,0.227,39.0,1999-12-18,78000.0,-0.14,78650.3,0.168,0.3125,0.25,ABF,885.3,1999-11-22,79535.6,1999-12-18,0.395,23.16,0.0,1999-11-22,20.0
0.1875,-0.667,79.0,1999-12-18,79000.0,-0.08,78650.3,0.771,0.0625,0.8125,CMH,-5269.3,1999-11-22,73381.0,1999-12-18,0.104,10.88,0.6875,1999-11-22,10.0
1.6875,1.145,17.0,2000-01-22,76500.0,-0.08,78650.3,0.459,1.5625,0.5,DAL,1946.5,1999-11-29,80596.8,2000-01-22,1.604,49.13,0.375,1999-11-29,45.0
0.5625,0.040000000000000036,105.0,1999-12-18,78750.0,-0.07,78650.3,0.355,0.3125,0.4375,HUM,420.0,1999-11-22,79070.3,1999-12-18,0.395,8.06,0.1875,1999-11-22,7.5
0.3125,0.10299999999999998,35.0,1999-12-18,78750.0,-0.15,78650.3,0.042,0.0625,0.0625,CTX,360.5,1999-11-22,79010.8,1999-12-18,0.145,26.34,0.0,1999-11-22,22.5
1.25,0.4780000000000001,26.0,2000-01-22,78000.0,-0.06,78650.3,0.646,1.0625,0.6875,ABS,1242.8,1999-12-01,79893.1,2000-01-22,1.124,31.75,0.5625,1999-12-01,30.0
0.4375,0.27,16.0,1999-12-18,80000.0,-0.11,78650.3,0.126,0.375,0.1875,NOC,432.0,1999-11-23,79082.3,1999-12-18,0.396,55.94,0.0,1999-11-23,50.0
0.375,-1.585,39.0,1999-12-18,78000.0,-0.1,78650.3,1.834,0.1875,1.875,IBP,-6181.5,1999-11-22,72468.8,1999-12-18,0.249,22.16,1.75,1999-11-22,20.0
2.0,1.665,12.0,1999-12-18,78000.0,-0.11,78650.3,0.168,1.75,0.25,CCN,1998.0,1999-11-22,80648.3,1999-12-18,1.833,72.69,0.0,1999-11-22,65.0
0.5,-1.147,52.0,1999-12-18,78000.0,-0.06,78650.3,1.563,0.375,1.5625,CTB,-5964.4,1999-11-22,72685.90000000001,1999-12-18,0.416,15.88,1.5625,1999-11-22,15.0
0.5,0.166,105.0,2000-01-22,78750.0,-0.14,78650.3,0.167,0.25,0.1875,MDR,1743.0,1999-11-30,80393.3,2000-01-22,0.333,8.69,0.125,1999-11-30,7.5
