c_ask,gross_profit,contracts,expiry,actual_notional,delta,target_notional,f_mid,c_bid,f_ask,ticker,total_profit,c_date,ending_total,f_date,c_mid,current,f_bid,trade_date,strike
1.5,1.291,15.0,1998-11-21,52500.0,-0.06,54043.0,0.042,1.25,0.0625,USG,1936.5,1998-10-13,55979.5,1998-11-21,1.333,37.28,0.0,1998-10-13,35.0
1.375,1.2069999999999999,22.0,1998-11-21,55000.0,-0.07,54043.0,0.084,1.25,0.125,DO,2655.4,1998-10-20,56698.4,1998-11-21,1.291,26.84,0.0,1998-10-20,25.0
0.25,0.08199999999999999,108.0,1998-11-21,54000.0,-0.27,54043.0,0.042,0.0625,0.0625,OMX,885.6,1998-10-13,54928.6,1998-11-21,0.124,6.88,0.0,1998-10-13,5.0
0.4375,0.10200000000000001,72.0,1998-11-21,54000.0,-0.12,54043.0,0.168,0.1875,0.25,NIN,734.4,1998-10-16,54777.4,1998-11-21,0.27,8.5,0.0,1998-10-16,7.5
1.125,0.9989999999999999,72.0,1998-11-21,54000.0,-0.11,54043.0,0.042,1.0,0.0625,CIEN,7192.8,1998-10-14,61235.8,1998-11-21,1.041,8.42,0.0,1998-10-14,7.5
0.875,0.624,31.0,1998-11-21,54250.0,-0.11,54043.0,0.084,0.625,0.125,SKS,1934.4,1998-10-13,55977.4,1998-11-21,0.708,19.59,0.0,1998-10-13,17.5
1.875,1.54,6.0,1998-11-21,54000.0,-0.1,54043.0,0.168,1.625,0.25,DAL,924.0,1998-10-19,54967.0,1998-11-21,1.708,99.75,0.0,1998-10-19,90.0
1.0625,0.727,54.0,1998-11-21,54000.0,-0.12,54043.0,0.168,0.8125,0.25,GDYS,3925.8,1998-10-13,57968.8,1998-11-21,0.895,11.41,0.0,1998-10-13,10.0
0.5625,0.35300000000000004,27.0,1998-11-21,54000.0,-0.1,54043.0,0.042,0.3125,0.0625,TJX,953.1,1998-10-15,54996.1,1998-11-21,0.395,22.28,0.0,1998-10-15,20.0
1.75,1.54,11.0,1998-11-21,55000.0,-0.12,54043.0,0.126,1.625,0.1875,WLP,1694.0,1998-10-13,55737.0,1998-11-21,1.666,56.69,0.0,1998-10-13,50.0
0.5625,0.395,54.0,1998-11-21,54000.0,-0.06,54043.0,0.042,0.375,0.0625,ELY,2133.0,1998-10-16,56176.0,1998-11-21,0.437,10.63,0.0,1998-10-16,10.0
0.8125,0.6030000000000001,27.0,1998-11-21,54000.0,-0.08,54043.0,0.084,0.625,0.125,ATR,1628.1,1998-10-13,55671.1,1998-11-21,0.687,21.66,0.0,1998-10-13,20.0
0.5625,0.39499999999999996,72.0,1998-11-21,54000.0,-0.17,54043.0,0.084,0.4375,0.125,THI,2844.0,1998-10-13,56887.0,1998-11-21,0.479,9.06,0.0,1998-10-13,7.5
0.625,0.29000000000000004,36.0,1998-11-21,54000.0,-0.11,54043.0,0.168,0.375,0.25,HUM,1044.0,1998-10-16,55087.0,1998-11-21,0.458,16.94,0.0,1998-10-16,15.0
1.0,0.7909999999999999,22.0,1998-11-21,55000.0,-0.12,54043.0,0.042,0.75,0.0625,HAL,1740.2,1998-10-13,55783.2,1998-11-21,0.833,28.31,0.0,1998-10-13,25.0
0.4375,0.27,108.0,1998-11-21,54000.0,-0.26,54043.0,0.042,0.25,0.0625,PIR,2916.0,1998-10-13,56959.0,1998-11-21,0.312,6.75,0.0,1998-10-13,5.0
0.8125,0.561,36.0,1998-11-21,54000.0,-0.07,54043.0,0.126,0.625,0.1875,LZB,2019.6,1998-10-13,56062.6,1998-11-21,0.687,16.09,0.0,1998-10-13,15.0
0.8125,0.687,27.0,1998-11-21,54000.0,-0.11,54043.0,0.084,0.75,0.125,TDW,1854.9,1998-10-16,55897.9,1998-11-21,0.771,22.44,0.0,1998-10-16,20.0
0.375,0.03999999999999998,43.0,1998-11-21,53750.0,-0.17,54043.0,0.168,0.125,0.25,AKS,172.0,1998-10-15,54215.0,1998-11-21,0.208,15.0,0.0,1998-10-15,12.5
