ticker,trade_date,expiry,current,strike,delta,c_date,c_bid,c_ask,c_mid,f_date,f_bid,f_ask,f_mid,gross_profit,s_yield,a_yield,target_notional,contracts,actual_notional,total_profit,ending_total
USG,2005-11-29,2006-01-21,61.34,60.0,-0.0218,2005-11-29,3.6,3.9,3.699,2006-01-21,0.5,0.65,0.601,3.098,0.0616,0.5009,23768.32,4.0,24000.0,1239.2,25007.52
COP,2005-11-29,2006-01-21,62.03,60.0,-0.0327,2005-11-29,2.1,2.2,2.133,2006-01-21,2.3,2.45,2.401,-0.2679999999999998,0.0355,0.2674,23768.32,4.0,24000.0,-107.2,23661.12
RYL,2005-11-29,2006-01-21,73.67,70.0,-0.0498,2005-11-29,2.7,2.9,2.766,2006-01-21,1.25,1.4,1.351,1.415,0.0395,0.301,23768.32,3.0,21000.0,424.5,24192.82
CVX,2005-11-29,2006-01-21,57.66,55.0,-0.0461,2005-11-29,0.9,1.0,0.933,2006-01-21,0.3,0.4,0.367,0.5660000000000001,0.017,0.1213,23768.32,4.0,22000.0,226.4,23994.72
AZO,2005-11-29,2006-01-21,88.19,85.0,-0.0362,2005-11-29,2.1,2.25,2.15,2006-01-21,0.2,0.3,0.267,1.883,0.0253,0.185,23768.32,3.0,25500.0,564.9,24333.22
CECO,2005-12-02,2006-01-21,38.46,35.0,-0.09,2005-12-02,0.7,0.85,0.75,2006-01-21,1.8,1.95,1.901,-1.151,0.0214,0.1647,23768.32,7.0,24500.0,-805.7,22962.62
SUN,2005-11-29,2006-01-21,78.51,75.0,-0.0447,2005-11-29,3.0,3.1,3.033,2006-01-21,0.95,1.05,1.017,2.016,0.0404,0.3087,23768.32,3.0,22500.0,604.8,24373.12
VFC,2005-11-29,2006-01-21,56.63,55.0,-0.0288,2005-11-29,1.15,1.35,1.216,2006-01-21,0.85,1.0,0.951,0.265,0.0221,0.1601,23768.32,4.0,22000.0,106.0,23874.32
BJ,2005-11-29,2006-01-21,26.85,25.0,-0.0689,2005-11-29,0.6,0.7,0.633,2006-01-21,0.05,0.2,0.151,0.482,0.0253,0.185,23768.32,10.0,25000.0,482.0,24250.32
COLM,2005-11-29,2006-01-21,46.36,45.0,-0.0293,2005-11-29,1.0,1.2,1.066,2006-01-21,0.05,0.3,0.218,0.8480000000000001,0.0237,0.1725,23768.32,5.0,22500.0,424.0,24192.32
AAP,2005-11-29,2006-01-21,42.52,40.0,-0.0593,2005-11-29,0.6,0.75,0.649,2006-01-21,0.05,0.25,0.184,0.465,0.0162,0.1153,23768.32,6.0,24000.0,279.0,24047.32
TOL,2005-11-30,2006-01-21,34.41,32.5,-0.0555,2005-11-30,1.4,1.5,1.433,2006-01-21,0.45,0.5,0.484,0.9490000000000001,0.0441,0.3482,23768.32,7.0,22750.0,664.3,24432.62
SMG,2005-11-29,2006-01-21,46.64,45.0,-0.0352,2005-11-29,0.85,1.05,0.916,2006-01-21,0.75,0.95,0.884,0.03200000000000003,0.0204,0.147,23768.32,5.0,22500.0,16.0,23784.32
SII,2005-11-29,2006-01-21,36.94,35.0,-0.0525,2005-11-29,0.9,1.0,0.933,2006-01-21,0.25,0.35,0.317,0.6160000000000001,0.0267,0.196,23768.32,7.0,24500.0,431.2,24199.52
PCAR,2005-11-29,2006-01-21,72.65,70.0,-0.0365,2005-11-29,2.05,2.45,2.182,2006-01-21,1.6,1.8,1.734,0.44799999999999995,0.0312,0.2321,23768.32,3.0,21000.0,134.4,23902.72
PPC,2005-11-29,2006-01-21,32.28,30.0,-0.0706,2005-11-29,0.7,0.95,0.782,2006-01-21,0.05,0.15,0.117,0.665,0.0261,0.1913,23768.32,8.0,24000.0,532.0,24300.32
PPG,2005-12-02,2006-01-21,61.03,60.0,-0.0169,2005-12-02,1.0,1.15,1.05,2006-01-21,2.2,2.4,2.334,-1.284,0.0175,0.133,23768.32,4.0,24000.0,-513.6,23254.72
TTWO,2005-11-29,2006-01-21,18.43,17.5,-0.0505,2005-11-29,0.7,1.2,0.865,2006-01-21,0.9,1.05,1.001,-0.1359999999999999,0.0494,0.3875,23768.32,14.0,24500.0,-190.4,23577.92
VLO,2005-11-29,2006-01-21,96.18,95.0,-0.0123,2005-11-29,5.2,5.4,5.266,2006-01-21,0.9,1.0,0.967,4.299,0.0554,0.4423,23768.32,3.0,28500.0,1289.7,25058.02
MDC,2005-11-29,2006-01-21,68.53,65.0,-0.0515,2005-11-29,2.3,2.45,2.349,2006-01-21,3.8,4.1,4.001,-1.6520000000000001,0.0361,0.2724,23768.32,4.0,26000.0,-660.8,23107.52
EAC,2005-11-29,2006-01-21,31.55,30.0,-0.0491,2005-11-29,1.2,1.7,1.365,2006-01-21,0.3,0.7,0.568,0.797,0.0455,0.3529,23768.32,8.0,24000.0,637.6,24405.92
MUR,2005-12-06,2006-01-21,51.73,50.0,-0.0334,2005-12-06,1.25,1.35,1.283,2006-01-21,0.2,0.35,0.3,0.9829999999999999,0.0257,0.2197,23768.32,5.0,25000.0,491.5,24259.82
WHR,2005-11-29,2006-01-21,82.08,80.0,-0.0253,2005-11-29,2.3,2.4,2.333,2006-01-21,0.7,0.85,0.8,1.5330000000000001,0.0292,0.2159,23768.32,3.0,24000.0,459.9,24228.22
NBL,2005-11-29,2006-01-21,37.16,35.0,-0.0581,2005-11-29,0.95,1.1,1.0,2006-01-21,0.0,0.15,0.101,0.899,0.0286,0.2111,23768.32,7.0,24500.0,629.3,24397.62
BGG,2005-11-29,2006-01-21,35.7,35.0,-0.0196,2005-11-29,0.75,1.0,0.833,2006-01-21,0.0,0.25,0.168,0.6649999999999999,0.0238,0.1732,23768.32,7.0,24500.0,465.5,24233.82
UHS,2005-11-29,2006-01-21,48.09,45.0,-0.0643,2005-11-29,0.65,0.85,0.716,2006-01-21,0.3,0.5,0.434,0.282,0.0159,0.1131,23768.32,5.0,22500.0,141.0,23909.32
CI,2005-11-29,2006-01-21,114.47,110.0,-0.039,2005-11-29,1.9,2.05,1.95,2006-01-21,1.6,1.8,1.734,0.21599999999999997,0.0177,0.1266,23768.32,2.0,22000.0,43.2,23811.52
OXY,2005-11-29,2006-01-21,78.94,75.0,-0.0499,2005-11-29,1.85,2.0,1.9,2006-01-21,0.5,0.65,0.601,1.299,0.0253,0.185,23768.32,3.0,22500.0,389.7,24158.02
DHI,2005-11-29,2006-01-21,36.14,35.0,-0.0315,2005-11-29,1.6,1.75,1.65,2006-01-21,0.7,0.8,0.767,0.8829999999999999,0.0471,0.367,23768.32,7.0,24500.0,618.1,24386.42
LPX,2005-11-29,2006-01-21,26.79,25.0,-0.0668,2005-11-29,0.5,0.55,0.517,2006-01-21,0.15,0.2,0.183,0.334,0.0207,0.1493,23768.32,10.0,25000.0,334.0,24102.32
MRO,2005-11-29,2006-01-21,58.78,55.0,-0.0643,2005-11-29,1.3,1.45,1.35,2006-01-21,0.1,0.2,0.167,1.183,0.0245,0.1787,23768.32,4.0,22000.0,473.2,24241.52
BBY,2005-11-29,2006-01-21,49.7,47.5,-0.0443,2005-11-29,2.3,2.45,2.349,2006-01-21,4.0,4.3,4.201,-1.8519999999999994,0.0495,0.3884,23768.32,5.0,23750.0,-926.0,22842.32
DLX,2005-12-08,2006-01-21,31.52,30.0,-0.0482,2005-12-08,0.35,0.55,0.416,2006-01-21,0.35,0.6,0.518,-0.10200000000000004,0.0139,0.1196,23768.32,8.0,24000.0,-81.6,23686.72
