ticker,trade_date,expiry,current,strike,delta,c_date,c_bid,c_ask,c_mid,f_date,f_bid,f_ask,f_mid,gross_profit,s_yield,a_yield,target_notional,contracts,actual_notional,total_profit,ending_total
WDC,2011-11-25,2012-01-21,25.35,25.0,-0.0138,2011-11-25,2.42,2.46,2.433,2012-01-21,0.2,0.23,0.22,2.2129999999999996,0.0973,0.7976,86781.27,35.0,87500.0,7745.5,94526.77
NFLX,2011-11-25,2012-01-21,66.26,65.0,-0.019,2011-11-25,8.15,8.25,8.183,2012-01-21,2.34,2.36,2.353,5.83,0.1259,1.1148,86781.27,13.0,84500.0,7579.0,94360.27
HAL,2011-11-25,2012-01-21,32.31,31.0,-0.0405,2011-11-25,2.61,2.64,2.62,2012-01-21,0.34,0.35,0.347,2.273,0.0845,0.6692,86781.27,28.0,86800.0,6364.4,93145.67
FSLR,2011-11-25,2012-01-21,40.96,40.0,-0.0234,2011-11-25,4.65,4.8,4.7,2012-01-21,6.7,6.8,6.767,-2.067,0.1175,1.0171,86781.27,22.0,88000.0,-4547.4,82233.87000000001
CRR,2011-11-25,2012-01-21,132.48,130.0,-0.0187,2011-11-25,12.4,13.3,12.697,2012-01-21,9.3,10.1,9.836,2.860999999999999,0.0977,0.8017,86781.27,7.0,91000.0,2002.7,88783.97
A,2011-11-25,2012-01-21,33.8,33.0,-0.0237,2011-11-25,2.62,2.67,2.636,2012-01-21,0.57,0.6,0.59,2.0460000000000003,0.0799,0.625,86781.27,26.0,85800.0,5319.6,92100.87000000001
HP,2011-11-25,2012-01-21,50.64,50.0,-0.0126,2011-11-25,4.0,4.3,4.099,2012-01-21,0.25,0.35,0.317,3.782,0.082,0.645,86781.27,17.0,85000.0,6429.4,93210.67
SWKS,2011-12-01,2012-01-21,16.26,16.0,-0.016,2011-12-01,1.55,1.65,1.583,2012-01-21,0.75,0.8,0.784,0.7989999999999999,0.0989,0.9459,86781.27,54.0,86400.0,4314.6,91095.87000000001
GES,2011-11-25,2012-01-21,26.45,26.0,-0.017,2011-11-25,2.6,2.7,2.633,2012-01-21,0.1,0.2,0.167,2.466,0.1013,0.8394,86781.27,33.0,85800.0,8137.8,94919.07
DECK,2011-11-25,2012-01-21,98.78,97.5,-0.013,2011-11-25,7.9,8.2,7.999,2012-01-21,21.8,22.2,22.068,-14.069000000000003,0.082,0.645,86781.27,9.0,87750.0,-12662.1,74119.17
KBR,2011-11-25,2012-01-21,25.34,25.0,-0.0134,2011-11-25,2.05,2.2,2.099,2012-01-21,0.2,0.35,0.3,1.7990000000000002,0.084,0.6643,86781.27,35.0,87500.0,6296.5,93077.77
QCOR,2011-11-25,2012-01-21,41.61,41.0,-0.0147,2011-11-25,3.6,4.0,3.732,2012-01-21,1.6,1.85,1.768,1.9640000000000002,0.091,0.7334,86781.27,21.0,86100.0,4124.4,90905.67
FFIV,2011-11-25,2012-01-21,99.45,97.5,-0.0196,2011-11-25,8.55,8.65,8.583,2012-01-21,2.88,2.96,2.934,5.649,0.088,0.7035,86781.27,9.0,87750.0,5084.1,91865.37000000001
GMCR,2011-11-28,2012-01-21,51.19,50.0,-0.0232,2011-11-28,5.8,5.9,5.833,2012-01-21,6.1,6.2,6.167,-0.33399999999999963,0.1167,1.0873,86781.27,17.0,85000.0,-567.8,86213.47
HFC,2011-11-25,2012-01-21,21.99,21.5,-0.0223,2011-11-25,2.15,2.35,2.216,2012-01-21,0.35,0.45,0.417,1.7990000000000002,0.1031,0.8584,86781.27,40.0,86000.0,7196.0,93977.27
MDR,2011-11-25,2012-01-21,10.21,10.0,-0.0206,2011-11-25,0.95,1.0,0.966,2012-01-21,0.05,0.1,0.084,0.882,0.0966,0.7903,86781.27,87.0,87000.0,7673.4,94454.67
CF,2011-11-25,2012-01-21,142.19,140.0,-0.0154,2011-11-25,12.6,12.75,12.649,2012-01-21,3.75,3.9,3.851,8.797999999999998,0.0903,0.7264,86781.27,6.0,84000.0,5278.8,92060.07
CVI,2011-12-01,2012-01-21,18.11,17.5,-0.0337,2011-12-01,1.4,1.55,1.45,2012-01-21,0.35,0.5,0.451,0.9989999999999999,0.0829,0.7545,86781.27,50.0,87500.0,4995.0,91776.27
TPX,2011-11-25,2012-01-21,50.97,50.0,-0.019,2011-11-25,5.4,5.6,5.466,2012-01-21,1.45,1.6,1.55,3.9160000000000004,0.1093,0.9254,86781.27,17.0,85000.0,6657.2,93438.47
APKT,2011-11-25,2012-01-21,33.34,32.5,-0.0252,2011-11-25,3.1,3.3,3.166,2012-01-21,2.7,2.85,2.801,0.36499999999999977,0.0974,0.7986,86781.27,27.0,87750.0,985.5,87766.77
