ticker,secid,trade_date,expiry,current,strike,delta,c_date,c_bid,c_ask,c_mid,f_date,f_bid,f_ask,f_mid,gross_profit,s_yield,a_yield,target_notional,contracts,actual_notional,total_profit,ending_total
RYL,109754.0,2005-06-21,2005-08-20,74.94,70.0,-0.0659,2005-06-21,2.3,2.4,2.333,2005-08-20,0.0,0.05,0.034,2.2990000000000004,0.0333,0.2172,45659.85,7.0,49000.0,1609.3,47269.15
LSTR,106826.0,2005-06-28,2005-10-22,28.3,25.0,-0.1166,2005-06-28,0.7,0.85,0.75,2005-10-22,0.0,0.05,0.034,0.716,0.03,0.0961,45659.85,18.0,45000.0,1288.8,46948.65
AZO,101806.0,2005-06-21,2005-09-17,94.5,90.0,-0.0476,2005-06-21,2.3,2.45,2.349,2005-09-17,0.0,0.05,0.034,2.3150000000000004,0.0261,0.1112,45659.85,5.0,45000.0,1157.5,46817.35
SWK,110460.0,2005-06-21,2005-08-20,45.76,45.0,-0.0166,2005-06-21,1.15,1.25,1.183,2005-08-20,0.0,0.15,0.101,1.082,0.0263,0.1685,45659.85,10.0,45000.0,1082.0,46741.85
RCII,109575.0,2005-06-21,2005-09-17,23.58,22.5,-0.0458,2005-06-21,0.5,0.6,0.533,2005-09-17,2.2,2.5,2.401,-1.8679999999999999,0.0237,0.1006,45659.85,20.0,45000.0,-3736.0,41923.85
COLM,103190.0,2005-06-21,2005-08-20,47.58,45.0,-0.0542,2005-06-21,0.6,0.8,0.666,2005-08-20,0.0,0.05,0.034,0.632,0.0148,0.0922,45659.85,10.0,45000.0,632.0,46291.85
SIE,110146.0,2005-06-21,2005-09-17,68.65,65.0,-0.0532,2005-06-21,2.3,2.5,2.366,2005-09-17,0.3,0.35,0.334,2.032,0.0364,0.1575,45659.85,7.0,45500.0,1422.4,47082.25
PCG,108609.0,2005-06-21,2005-09-17,36.92,35.0,-0.052,2005-06-21,0.45,0.55,0.483,2005-09-17,0.0,0.05,0.034,0.44899999999999995,0.0138,0.0577,45659.85,13.0,45500.0,583.7,46243.549999999996
AGP,113135.0,2005-06-21,2005-09-17,39.83,35.0,-0.1213,2005-06-21,0.65,0.85,0.716,2005-09-17,0.0,0.2,0.134,0.582,0.0205,0.0866,45659.85,13.0,45500.0,756.6,46416.45
EASI,104340.0,2005-06-23,2005-08-20,35.97,35.0,-0.027,2005-06-23,1.4,1.6,1.466,2005-08-20,0.0,0.1,0.067,1.399,0.0419,0.2902,45659.85,13.0,45500.0,1818.7,47478.549999999996
MDC,107084.0,2005-06-21,2005-09-17,81.38,80.0,-0.017,2005-06-21,4.9,5.1,4.966,2005-09-17,2.5,2.9,2.768,2.1980000000000004,0.0621,0.2795,45659.85,6.0,48000.0,1318.8,46978.65
BZH,102064.0,2005-06-21,2005-08-20,57.62,56.625,-0.0173,2005-06-21,3.0,3.2,3.066,2005-08-20,0.0,0.05,0.034,3.032,0.0541,0.3718,45659.85,8.0,45300.0,2425.6,48085.45
DHI,103651.0,2005-06-21,2005-08-20,37.3,35.0,-0.0617,2005-06-21,1.25,1.4,1.3,2005-08-20,0.0,0.05,0.034,1.266,0.0371,0.2443,45659.85,13.0,45500.0,1645.8,47305.65
WGO,112069.0,2005-06-21,2005-08-20,34.01,30.0,-0.1179,2005-06-21,0.6,0.75,0.649,2005-08-20,0.0,0.05,0.034,0.615,0.0216,0.1368,45659.85,15.0,45000.0,922.5,46582.35
MTH,107452.0,2005-06-21,2005-09-17,82.5,80.0,-0.0303,2005-06-21,4.9,5.3,5.032,2005-09-17,0.2,0.8,0.602,4.43,0.0629,0.2834,45659.85,6.0,48000.0,2658.0,48317.85
MRK,107430.0,2005-06-21,2005-08-20,32.08,30.0,-0.0648,2005-06-21,0.4,0.45,0.417,2005-08-20,1.9,2.0,1.967,-1.55,0.0139,0.0864,45659.85,15.0,45000.0,-2325.0,43334.85
UNH,111469.0,2005-06-21,2005-09-17,51.8,50.0,-0.0347,2005-06-21,1.35,1.45,1.383,2005-09-17,0.0,0.05,0.034,1.349,0.0277,0.1183,45659.85,9.0,45000.0,1214.1,46873.95
UTX,111459.0,2005-06-30,2005-08-20,51.81,50.0,-0.0349,2005-06-30,0.7,0.8,0.733,2005-08-20,0.0,0.05,0.034,0.699,0.0147,0.1085,45659.85,9.0,45000.0,629.1,46288.95
FRX,104946.0,2005-06-21,2005-08-20,38.8,35.0,-0.0979,2005-06-21,0.9,1.0,0.933,2005-08-20,0.0,0.1,0.067,0.8660000000000001,0.0267,0.1713,45659.85,13.0,45500.0,1125.8,46785.65
MVL,107254.0,2005-06-21,2005-09-17,20.71,20.0,-0.0343,2005-06-21,0.75,0.9,0.8,2005-09-17,1.1,1.2,1.167,-0.367,0.04,0.174,45659.85,23.0,46000.0,-844.1,44815.75
HRB,102244.0,2005-06-21,2005-08-20,58.81,55.0,-0.0648,2005-06-21,0.65,0.7,0.667,2005-08-20,0.0,0.05,0.034,0.633,0.0121,0.0748,45659.85,8.0,44000.0,506.4,46166.25
MO,108965.0,2005-06-24,2005-09-17,65.84,65.0,-0.0128,2005-06-24,2.85,3.0,2.9,2005-09-17,0.0,0.05,0.034,2.866,0.0446,0.203,45659.85,7.0,45500.0,2006.2,47666.049999999996
LXK,106917.0,2005-06-22,2005-08-20,67.02,65.0,-0.0301,2005-06-22,1.6,1.7,1.633,2005-08-20,2.35,2.45,2.417,-0.7839999999999998,0.0251,0.1633,45659.85,7.0,45500.0,-548.8,45111.049999999996
