ticker,trade_date,expiry,current,strike,delta,c_date,c_bid,c_ask,c_mid,f_date,f_bid,f_ask,f_mid,gross_profit,s_yield,a_yield,target_notional,contracts,actual_notional,total_profit,ending_total
NFLX,2012-01-23,2012-02-18,96.61,95.0,-0.0167,2012-01-23,9.3,9.4,9.333,2012-02-18,0.0,0.01,0.007,9.326,0.0982,2.6583,84485.02,9.0,85500.0,8393.4,92878.42
AMZN,2012-01-23,2012-02-18,188.48,185.0,-0.0185,2012-01-23,7.75,7.8,7.766,2012-02-18,2.28,2.4,2.36,5.406000000000001,0.042,0.7677,84485.02,5.0,92500.0,2703.0,87188.02
UAL,2012-01-23,2012-02-18,19.21,19.0,-0.0109,2012-01-23,0.86,0.89,0.87,2012-02-18,0.0,0.02,0.013,0.857,0.0458,0.859,84485.02,44.0,83600.0,3770.8,88255.82
SWKS,2012-01-23,2012-02-18,21.32,21.0,-0.015,2012-01-23,0.8,0.9,0.833,2012-02-18,0.0,0.05,0.034,0.7989999999999999,0.0397,0.7144,84485.02,40.0,84000.0,3196.0,87681.02
FSLR,2012-01-23,2012-02-18,38.65,38.0,-0.0168,2012-01-23,2.75,2.77,2.757,2012-02-18,0.0,0.02,0.013,2.744,0.0726,1.639,84485.02,22.0,83600.0,6036.8,90521.82
VMW,2012-01-23,2012-02-18,86.98,85.0,-0.0228,2012-01-23,4.3,4.4,4.333,2012-02-18,0.0,0.05,0.034,4.299,0.051,0.9912,84485.02,10.0,85000.0,4299.0,88784.02
WWW,2012-01-23,2012-02-18,37.09,35.0,-0.0563,2012-01-23,0.05,3.9,1.321,2012-02-18,0.0,4.7,3.149,-1.828,0.0377,0.6693,84485.02,24.0,84000.0,-4387.2,80097.82
IPGP,2012-01-23,2012-02-18,52.14,50.0,-0.041,2012-01-23,1.95,2.3,2.066,2012-02-18,0.0,0.05,0.034,2.032,0.0413,0.7513,84485.02,17.0,85000.0,3454.4,87939.42
LUFK,2012-01-23,2012-02-18,72.66,70.0,-0.0366,2012-01-23,2.55,2.8,2.632,2012-02-18,0.0,0.05,0.034,2.5980000000000003,0.0376,0.6671,84485.02,12.0,84000.0,3117.6,87602.62000000001
GMCR,2012-01-27,2012-03-17,51.54,50.0,-0.0299,2012-01-27,4.6,4.7,4.633,2012-03-17,0.01,0.02,0.017,4.616,0.0927,0.8932,84485.02,17.0,85000.0,7847.2,92332.22
RES,2012-01-23,2012-02-18,17.7,17.5,-0.0113,2012-01-23,1.1,1.3,1.166,2012-02-18,1.65,1.8,1.751,-0.585,0.0666,1.4418,84485.02,48.0,84000.0,-2808.0,81677.02
NIHD,2012-01-23,2012-02-18,19.66,19.0,-0.0336,2012-01-23,0.7,0.8,0.733,2012-02-18,0.0,0.15,0.101,0.632,0.0386,0.6895,84485.02,44.0,83600.0,2780.8,87265.82
DECK,2012-01-31,2012-03-17,81.0,80.0,-0.0123,2012-01-31,5.4,5.6,5.466,2012-03-17,12.1,12.4,12.301,-6.835,0.0683,0.6771,84485.02,11.0,88000.0,-7518.5,76966.52
NATI,2012-01-23,2012-02-18,26.82,25.0,-0.0679,2012-01-23,0.05,4.9,1.651,2012-02-18,0.0,0.2,0.134,1.517,0.066,1.4229,84485.02,34.0,85000.0,5157.8,89642.82
MDR,2012-01-23,2012-02-18,12.25,12.0,-0.0204,2012-01-23,0.5,0.6,0.533,2012-02-18,0.0,0.05,0.034,0.499,0.0444,0.8249,84485.02,70.0,84000.0,3493.0,87978.02
ATML,2012-01-23,2012-02-18,10.11,10.0,-0.0109,2012-01-23,0.55,0.65,0.583,2012-02-18,0.0,0.05,0.034,0.5489999999999999,0.0583,1.1915,84485.02,84.0,84000.0,4611.6,89096.62000000001
NTAP,2012-01-23,2012-02-18,37.11,36.0,-0.0299,2012-01-23,1.79,1.84,1.807,2012-02-18,0.0,0.01,0.007,1.8,0.0502,0.9703,84485.02,23.0,82800.0,4140.0,88625.02
MSTR,2012-01-23,2012-02-18,113.06,110.0,-0.0271,2012-01-23,5.5,6.3,5.764,2012-02-18,0.0,0.25,0.168,5.596,0.0524,1.0282,84485.02,8.0,88000.0,4476.8,88961.82
BHI,2012-01-23,2012-02-18,48.43,47.0,-0.0295,2012-01-23,1.75,1.78,1.76,2012-02-18,0.0,0.02,0.013,1.747,0.0374,0.6626,84485.02,18.0,84600.0,3144.6,87629.62000000001
CUB,2012-01-23,2012-02-18,45.77,45.0,-0.0168,2012-01-23,0.6,4.3,1.821,2012-02-18,0.0,0.1,0.067,1.754,0.0405,0.7328,84485.02,19.0,85500.0,3332.6,87817.62000000001
