ticker,trade_date,expiry,current,strike,delta,c_date,c_bid,c_ask,c_mid,f_date,f_bid,f_ask,f_mid,gross_profit,s_yield,a_yield,target_notional,contracts,actual_notional,total_profit,ending_total
WLK,2015-01-20,2015-02-20,56.57,55.0,-0.0278,2015-01-20,1.8,2.55,2.048,2015-02-20,0.0,0.25,0.168,1.8800000000000001,0.0372,0.5283,89550.81,16.0,88000.0,3008.0,92558.81
HAR,2015-01-20,2015-02-20,98.06,95.0,-0.0312,2015-01-20,3.3,4.0,3.531,2015-02-20,0.0,0.1,0.067,3.464,0.0372,0.5283,89550.81,9.0,85500.0,3117.6,92668.41
NFLX,2015-01-20,2015-02-27,342.0,335.0,-0.0205,2015-01-20,17.25,20.35,18.273,2015-02-27,0.0,0.01,0.007,18.266,0.0545,0.6532,89550.81,3.0,100500.0,5479.8,95030.61
XLNX,2015-01-20,2015-02-20,41.42,41.0,-0.0101,2015-01-20,1.64,1.74,1.673,2015-02-20,0.0,0.04,0.027,1.6460000000000001,0.0408,0.5911,89550.81,22.0,90200.0,3621.2,93172.01
LXK,2015-01-20,2015-02-20,38.54,38.0,-0.014,2015-01-20,1.65,2.0,1.765,2015-02-20,0.0,0.05,0.034,1.7309999999999999,0.0464,0.6934,89550.81,24.0,91200.0,4154.4,93705.20999999999
SYNA,2015-01-20,2015-02-27,62.41,61.0,-0.0226,2015-01-20,2.9,3.5,3.098,2015-02-27,0.0,0.15,0.101,2.997,0.0508,0.5991,89550.81,15.0,91500.0,4495.5,94046.31
SYNT,2015-01-20,2015-02-20,45.93,45.0,-0.0202,2015-01-20,0.05,5.0,1.684,2015-02-20,0.0,5.0,3.35,-1.6660000000000001,0.0374,0.5317,89550.81,20.0,90000.0,-3332.0,86218.81
TRN,2015-01-20,2015-02-27,25.53,25.0,-0.0208,2015-01-20,1.4,1.7,1.499,2015-02-27,0.0,0.05,0.034,1.465,0.06,0.7368,89550.81,36.0,90000.0,5274.0,94824.81
MDSO,2015-01-20,2015-02-20,42.54,40.0,-0.0597,2015-01-20,1.55,2.0,1.699,2015-02-20,0.0,0.45,0.302,1.397,0.0425,0.6215,89550.81,22.0,88000.0,3073.4,92624.20999999999
TRIP,2015-01-20,2015-02-27,68.46,67.0,-0.0213,2015-01-20,2.8,3.5,3.031,2015-02-27,0.0,0.35,0.234,2.797,0.0452,0.5202,89550.81,13.0,87100.0,3636.1,93186.91
TEN,2015-01-20,2015-02-20,50.58,50.0,-0.0115,2015-01-20,1.75,2.0,1.833,2015-02-20,0.0,0.45,0.302,1.531,0.0367,0.5198,89550.81,18.0,90000.0,2755.8,92306.61
NUS,2015-01-20,2015-02-27,42.64,42.0,-0.015,2015-01-20,3.3,4.0,3.531,2015-02-27,0.0,0.15,0.101,3.43,0.0841,1.149,89550.81,21.0,88200.0,7203.0,96753.81
DO,2015-01-20,2015-02-20,31.58,30.0,-0.05,2015-01-20,1.96,2.2,2.039,2015-02-20,0.0,0.01,0.007,2.032,0.068,1.1468,89550.81,30.0,90000.0,6096.0,95646.81
DECK,2015-01-20,2015-02-27,82.4,81.0,-0.017,2015-01-20,5.4,6.5,5.763,2015-02-27,5.9,7.0,6.637,-0.8739999999999997,0.0711,0.9169,89550.81,11.0,89100.0,-961.4,88589.41
DHI,2015-01-20,2015-02-27,22.89,22.5,-0.017,2015-01-20,1.0,1.09,1.03,2015-02-27,0.0,0.03,0.02,1.01,0.0458,0.5284,89550.81,40.0,90000.0,4040.0,93590.81
MSA,2015-01-23,2015-02-20,46.14,45.0,-0.0247,2015-01-23,0.25,4.7,1.719,2015-02-20,0.0,4.9,3.283,-1.5639999999999998,0.0382,0.6193,89550.81,20.0,90000.0,-3128.0,86422.81
SANM,2015-01-20,2015-02-20,22.27,22.0,-0.0121,2015-01-20,0.7,1.05,0.816,2015-02-20,0.0,0.2,0.134,0.6819999999999999,0.0371,0.5266,89550.81,41.0,90200.0,2796.2,92347.01
A,2015-01-20,2015-02-20,38.21,37.5,-0.0186,2015-01-20,1.39,1.52,1.433,2015-02-20,0.0,0.5,0.335,1.098,0.0382,0.5455,89550.81,24.0,90000.0,2635.2,92186.01
CNW,2015-01-23,2015-02-20,43.03,42.5,-0.0123,2015-01-23,1.3,1.6,1.399,2015-02-20,0.0,0.2,0.134,1.2650000000000001,0.0329,0.5162,89550.81,21.0,89250.0,2656.5,92207.31
SSTK,2015-01-20,2015-02-20,57.17,55.0,-0.038,2015-01-20,3.3,3.9,3.498,2015-02-20,0.0,0.05,0.034,3.4640000000000004,0.0636,1.0463,89550.81,16.0,88000.0,5542.4,95093.20999999999
