c_ask,f_ask,a_yield,c_date,ending_total,f_date,c_mid,current,trade_date,actual_notional,contracts,expiry,strike,s_yield,delta,f_mid,c_bid,target_notional,ticker,total_profit,gross_profit,f_bid
0.5,0.05,0.0763,2015-05-11,27040.47,2015-06-19,0.48,67.13,2015-05-11,24000.0,4.0,2015-06-19,60.0,0.008,-0.11,0.034,0.47,26862.07,DVN,178.4,0.44599999999999995,0.0
0.35,0.05,0.0902,2015-05-11,27086.17,2015-06-19,0.283,31.77,2015-05-11,27000.0,9.0,2015-06-19,30.0,0.0094,-0.06,0.034,0.25,26862.07,HBI,224.1,0.24899999999999997,0.0
0.35,0.15,0.0603,2015-05-12,26965.67,2015-06-19,0.249,45.23,2015-05-12,28000.0,7.0,2015-06-19,40.0,0.0062,-0.12,0.101,0.2,26862.07,MUR,103.6,0.148,0.0
0.3,0.15,0.1022,2015-05-11,26929.27,2015-06-19,0.133,15.01,2015-05-11,26250.0,21.0,2015-06-19,12.5,0.0106,-0.17,0.101,0.05,26862.07,RES,67.2,0.032,0.0
4.0,0.85,0.2515,2015-05-11,27254.07,2015-06-19,1.354,59.85,2015-05-11,27500.0,5.0,2015-06-19,55.0,0.0246,-0.08,0.57,0.05,26862.07,MUSA,392.0,0.7840000000000001,0.0
0.25,0.05,0.0271,2015-05-11,26920.07,2015-06-19,0.15,59.64,2015-05-11,26250.0,5.0,2015-06-19,52.5,0.0029,-0.12,0.034,0.1,26862.07,FLR,58.0,0.11599999999999999,0.0
0.95,0.1,0.1019,2015-05-12,27081.27,2015-06-19,0.615,69.35,2015-05-12,24000.0,4.0,2015-06-19,60.0,0.0103,-0.13,0.067,0.45,26862.07,WLK,219.2,0.548,0.0
0.6,0.45,0.0471,2015-05-11,26843.57,2015-06-19,0.265,57.72,2015-05-11,26250.0,5.0,2015-06-19,52.5,0.005,-0.09,0.302,0.1,26862.07,HNT,-18.5,-0.03699999999999998,0.0
0.5,0.05,0.049,2015-05-11,26994.87,2015-06-19,0.366,79.91,2015-05-11,28000.0,4.0,2015-06-19,70.0,0.0052,-0.12,0.034,0.3,26862.07,FOSL,132.8,0.33199999999999996,0.0
0.85,0.25,0.5226,2015-05-11,27731.47,2015-06-19,0.582,13.88,2015-05-11,26250.0,21.0,2015-06-19,12.5,0.0466,-0.1,0.168,0.45,26862.07,EPE,869.4,0.4139999999999999,0.0
0.45,0.1,0.0385,2015-05-12,26931.07,2015-06-19,0.182,51.08,2015-05-12,27000.0,6.0,2015-06-19,45.0,0.004,-0.12,0.067,0.05,26862.07,AGCO,69.0,0.11499999999999999,0.0
0.55,0.1,0.0714,2015-05-11,27015.27,2015-06-19,0.45,66.25,2015-05-11,24000.0,4.0,2015-06-19,60.0,0.0075,-0.09,0.067,0.4,26862.07,ALK,153.2,0.383,0.0
0.9,0.65,0.0394,2015-05-11,26901.27,2015-06-19,0.632,167.53,2015-05-11,30000.0,2.0,2015-06-19,150.0,0.0042,-0.1,0.436,0.5,26862.07,HUM,39.2,0.196,0.0
0.19,0.26,0.1012,2015-05-11,26831.47,2015-06-19,0.157,17.2,2015-05-11,27000.0,18.0,2015-06-19,15.0,0.0105,-0.13,0.174,0.14,26862.07,APOL,-30.6,-0.016999999999999987,0.0
0.15,0.15,0.049,2015-05-11,26831.47,2015-06-19,0.083,18.21,2015-05-11,27200.0,17.0,2015-06-19,16.0,0.0052,-0.12,0.101,0.05,26862.07,RRD,-30.6,-0.018000000000000002,0.0
1.05,0.05,0.2049,2015-05-11,27391.27,2015-06-19,0.916,51.41,2015-05-11,27000.0,6.0,2015-06-19,45.0,0.0204,-0.12,0.034,0.85,26862.07,NUS,529.2,0.882,0.0
0.7,0.2,0.138,2015-05-11,27164.47,2015-06-19,0.566,43.97,2015-05-11,28000.0,7.0,2015-06-19,40.0,0.0141,-0.09,0.134,0.5,26862.07,WNR,302.4,0.43199999999999994,0.0
0.6,0.85,0.0568,2015-05-11,26743.07,2015-06-19,0.332,60.33,2015-05-11,27500.0,5.0,2015-06-19,55.0,0.006,-0.09,0.57,0.2,26862.07,TEN,-119.0,-0.23799999999999993,0.0
0.74,3.5,0.1599,2015-05-11,25247.47,2015-06-19,0.727,49.55,2015-05-11,27000.0,6.0,2015-06-19,45.0,0.0162,-0.09,3.418,0.72,26862.07,AAL,-1614.6,-2.6910000000000003,3.25
4.8,0.5,0.1694,2015-05-11,27172.27,2015-06-19,1.886,120.21,2015-05-11,22000.0,2.0,2015-06-19,110.0,0.0171,-0.08,0.335,0.45,26862.07,HII,310.2,1.551,0.0
1.5,0.1,0.2006,2015-05-11,27395.27,2015-06-19,1.4,76.48,2015-05-11,28000.0,4.0,2015-06-19,70.0,0.02,-0.08,0.067,1.35,26862.07,HP,533.2,1.333,0.0
0.2,0.2,0.0587,2015-05-11,26895.07,2015-06-19,0.167,29.69,2015-05-11,27000.0,10.0,2015-06-19,27.0,0.0062,-0.09,0.134,0.15,26862.07,GT,33.0,0.033,0.0
0.41,0.06,0.1123,2015-05-11,27126.07,2015-06-19,0.37,35.11,2015-05-11,25600.0,8.0,2015-06-19,32.0,0.0116,-0.09,0.04,0.35,26862.07,NTAP,264.0,0.33,0.0
0.6,0.05,0.1779,2015-05-11,27328.07,2015-06-19,0.5,30.57,2015-05-11,28000.0,10.0,2015-06-19,28.0,0.0179,-0.08,0.034,0.45,26862.07,TRN,466.0,0.46599999999999997,0.0
0.27,0.01,0.0823,2015-05-11,27087.07,2015-06-19,0.257,33.58,2015-05-11,27000.0,9.0,2015-06-19,30.0,0.0086,-0.11,0.007,0.25,26862.07,HPQ,225.0,0.25,0.0
0.35,0.02,0.0481,2015-05-11,26988.87,2015-06-19,0.33,70.96,2015-05-11,26000.0,4.0,2015-06-19,65.0,0.0051,-0.08,0.013,0.32,26862.07,BBBY,126.8,0.317,0.0
0.69,0.01,0.1841,2015-05-12,27360.47,2015-06-19,0.63,39.42,2015-05-12,28000.0,8.0,2015-06-19,35.0,0.018,-0.11,0.007,0.6,26862.07,GME,498.4,0.623,0.0
1.14,0.01,0.0533,2015-05-12,27020.27,2015-06-19,0.798,158.51,2015-05-12,29000.0,2.0,2015-06-19,145.0,0.0055,-0.09,0.007,0.63,26862.07,ANTM,158.2,0.791,0.0
0.7,0.2,0.0962,2015-05-11,27048.47,2015-06-19,0.6,66.09,2015-05-11,24000.0,4.0,2015-06-19,60.0,0.01,-0.09,0.134,0.55,26862.07,CNC,186.4,0.46599999999999997,0.0
0.2,0.02,0.028,2015-05-11,26931.67,2015-06-19,0.187,69.25,2015-05-11,25000.0,4.0,2015-06-19,62.5,0.003,-0.1,0.013,0.18,26862.07,V,69.6,0.174,0.0
0.36,0.03,0.0832,2015-05-11,27067.17,2015-06-19,0.313,39.8,2015-05-11,25200.0,7.0,2015-06-19,36.0,0.0087,-0.1,0.02,0.29,26862.07,GPS,205.1,0.293,0.0
0.35,0.35,0.0233,2015-05-11,26866.57,2015-06-19,0.249,113.19,2015-05-11,30000.0,3.0,2015-06-19,100.0,0.0025,-0.12,0.234,0.2,26862.07,LEA,4.5,0.014999999999999986,0.0
0.45,0.01,0.0773,2015-05-11,27070.07,2015-06-19,0.423,58.1,2015-05-11,26250.0,5.0,2015-06-19,52.5,0.0081,-0.1,0.007,0.41,26862.07,VLO,208.0,0.416,0.0
