ticker,trade_date,expiry,current,strike,delta,c_date,c_bid,c_ask,c_mid,f_date,f_bid,f_ask,f_mid,gross_profit,s_yield,a_yield,target_notional,contracts,actual_notional,total_profit,ending_total
RES,2013-05-28,2013-07-20,13.5,12.5,-0.07,2013-05-28,0.3,0.4,0.333,2013-07-20,0.0,0.15,0.101,0.232,0.0266,0.1952,52532.81,42.0,52500.0,974.4,53507.21
SCCO,2013-05-28,2013-07-20,31.82,29.0,-0.09,2013-05-28,0.4,0.45,0.417,2013-07-20,1.0,1.15,1.101,-0.6839999999999999,0.0144,0.102,52532.81,18.0,52200.0,-1231.2,51301.61
NEM,2013-05-28,2013-07-20,32.09,29.0,-0.1,2013-05-28,0.57,0.59,0.577,2013-07-20,0.22,0.26,0.247,0.32999999999999996,0.0199,0.1432,52532.81,18.0,52200.0,594.0,53126.81
ENS,2013-05-28,2013-07-20,49.26,45.0,-0.09,2013-05-28,0.6,0.8,0.666,2013-07-20,0.0,0.15,0.101,0.5650000000000001,0.0148,0.1049,52532.81,12.0,54000.0,678.0,53210.81
CVI,2013-05-28,2013-07-20,70.35,62.5,-0.11,2013-05-28,1.0,1.4,1.132,2013-07-20,1.25,1.55,1.451,-0.3190000000000002,0.0181,0.1296,52532.81,8.0,50000.0,-255.2,52277.61
HFC,2013-05-28,2013-07-20,49.73,44.5,-0.11,2013-05-28,0.85,0.9,0.867,2013-07-20,2.05,2.2,2.151,-1.2839999999999998,0.0195,0.1402,52532.81,12.0,53400.0,-1540.8,50992.009999999995
JBL,2013-05-28,2013-07-20,19.64,18.0,-0.08,2013-05-28,0.3,0.35,0.317,2013-07-20,0.0,0.05,0.034,0.28300000000000003,0.0176,0.1258,52532.81,29.0,52200.0,820.7,53353.509999999995
IDCC,2013-05-28,2013-07-20,45.97,42.5,-0.08,2013-05-28,0.85,0.95,0.883,2013-07-20,2.55,2.8,2.717,-1.834,0.0208,0.1501,52532.81,12.0,51000.0,-2200.8,50332.009999999995
BKE,2013-05-28,2013-07-20,54.32,50.0,-0.08,2013-05-28,1.0,1.1,1.033,2013-07-20,0.0,0.15,0.101,0.9319999999999999,0.0207,0.1493,52532.81,11.0,55000.0,1025.2,53558.009999999995
FCX,2013-05-28,2013-07-20,30.8,28.0,-0.09,2013-05-28,0.54,0.56,0.547,2013-07-20,0.0,0.01,0.007,0.54,0.0195,0.1402,52532.81,19.0,53200.0,1026.0,53558.81
HUN,2013-05-28,2013-07-20,19.27,17.0,-0.12,2013-05-28,0.4,0.5,0.433,2013-07-20,0.0,0.05,0.034,0.399,0.0255,0.1865,52532.81,31.0,52700.0,1236.9,53769.71
OSK,2013-05-28,2013-07-20,39.02,35.0,-0.1,2013-05-28,0.55,0.7,0.6,2013-07-20,0.0,0.2,0.134,0.46599999999999997,0.0171,0.1221,52532.81,15.0,52500.0,699.0,53231.81
AEO,2013-05-28,2013-07-20,20.03,18.0,-0.1,2013-05-28,0.25,0.35,0.283,2013-07-20,0.0,0.05,0.034,0.24899999999999997,0.0157,0.1116,52532.81,29.0,52200.0,722.1,53254.909999999996
SPLS,2013-05-28,2013-07-20,15.02,14.0,-0.07,2013-05-28,0.3,0.35,0.317,2013-07-20,0.0,0.05,0.034,0.28300000000000003,0.0226,0.1639,52532.81,38.0,53200.0,1075.4,53608.21
MDR,2013-05-28,2013-07-20,9.13,8.0,-0.12,2013-05-28,0.1,0.15,0.117,2013-07-20,0.0,0.05,0.034,0.083,0.0146,0.1035,52532.81,66.0,52800.0,547.8,53080.61
HP,2013-05-28,2013-07-20,64.12,57.5,-0.1,2013-05-28,0.8,0.9,0.833,2013-07-20,0.0,0.05,0.034,0.7989999999999999,0.0145,0.1027,52532.81,9.0,51750.0,719.1,53251.909999999996
IEP,2013-05-28,2013-07-20,78.3,70.0,-0.11,2013-05-28,1.45,2.0,1.631,2013-07-20,0.0,0.15,0.101,1.53,0.0233,0.1694,52532.81,8.0,56000.0,1224.0,53756.81
HPQ,2013-05-28,2013-07-20,24.45,22.0,-0.1,2013-05-28,0.35,0.36,0.353,2013-07-20,0.0,0.01,0.007,0.346,0.016,0.1138,52532.81,24.0,52800.0,830.4,53363.21
QCOR,2013-05-28,2013-07-20,34.59,31.0,-0.1,2013-05-28,1.75,2.05,1.849,2013-07-20,0.0,0.15,0.101,1.748,0.0596,0.4818,52532.81,17.0,52700.0,2971.6,55504.409999999996
WCG,2013-05-28,2013-07-20,54.0,50.0,-0.07,2013-05-28,1.1,1.25,1.15,2013-07-20,0.0,0.05,0.034,1.1159999999999999,0.023,0.167,52532.81,11.0,55000.0,1227.6,53760.409999999996
AXLL,2013-06-04,2013-07-20,41.87,37.5,-0.1,2013-06-04,1.35,1.5,1.4,2013-07-20,0.0,0.05,0.034,1.3659999999999999,0.0373,0.3319,52532.81,14.0,52500.0,1912.4,54445.21
ALK,2013-05-28,2013-07-20,57.7,50.0,-0.13,2013-05-28,1.0,1.1,1.033,2013-07-20,0.0,0.05,0.034,0.9989999999999999,0.0207,0.1493,52532.81,11.0,55000.0,1098.9,53631.71
JOY,2013-05-29,2013-07-20,55.24,50.0,-0.09,2013-05-29,1.17,1.2,1.18,2013-07-20,0.0,0.02,0.013,1.167,0.0236,0.1753,52532.81,11.0,55000.0,1283.7,53816.509999999995
