ticker,trade_date,expiry,current,strike,delta,c_date,c_bid,c_ask,c_mid,f_date,f_bid,f_ask,f_mid,gross_profit,s_yield,a_yield,target_notional,contracts,actual_notional,total_profit,ending_total
DO,2015-07-01,2015-08-21,25.44,25.0,-0.0173,2015-07-01,1.4,1.81,1.535,2015-08-21,3.05,3.5,3.352,-1.817,0.0614,0.5229,85658.52,34.0,85000.0,-6177.8,79480.72
WDC,2015-06-24,2015-07-31,88.13,86.5,-0.0185,2015-06-24,2.68,3.1,2.819,2015-07-31,0.3,1.14,0.863,1.956,0.0326,0.3663,85658.52,10.0,86500.0,1956.0,87614.52
TDC,2015-06-24,2015-07-17,37.91,37.5,-0.0108,2015-06-24,0.7,0.75,0.716,2015-07-17,1.8,2.1,2.001,-1.285,0.0191,0.3447,85658.52,23.0,86250.0,-2955.5,82703.02
AAL,2015-06-24,2015-07-31,42.5,41.5,-0.0235,2015-06-24,1.58,1.7,1.62,2015-07-31,1.38,1.42,1.407,0.21300000000000008,0.039,0.451,85658.52,21.0,87150.0,447.3,86105.82
HP,2015-06-25,2015-08-21,70.95,70.0,-0.0134,2015-06-25,3.2,3.5,3.299,2015-08-21,14.8,15.4,15.202,-11.903,0.0471,0.3373,85658.52,12.0,84000.0,-14283.6,71374.92
PPC,2015-06-24,2015-07-17,25.48,25.0,-0.0188,2015-06-24,0.65,0.8,0.7,2015-07-17,3.2,3.7,3.535,-2.835,0.028,0.5407,85658.52,34.0,85000.0,-9639.0,76019.52
ALK,2015-06-24,2015-07-17,66.63,65.0,-0.0245,2015-06-24,1.25,1.3,1.267,2015-07-17,0.0,0.05,0.034,1.2329999999999999,0.0195,0.3529,85658.52,13.0,84500.0,1602.9,87261.42
APOL,2015-06-25,2015-08-21,16.3,16.0,-0.0184,2015-06-25,1.13,1.18,1.147,2015-08-21,4.85,5.1,5.018,-3.8709999999999996,0.0717,0.5486,85658.52,54.0,86400.0,-20903.4,64755.12
SNDK,2015-06-24,2015-07-31,64.29,63.0,-0.0201,2015-06-24,2.42,2.54,2.46,2015-07-31,2.77,2.86,2.83,-0.3700000000000001,0.039,0.451,85658.52,14.0,88200.0,-518.0,85140.52
NUS,2015-06-24,2015-07-31,49.43,48.5,-0.0188,2015-06-24,1.55,2.25,1.781,2015-07-31,7.0,10.0,9.01,-7.229,0.0367,0.42,85658.52,18.0,87300.0,-13012.2,72646.32
WNR,2015-06-24,2015-07-17,43.88,43.0,-0.0201,2015-06-24,0.95,1.1,1.0,2015-07-17,0.0,0.2,0.134,0.866,0.0233,0.4341,85658.52,20.0,86000.0,1732.0,87390.52
OSK,2015-06-24,2015-07-17,45.75,45.0,-0.0164,2015-06-24,0.75,0.95,0.816,2015-07-17,3.5,4.4,4.103,-3.287,0.0181,0.3242,85658.52,19.0,85500.0,-6245.3,79413.22
RES,2015-06-24,2015-07-17,14.3,14.0,-0.021,2015-06-24,0.35,0.5,0.399,2015-07-17,1.6,2.0,1.868,-1.469,0.0285,0.5525,85658.52,61.0,85400.0,-8960.9,76697.62000000001
HII,2015-06-24,2015-07-17,117.72,115.0,-0.0231,2015-06-24,1.85,2.4,2.032,2015-07-17,0.0,1.3,0.871,1.161,0.0177,0.316,85658.52,7.0,80500.0,812.7,86471.22
GT,2015-06-24,2015-07-31,31.54,31.0,-0.0171,2015-06-24,0.9,1.1,0.966,2015-07-31,0.75,1.25,1.085,-0.119,0.0312,0.3484,85658.52,28.0,86800.0,-333.2,85325.32
PHM,2015-06-24,2015-07-31,20.76,20.5,-0.0125,2015-06-24,0.67,0.7,0.68,2015-07-31,0.0,0.12,0.08,0.6000000000000001,0.0332,0.3741,85658.52,42.0,86100.0,2520.0,88178.52
TRN,2015-06-24,2015-07-31,30.05,29.5,-0.0183,2015-06-24,1.35,1.6,1.433,2015-07-31,0.0,0.35,0.234,1.199,0.0486,0.5868,85658.52,29.0,85550.0,3477.1,89135.62000000001
NTAP,2015-06-24,2015-07-31,33.8,33.0,-0.0237,2015-06-24,0.9,1.01,0.936,2015-07-31,1.7,1.96,1.874,-0.9380000000000001,0.0284,0.3132,85658.52,26.0,85800.0,-2438.8,83219.72
HUM,2015-06-24,2015-07-31,187.03,182.5,-0.0242,2015-06-24,11.0,12.2,11.396,2015-07-31,0.0,1.35,0.905,10.491000000000001,0.0624,0.8021,85658.52,5.0,91250.0,5245.5,90904.02
HRB,2015-06-24,2015-07-17,30.82,30.0,-0.0266,2015-06-24,0.5,0.55,0.517,2015-07-17,0.0,0.05,0.034,0.483,0.0172,0.3059,85658.52,29.0,87000.0,1400.7,87059.22
