c_ask,f_ask,a_yield,c_date,ending_total,f_date,c_mid,current,trade_date,actual_notional,contracts,expiry,strike,s_yield,delta,f_mid,c_bid,target_notional,ticker,total_profit,gross_profit,f_bid
1.29,0.04,0.3155,2015-03-23,26290.43,2015-05-15,1.029,28.18,2015-03-23,25000.0,10.0,2015-05-15,25.0,0.0412,-0.11,0.027,0.9,25288.43,DO,1002.0,1.002,0.0
0.65,0.09,0.0882,2015-03-23,25499.93,2015-05-01,0.483,58.59,2015-03-23,26250.0,5.0,2015-05-01,52.5,0.0092,-0.1,0.06,0.4,25288.43,DVN,211.5,0.423,0.0
0.65,0.2,0.0433,2015-03-23,25352.93,2015-05-01,0.349,83.91,2015-03-23,22650.0,3.0,2015-05-01,75.5,0.0046,-0.1,0.134,0.2,25288.43,FOSL,64.5,0.21499999999999997,0.0
0.62,0.04,0.0318,2015-03-23,25377.83,2015-05-01,0.325,106.81,2015-03-23,28800.0,3.0,2015-05-01,96.0,0.0034,-0.1,0.027,0.18,25288.43,CVX,89.4,0.298,0.0
0.9,0.1,0.0773,2015-03-23,25474.43,2015-05-01,0.532,72.91,2015-03-23,26200.0,4.0,2015-05-01,65.5,0.0081,-0.1,0.067,0.35,25288.43,DECK,186.0,0.465,0.0
0.35,0.2,0.1057,2015-03-23,25325.93,2015-05-15,0.149,12.21,2015-03-23,25000.0,25.0,2015-05-15,10.0,0.0149,-0.18,0.134,0.05,25288.43,RES,37.5,0.014999999999999986,0.0
1.7,0.05,0.1524,2015-03-23,25780.83,2015-05-15,1.265,68.84,2015-03-23,24000.0,4.0,2015-05-15,60.0,0.0211,-0.13,0.034,1.05,25288.43,HP,492.4,1.2309999999999999,0.0
0.65,0.15,0.0763,2015-03-23,25445.93,2015-05-01,0.416,57.66,2015-03-23,26000.0,5.0,2015-05-01,52.0,0.008,-0.1,0.101,0.3,25288.43,FLR,157.5,0.31499999999999995,0.0
0.4,0.15,0.1221,2015-03-23,25565.63,2015-05-15,0.299,18.71,2015-03-23,24500.0,14.0,2015-05-15,17.5,0.0171,-0.06,0.101,0.25,25288.43,GNTX,277.2,0.19799999999999998,0.0
1.15,0.45,0.1049,2015-03-23,25544.93,2015-05-15,0.815,61.22,2015-03-23,27500.0,5.0,2015-05-15,55.0,0.0148,-0.1,0.302,0.65,25288.43,HNT,256.5,0.5129999999999999,0.0
4.9,0.4,0.3476,2015-03-23,26279.63,2015-05-15,1.684,41.48,2015-03-23,26250.0,7.0,2015-05-15,37.5,0.0449,-0.1,0.268,0.1,25288.43,CVI,991.2,1.416,0.0
1.05,0.05,0.1595,2015-03-24,25817.63,2015-05-15,0.916,46.11,2015-03-24,25500.0,6.0,2015-05-15,42.5,0.0216,-0.08,0.034,0.85,25288.43,MUR,529.2,0.882,0.0
0.95,0.1,0.2321,2015-03-23,26038.63,2015-05-15,0.749,26.75,2015-03-23,26400.0,11.0,2015-05-15,24.0,0.0312,-0.1,0.067,0.65,25288.43,PPC,750.2,0.6819999999999999,0.0
1.0,0.05,0.1379,2015-03-23,25787.63,2015-05-15,0.866,47.56,2015-03-23,27000.0,6.0,2015-05-15,45.0,0.0192,-0.05,0.034,0.8,25288.43,AGCO,499.2,0.832,0.0
0.48,0.08,0.2571,2015-03-23,25846.43,2015-05-01,0.426,18.98,2015-03-23,25500.0,15.0,2015-05-01,17.0,0.0251,-0.1,0.054,0.4,25288.43,FCX,558.0,0.372,0.0
1.09,3.35,0.4216,2015-03-25,22369.93,2015-05-15,1.023,21.79,2015-03-25,26000.0,13.0,2015-05-15,20.0,0.0511,-0.08,3.268,0.99,25288.43,APOL,-2918.5,-2.245,3.1
0.52,0.13,0.1806,2015-03-25,25784.03,2015-05-15,0.5,23.01,2015-03-25,25200.0,12.0,2015-05-15,21.0,0.0238,-0.09,0.087,0.49,25288.43,SWN,495.6,0.41300000000000003,0.0
1.5,0.15,0.2425,2015-03-23,25887.43,2015-05-01,1.299,60.51,2015-03-23,27250.0,5.0,2015-05-01,54.5,0.0238,-0.1,0.101,1.2,25288.43,NUS,599.0,1.198,0.0
1.1,0.2,0.1593,2015-03-23,25787.63,2015-05-15,0.966,49.33,2015-03-23,26400.0,6.0,2015-05-15,44.0,0.022,-0.11,0.134,0.9,25288.43,WNR,499.2,0.832,0.0
1.1,0.5,0.1608,2015-03-23,25687.43,2015-05-15,1.0,48.22,2015-03-23,27000.0,6.0,2015-05-15,45.0,0.0222,-0.07,0.335,0.95,25288.43,OSK,399.0,0.665,0.0
0.95,0.4,0.0528,2015-03-23,25344.93,2015-05-15,0.381,57.23,2015-03-23,25000.0,5.0,2015-05-15,50.0,0.0076,-0.13,0.268,0.1,25288.43,TEN,56.5,0.11299999999999999,0.0
0.51,0.01,0.029,2015-03-23,25360.83,2015-05-01,0.188,67.64,2015-03-23,24252.0,4.0,2015-05-01,60.63,0.0031,-0.1,0.007,0.03,25288.43,V,72.4,0.181,0.0
0.8,0.05,0.0874,2015-03-26,25568.03,2015-05-15,0.733,69.09,2015-03-26,25000.0,4.0,2015-05-15,62.5,0.0117,-0.1,0.034,0.7,25288.43,EMN,279.6,0.699,0.0
0.37,0.09,0.0852,2015-03-23,25486.53,2015-05-01,0.343,42.94,2015-03-23,26950.0,7.0,2015-05-01,38.5,0.0089,-0.1,0.06,0.33,25288.43,HAL,198.1,0.28300000000000003,0.0
1.0,3.8,0.2324,2015-03-23,23110.83,2015-05-01,0.732,35.6,2015-03-23,25600.0,8.0,2015-05-01,32.0,0.0229,-0.1,3.454,0.6,25288.43,TRN,-2177.6,-2.7220000000000004,2.75
0.12,0.09,0.0309,2015-03-23,25320.43,2015-05-01,0.1,33.49,2015-03-23,24000.0,8.0,2015-05-01,30.0,0.0033,-0.1,0.06,0.09,25288.43,HPQ,32.0,0.04000000000000001,0.0
0.98,0.2,0.2302,2015-03-23,25781.93,2015-05-01,0.839,41.24,2015-03-23,25900.0,7.0,2015-05-01,37.0,0.0227,-0.1,0.134,0.77,25288.43,GME,493.5,0.705,0.0
1.14,0.13,0.0587,2015-03-23,25448.03,2015-05-01,0.885,157.96,2015-03-23,28400.0,2.0,2015-05-01,142.0,0.0062,-0.1,0.087,0.76,25288.43,ANTM,159.6,0.798,0.0
0.35,0.25,0.0685,2015-03-23,25341.23,2015-05-15,0.216,24.52,2015-03-23,24200.0,11.0,2015-05-15,22.0,0.0098,-0.1,0.168,0.15,25288.43,IM,52.8,0.04799999999999999,0.0
0.1,0.04,0.0224,2015-03-23,25325.23,2015-05-01,0.073,33.48,2015-03-23,24000.0,8.0,2015-05-01,30.0,0.0024,-0.1,0.027,0.06,25288.43,T,36.8,0.046,0.0
0.6,0.05,0.6457,2015-03-23,27084.83,2015-05-15,0.533,7.46,2015-03-23,25200.0,36.0,2015-05-15,7.0,0.0761,-0.06,0.034,0.5,25288.43,DNR,1796.4,0.499,0.0
0.3,0.1,0.0952,2015-03-23,25471.03,2015-05-01,0.233,25.98,2015-03-23,25850.0,11.0,2015-05-01,23.5,0.0099,-0.1,0.067,0.2,25288.43,GT,182.6,0.166,0.0
0.59,0.02,0.0892,2015-03-23,25543.43,2015-05-01,0.523,62.25,2015-03-23,28000.0,5.0,2015-05-01,56.0,0.0093,-0.1,0.013,0.49,25288.43,VLO,255.0,0.51,0.0
0.65,0.3,0.0578,2015-03-23,25377.23,2015-05-15,0.349,46.92,2015-03-23,25200.0,6.0,2015-05-15,42.0,0.0083,-0.1,0.201,0.2,25288.43,AVT,88.8,0.14799999999999996,0.0
0.7,0.05,0.1183,2015-03-23,25660.43,2015-05-15,0.499,34.14,2015-03-23,24000.0,8.0,2015-05-15,30.0,0.0166,-0.12,0.034,0.4,25288.43,ARLP,372.0,0.46499999999999997,0.0
0.45,0.15,0.0542,2015-03-23,25437.83,2015-05-15,0.35,52.3,2015-03-23,27000.0,6.0,2015-05-15,45.0,0.0078,-0.14,0.101,0.3,25288.43,ALB,149.4,0.24899999999999997,0.0
1.25,0.1,0.1379,2015-03-23,25721.63,2015-05-15,1.15,67.84,2015-03-23,24000.0,4.0,2015-05-15,60.0,0.0192,-0.12,0.067,1.1,25288.43,WLK,433.2,1.083,0.0
1.55,0.1,0.2665,2015-03-23,26097.83,2015-05-15,1.416,47.28,2015-03-23,24000.0,6.0,2015-05-15,40.0,0.0354,-0.15,0.067,1.35,25288.43,SM,809.4,1.349,0.0
0.95,0.1,0.1318,2015-03-23,25718.93,2015-05-15,0.682,41.32,2015-03-23,25900.0,7.0,2015-05-15,37.0,0.0184,-0.1,0.067,0.55,25288.43,LXK,430.5,0.615,0.0
0.55,0.2,0.1455,2015-03-23,25612.13,2015-05-15,0.383,21.09,2015-03-23,24700.0,13.0,2015-05-15,19.0,0.0202,-0.1,0.134,0.3,25288.43,DAN,323.7,0.249,0.0
