ticker,trade_date,expiry,current,strike,delta,c_date,c_bid,c_ask,c_mid,f_date,f_bid,f_ask,f_mid,gross_profit,s_yield,a_yield,target_notional,contracts,actual_notional,total_profit,ending_total
DO,2012-02-21,2012-03-17,65.75,64.25,-0.0228,2012-02-21,1.06,1.13,1.083,2012-03-17,0.0,0.03,0.02,1.063,0.0169,0.2729,30352.12,5.0,32125.0,531.5,30883.62
WDC,2012-02-22,2012-03-17,39.92,39.0,-0.023,2012-02-22,1.32,1.37,1.337,2012-03-17,0.72,0.83,0.794,0.5429999999999999,0.0343,0.6584,30352.12,8.0,31200.0,434.4,30786.52
AET,2012-02-21,2012-03-17,47.09,46.0,-0.0231,2012-02-21,0.82,0.85,0.83,2012-03-17,0.0,0.03,0.02,0.8099999999999999,0.018,0.2929,30352.12,7.0,32200.0,567.0,30919.12
RES,2012-02-23,2012-03-17,16.32,15.0,-0.0809,2012-02-23,0.2,0.25,0.217,2012-03-17,4.3,4.6,4.501,-4.284000000000001,0.0145,0.2527,30352.12,20.0,30000.0,-8568.0,21784.12
EMN,2012-02-21,2012-03-17,54.55,52.5,-0.0376,2012-02-21,0.8,0.9,0.833,2012-03-17,0.4,0.6,0.534,0.29899999999999993,0.0159,0.255,30352.12,6.0,31500.0,179.4,30531.52
CAH,2012-02-21,2012-03-17,41.45,41.0,-0.0109,2012-02-21,0.65,0.75,0.683,2012-03-17,0.0,0.05,0.034,0.649,0.0167,0.2693,30352.12,7.0,28700.0,454.3,30806.42
HAL,2012-02-22,2012-03-17,37.73,37.0,-0.0193,2012-02-22,0.72,0.74,0.727,2012-03-17,2.48,2.52,2.507,-1.7800000000000002,0.0196,0.338,30352.12,8.0,29600.0,-1424.0,28928.12
HFC,2012-02-21,2012-03-17,34.13,33.0,-0.0331,2012-02-21,0.9,1.0,0.933,2012-03-17,1.3,1.4,1.367,-0.43399999999999994,0.0283,0.4946,30352.12,9.0,29700.0,-390.6,29961.52
IDCC,2012-02-21,2012-03-17,39.67,39.0,-0.0169,2012-02-21,1.6,1.75,1.65,2012-03-17,3.0,3.2,3.134,-1.484,0.0423,0.8159,30352.12,8.0,31200.0,-1187.2,29164.92
AEO,2012-02-21,2012-03-17,14.36,14.0,-0.0251,2012-02-21,0.5,0.6,0.533,2012-03-17,0.0,0.05,0.034,0.499,0.0381,0.7133,30352.12,22.0,30800.0,1097.8,31449.92
AGP,2012-02-21,2012-03-17,70.99,70.0,-0.0139,2012-02-21,2.65,2.85,2.716,2012-03-17,4.2,5.2,4.87,-2.154,0.0388,0.7301,30352.12,4.0,28000.0,-861.6,29490.52
LNCR,2012-02-21,2012-03-17,26.87,26.0,-0.0324,2012-02-21,0.35,0.5,0.399,2012-03-17,0.0,0.1,0.067,0.332,0.0153,0.2444,30352.12,12.0,31200.0,398.4,30750.52
NIHD,2012-02-27,2012-04-21,19.38,19.0,-0.0196,2012-02-27,1.0,1.1,1.033,2012-04-21,0.0,0.05,0.034,0.9989999999999999,0.0544,0.4235,30352.12,16.0,30400.0,1598.4,31950.52
KSS,2012-02-21,2012-03-17,52.09,50.0,-0.0401,2012-02-21,0.9,1.0,0.933,2012-03-17,0.0,0.05,0.034,0.899,0.0187,0.3058,30352.12,6.0,30000.0,539.4,30891.52
JOSB,2012-02-21,2012-03-17,52.14,50.0,-0.041,2012-02-21,0.8,0.95,0.85,2012-03-17,0.0,0.1,0.067,0.7829999999999999,0.017,0.2747,30352.12,6.0,30000.0,469.8,30821.92
MNST,2012-02-21,2012-03-17,53.3,52.5,-0.015,2012-02-21,2.1,2.2,2.133,2012-03-17,0.0,0.05,0.034,2.099,0.0406,0.7737,30352.12,6.0,31500.0,1259.4,31611.52
HUM,2012-02-21,2012-03-17,91.16,90.0,-0.0127,2012-02-21,2.35,2.5,2.4,2012-03-17,3.3,3.5,3.434,-1.0340000000000003,0.0267,0.4615,30352.12,3.0,27000.0,-310.2,30041.92
SPLS,2012-02-21,2012-03-17,15.18,15.0,-0.0119,2012-02-21,0.35,0.45,0.383,2012-03-17,0.0,0.05,0.034,0.349,0.0255,0.4371,30352.12,20.0,30000.0,698.0,31050.12
SEE,2012-02-21,2012-03-17,20.86,20.0,-0.0412,2012-02-21,0.4,0.45,0.417,2012-03-17,0.0,0.1,0.067,0.35,0.0209,0.347,30352.12,15.0,30000.0,525.0,30877.12
UAL,2012-02-21,2012-03-17,21.89,21.0,-0.0407,2012-02-21,1.02,1.04,1.027,2012-03-17,1.03,1.07,1.057,-0.030000000000000027,0.0489,0.9887,30352.12,14.0,29400.0,-42.0,30310.12
DAR,2012-02-21,2012-03-17,15.92,15.0,-0.0578,2012-02-21,0.2,0.3,0.233,2012-03-17,0.0,0.05,0.034,0.199,0.0155,0.2479,30352.12,20.0,30000.0,398.0,30750.12
LLL,2012-02-21,2012-03-17,70.8,70.0,-0.0113,2012-02-21,1.2,1.3,1.233,2012-03-17,0.0,0.05,0.034,1.199,0.0176,0.2856,30352.12,4.0,28000.0,479.6,30831.719999999998
FLR,2012-02-21,2012-03-17,61.76,60.0,-0.0285,2012-02-21,1.7,1.85,1.75,2012-03-17,0.0,0.05,0.034,1.716,0.0292,0.5136,30352.12,5.0,30000.0,858.0,31210.12
EL,2012-02-21,2012-03-17,56.05,55.0,-0.0187,2012-02-21,0.85,0.95,0.883,2012-03-17,0.0,0.05,0.034,0.849,0.0161,0.2586,30352.12,6.0,33000.0,509.4,30861.52
FSLR,2012-02-21,2012-03-17,42.74,42.0,-0.0173,2012-02-21,3.15,3.2,3.167,2012-03-17,12.9,13.0,12.967,-9.8,0.0754,1.8484,30352.12,7.0,29400.0,-6860.0,23492.12
LRCX,2012-02-21,2012-03-17,40.8,40.0,-0.0196,2012-02-21,1.0,1.05,1.017,2012-03-17,0.0,0.05,0.034,0.9829999999999999,0.0254,0.435,30352.12,8.0,32000.0,786.4,31138.52
CI,2012-02-21,2012-03-17,45.56,45.0,-0.0123,2012-02-21,0.94,0.98,0.953,2012-03-17,0.0,0.04,0.027,0.9259999999999999,0.0212,0.3527,30352.12,7.0,31500.0,648.2,31000.32
ABC,2012-02-21,2012-03-17,36.44,36.0,-0.0121,2012-02-21,0.7,0.75,0.716,2012-03-17,0.0,0.05,0.034,0.6819999999999999,0.0199,0.3281,30352.12,8.0,28800.0,545.6,30897.719999999998
MRX,2012-02-21,2012-03-17,33.77,33.0,-0.0228,2012-02-21,0.95,1.15,1.016,2012-03-17,0.0,0.15,0.101,0.915,0.0308,0.5478,30352.12,9.0,29700.0,823.5,31175.62
WHR,2012-02-21,2012-03-17,71.32,70.0,-0.0185,2012-02-21,2.49,2.52,2.5,2012-03-17,0.0,0.02,0.013,2.487,0.0357,0.6572,30352.12,4.0,28000.0,994.8,31346.92
HES,2012-02-21,2012-03-17,66.09,65.0,-0.0165,2012-02-21,1.92,1.97,1.937,2012-03-17,2.44,2.5,2.48,-0.5429999999999999,0.0298,0.5263,30352.12,5.0,32500.0,-271.5,30080.62
NEU,2012-02-21,2012-03-17,186.98,185.0,-0.0106,2012-02-21,5.5,6.6,5.863,2012-03-17,0.0,2.35,1.575,4.288,0.0317,0.5674,30352.12,2.0,37000.0,857.6,31209.719999999998
