c_ask,gross_profit,contracts,expiry,actual_notional,delta,target_notional,f_mid,c_bid,f_ask,ticker,total_profit,c_date,ending_total,f_date,c_mid,current,f_bid,trade_date,strike
0.3125,-0.02300000000000002,41.0,1998-08-22,92250.0,-0.13,92819.17,0.168,0.0625,0.25,HHS,-94.3,1998-07-06,92724.87,1998-08-22,0.145,25.75,0.0,1998-07-06,22.5
0.8125,0.603,22.0,1998-08-22,93500.0,-0.08,92819.17,0.042,0.5625,0.0625,GD,1326.6,1998-06-26,94145.77,1998-08-22,0.645,46.03,0.0,1998-06-26,42.5
1.625,-0.5839999999999999,13.0,1998-08-22,91000.0,-0.07,92819.17,2.042,1.375,2.125,AET,-759.2,1998-06-29,92059.97,1998-08-22,1.458,75.13,1.875,1998-06-29,70.0
1.875,-4.085000000000001,14.0,1998-08-22,91000.0,-0.07,92819.17,5.876,1.75,6.0,WLP,-5719.0,1998-06-26,87100.17,1998-08-22,1.791,69.56,5.625,1998-06-26,65.0
1.3125,0.8520000000000001,37.0,1998-08-22,92500.0,-0.02,92819.17,0.293,1.0625,0.375,KWP,3152.4,1998-06-26,95971.56999999999,1998-08-22,1.145,25.59,0.125,1998-06-26,25.0
0.25,-0.23,62.0,1998-08-22,93000.0,-0.16,92819.17,0.438,0.1875,0.5,OEI,-1426.0,1998-06-26,91393.17,1998-08-22,0.208,17.88,0.3125,1998-06-26,15.0
0.3125,-3.939,19.0,1998-08-22,95000.0,-0.09,92819.17,4.168,0.1875,4.25,CCN,-7484.1,1998-06-29,85335.06999999999,1998-08-22,0.229,54.75,4.0,1998-06-29,50.0
1.6875,-1.1059999999999999,17.0,1998-08-22,93500.0,-0.03,92819.17,2.626,1.4375,2.75,PD,-1880.2,1998-07-02,90938.97,1998-08-22,1.52,56.66,2.375,1998-07-02,55.0
0.625,0.49900000000000005,37.0,1998-08-22,92500.0,-0.14,92819.17,0.042,0.5,0.0625,CPQ,1846.3,1998-06-26,94665.47,1998-08-22,0.541,29.0,0.0,1998-06-26,25.0
0.5625,0.437,74.0,1998-08-22,92500.0,-0.14,92819.17,0.042,0.4375,0.0625,SMOD,3233.8,1998-06-30,96052.97,1998-08-22,0.479,14.59,0.0,1998-06-30,12.5
1.8125,1.603,14.0,1998-08-22,91000.0,-0.04,92819.17,0.042,1.5625,0.0625,GM,2244.2,1998-07-01,95063.37,1998-08-22,1.645,68.0,0.0,1998-07-01,65.0
