ticker,trade_date,expiry,current,strike,delta,c_date,c_bid,c_ask,c_mid,f_date,f_bid,f_ask,f_mid,gross_profit,s_yield,a_yield,target_notional,contracts,actual_notional,total_profit,ending_total
DO,2015-09-16,2015-10-16,23.02,20.0,-0.13,2015-09-16,0.52,0.67,0.57,2015-10-16,0.25,0.38,0.337,0.23299999999999993,0.0285,0.401,19718.01,10.0,20000.0,233.0,19951.01
WDC,2015-09-14,2015-10-23,80.55,72.5,-0.1,2015-09-14,1.18,1.61,1.322,2015-10-23,2.78,3.6,3.329,-2.007,0.0182,0.1812,19718.01,3.0,21750.0,-602.1,19115.91
FOSL,2015-09-14,2015-10-23,58.28,52.0,-0.11,2015-09-14,0.5,0.8,0.599,2015-10-23,0.0,0.25,0.168,0.43099999999999994,0.0115,0.1113,19718.01,4.0,20800.0,172.4,19890.41
IBM,2015-09-14,2015-10-23,146.39,132.0,-0.1,2015-09-14,1.3,1.58,1.392,2015-10-23,0.0,0.01,0.007,1.385,0.0105,0.1012,19718.01,1.0,13200.0,138.5,19856.51
CVX,2015-09-14,2015-10-23,75.48,68.0,-0.1,2015-09-14,0.93,1.02,0.96,2015-10-23,0.0,0.38,0.255,0.705,0.0141,0.138,19718.01,3.0,20400.0,211.5,19929.51
AGCO,2015-09-16,2015-10-16,47.81,45.0,-0.06,2015-09-16,0.7,0.85,0.75,2015-10-16,0.7,0.9,0.834,-0.08399999999999996,0.0167,0.2199,19718.01,4.0,18000.0,-33.6,19684.41
DRQ,2015-09-17,2015-10-16,66.22,60.0,-0.09,2015-09-17,0.6,1.65,0.947,2015-10-16,0.0,0.75,0.503,0.44399999999999995,0.0158,0.2148,19718.01,3.0,18000.0,133.2,19851.21
AAL,2015-09-14,2015-10-23,42.17,38.0,-0.1,2015-09-14,0.81,0.93,0.85,2015-10-23,0.0,0.19,0.127,0.723,0.0224,0.2269,19718.01,5.0,19000.0,361.5,20079.51
HP,2015-09-14,2015-10-16,48.47,45.0,-0.07,2015-09-14,1.65,1.9,1.732,2015-10-16,0.0,0.05,0.034,1.698,0.0385,0.5296,19718.01,4.0,18000.0,679.2,20397.21
FLR,2015-09-14,2015-10-23,45.0,40.5,-0.1,2015-09-14,0.45,0.6,0.5,2015-10-23,0.0,0.1,0.067,0.433,0.0123,0.1195,19718.01,5.0,20250.0,216.5,19934.51
WLK,2015-09-17,2015-10-16,51.56,45.0,-0.13,2015-09-17,0.35,1.05,0.581,2015-10-16,0.0,0.5,0.335,0.24599999999999994,0.0129,0.1725,19718.01,4.0,18000.0,98.4,19816.41
DOV,2015-09-14,2015-10-16,60.14,55.0,-0.09,2015-09-14,0.65,0.95,0.749,2015-10-16,0.0,0.15,0.101,0.648,0.0136,0.1641,19718.01,4.0,22000.0,259.2,19977.21
RES,2015-09-14,2015-10-16,9.71,9.0,-0.07,2015-09-14,0.25,0.5,0.333,2015-10-16,0.0,0.15,0.101,0.232,0.037,0.5049,19718.01,22.0,19800.0,510.4,20228.41
MUR,2015-09-14,2015-10-16,26.98,25.0,-0.07,2015-09-14,0.85,1.05,0.916,2015-10-16,0.0,0.05,0.034,0.882,0.0366,0.4984,19718.01,8.0,20000.0,705.6,20423.609999999997
PPC,2015-09-14,2015-10-16,20.98,19.0,-0.09,2015-09-14,0.3,0.45,0.35,2015-10-16,0.0,0.2,0.134,0.21599999999999997,0.0184,0.2277,19718.01,10.0,19000.0,216.0,19934.01
ALK,2015-09-14,2015-10-16,81.49,75.0,-0.08,2015-09-14,1.15,1.25,1.183,2015-10-16,0.0,0.05,0.034,1.149,0.0158,0.1929,19718.01,3.0,22500.0,344.7,20062.71
THO,2015-09-16,2015-10-16,55.75,50.0,-0.1,2015-09-16,0.4,0.9,0.565,2015-10-16,0.0,0.05,0.034,0.5309999999999999,0.0113,0.1444,19718.01,4.0,20000.0,212.4,19930.41
PPG,2015-09-14,2015-10-16,95.25,85.0,-0.11,2015-09-14,0.8,1.1,0.899,2015-10-16,0.0,0.5,0.335,0.5640000000000001,0.0106,0.1259,19718.01,2.0,17000.0,112.8,19830.809999999998
VLO,2015-09-14,2015-10-23,61.66,55.5,-0.1,2015-09-14,1.25,1.34,1.28,2015-10-23,0.0,0.06,0.04,1.24,0.0231,0.2347,19718.01,4.0,22200.0,496.0,20214.01
VMI,2015-09-14,2015-10-16,102.84,95.0,-0.08,2015-09-14,1.15,1.6,1.298,2015-10-16,0.0,0.5,0.335,0.9630000000000001,0.0137,0.1654,19718.01,2.0,19000.0,192.6,19910.609999999997
JOY,2015-09-14,2015-10-23,17.59,16.0,-0.09,2015-09-14,0.5,0.81,0.602,2015-10-23,0.0,0.31,0.208,0.394,0.0376,0.4059,19718.01,12.0,19200.0,472.8,20190.809999999998
DAN,2015-09-14,2015-10-16,17.15,15.0,-0.13,2015-09-14,0.1,0.35,0.182,2015-10-16,0.0,0.3,0.201,-0.019000000000000017,0.0121,0.1449,19718.01,13.0,19500.0,-24.7,19693.309999999998
SNDK,2015-09-14,2015-10-23,54.84,49.5,-0.1,2015-09-14,1.58,1.85,1.669,2015-10-23,0.0,0.01,0.007,1.6620000000000001,0.0337,0.3579,19718.01,4.0,19800.0,664.8,20382.809999999998
URBN,2015-09-14,2015-10-16,30.34,27.0,-0.11,2015-09-14,0.2,0.3,0.233,2015-10-16,0.0,0.15,0.101,0.132,0.0086,0.1011,19718.01,7.0,18900.0,92.4,19810.41
WNR,2015-09-14,2015-10-16,43.49,39.0,-0.1,2015-09-14,0.8,0.95,0.85,2015-10-16,0.0,0.2,0.134,0.716,0.0218,0.2746,19718.01,5.0,19500.0,358.0,20076.01
GILD,2015-09-14,2015-10-23,109.02,98.0,-0.1,2015-09-14,1.23,1.58,1.346,2015-10-23,0.0,0.02,0.013,1.3330000000000002,0.0137,0.1338,19718.01,2.0,19600.0,266.6,19984.609999999997
OSK,2015-09-14,2015-10-16,39.1,35.0,-0.1,2015-09-14,0.6,0.9,0.699,2015-10-16,0.0,0.4,0.268,0.43099999999999994,0.02,0.2495,19718.01,6.0,21000.0,258.6,19976.609999999997
TEN,2015-09-14,2015-10-16,46.61,42.0,-0.1,2015-09-14,0.4,0.85,0.548,2015-10-16,0.0,0.25,0.168,0.38,0.013,0.1564,19718.01,5.0,21000.0,190.0,19908.01
TKR,2015-09-14,2015-10-16,29.7,27.5,-0.07,2015-09-14,0.45,0.65,0.516,2015-10-16,0.0,0.25,0.168,0.348,0.0188,0.2331,19718.01,7.0,19250.0,243.6,19961.609999999997
VIAB,2015-09-14,2015-10-16,43.9,40.0,-0.09,2015-09-14,0.7,0.8,0.733,2015-10-16,0.0,0.05,0.034,0.699,0.0183,0.2263,19718.01,5.0,20000.0,349.5,20067.51
BBBY,2015-09-14,2015-10-23,61.52,55.5,-0.1,2015-09-14,0.86,0.98,0.9,2015-10-23,0.0,0.28,0.188,0.712,0.0162,0.1599,19718.01,4.0,22200.0,284.8,20002.809999999998
RL,2015-09-14,2015-10-16,108.39,100.0,-0.08,2015-09-14,1.45,1.55,1.483,2015-10-16,0.0,0.35,0.234,1.249,0.0148,0.1797,19718.01,2.0,20000.0,249.8,19967.809999999998
HII,2015-09-14,2015-10-16,114.71,105.0,-0.08,2015-09-14,1.1,1.95,1.381,2015-10-16,0.0,0.5,0.335,1.046,0.0132,0.159,19718.01,2.0,21000.0,209.2,19927.21
UNP,2015-09-14,2015-10-23,86.03,77.5,-0.1,2015-09-14,0.74,1.09,0.856,2015-10-23,0.0,0.34,0.228,0.628,0.011,0.1063,19718.01,3.0,23250.0,188.4,19906.41
DISCA,2015-09-14,2015-10-16,26.54,25.0,-0.06,2015-09-14,0.45,0.6,0.5,2015-10-16,0.0,0.15,0.101,0.399,0.02,0.2495,19718.01,8.0,20000.0,319.2,20037.21
GT,2015-09-14,2015-10-23,29.39,26.5,-0.1,2015-09-14,0.35,0.55,0.416,2015-10-23,0.0,0.1,0.067,0.349,0.0157,0.1546,19718.01,7.0,18550.0,244.3,19962.309999999998
HAL,2015-09-14,2015-10-23,36.98,33.5,-0.09,2015-09-14,0.98,1.06,1.006,2015-10-23,0.0,0.09,0.06,0.946,0.03,0.3137,19718.01,6.0,20100.0,567.6,20285.609999999997
INTC,2015-09-14,2015-10-23,29.31,26.5,-0.1,2015-09-14,0.37,0.41,0.383,2015-10-23,0.0,0.03,0.02,0.363,0.0145,0.1421,19718.01,7.0,18550.0,254.1,19972.109999999997
TRN,2015-09-14,2015-10-23,25.88,23.5,-0.09,2015-09-14,0.7,1.0,0.799,2015-10-23,0.0,0.6,0.402,0.397,0.034,0.3616,19718.01,8.0,18800.0,317.6,20035.609999999997
DDS,2015-09-14,2015-10-16,91.96,85.0,-0.08,2015-09-14,1.05,1.25,1.116,2015-10-16,0.0,0.15,0.101,1.0150000000000001,0.0131,0.1577,19718.01,2.0,17000.0,203.0,19921.01
M,2015-09-14,2015-10-23,57.81,52.0,-0.1,2015-09-14,0.55,0.61,0.57,2015-10-23,3.85,4.2,4.085,-3.515,0.011,0.1063,19718.01,4.0,20800.0,-1406.0,18312.01
CF,2015-09-14,2015-10-23,54.83,49.5,-0.1,2015-09-14,1.22,1.43,1.289,2015-10-23,0.0,0.03,0.02,1.269,0.026,0.2674,19718.01,4.0,19800.0,507.6,20225.609999999997
WCC,2015-09-14,2015-10-16,53.09,50.0,-0.06,2015-09-14,0.9,1.3,1.032,2015-10-16,1.85,4.0,3.291,-2.259,0.0206,0.2578,19718.01,4.0,20000.0,-903.6,18814.41
QCOM,2015-09-14,2015-10-23,54.52,49.0,-0.1,2015-09-14,0.5,0.68,0.559,2015-10-23,0.0,0.14,0.094,0.4650000000000001,0.0114,0.1103,19718.01,4.0,19600.0,186.0,19904.01
CSX,2015-09-14,2015-10-16,28.4,26.0,-0.08,2015-09-14,0.44,0.47,0.45,2015-10-16,0.0,0.01,0.007,0.443,0.0173,0.2128,19718.01,8.0,20800.0,354.4,20072.41
FTI,2015-09-14,2015-10-16,32.71,29.0,-0.11,2015-09-14,0.45,0.9,0.599,2015-10-16,0.0,0.05,0.034,0.565,0.0207,0.2592,19718.01,7.0,20300.0,395.5,20113.51
DLX,2015-09-14,2015-10-16,58.47,55.0,-0.06,2015-09-14,0.85,1.1,0.933,2015-10-16,0.0,0.4,0.268,0.665,0.017,0.2088,19718.01,4.0,22000.0,266.0,19984.01
CBS,2015-09-14,2015-10-16,49.03,45.0,-0.08,2015-09-14,0.45,0.8,0.566,2015-10-16,0.0,5.0,3.35,-2.7840000000000003,0.0126,0.1513,19718.01,4.0,18000.0,-1113.6,18604.41
GPS,2015-09-14,2015-10-23,32.4,29.0,-0.1,2015-09-14,0.32,0.37,0.337,2015-10-23,1.52,2.32,2.056,-1.719,0.0116,0.1123,19718.01,7.0,20300.0,-1203.3,18514.71
