ticker,trade_date,expiry,current,strike,delta,c_date,c_bid,c_ask,c_mid,f_date,f_bid,f_ask,f_mid,gross_profit,s_yield,a_yield,target_notional,contracts,actual_notional,total_profit,ending_total
BGC,2010-09-21,2010-10-16,26.3,26.0,-0.0114,2010-09-21,0.8,0.9,0.833,2010-10-16,0.0,0.15,0.101,0.732,0.032,0.5739,85366.0,33.0,85800.0,2415.6,87781.6
NFLX,2010-09-20,2010-10-16,142.01,140.0,-0.0142,2010-09-20,5.9,6.05,5.95,2010-10-16,0.0,0.01,0.007,5.9430000000000005,0.0425,0.7794,85366.0,6.0,84000.0,3565.8,88931.8
AEO,2010-09-22,2010-10-16,14.48,14.0,-0.0331,2010-09-22,0.4,0.5,0.433,2010-10-16,0.0,0.05,0.034,0.399,0.0309,0.5785,85366.0,61.0,85400.0,2433.9,87799.9
AAWW,2010-09-20,2010-10-16,48.96,47.5,-0.0298,2010-09-20,1.3,1.75,1.449,2010-10-16,0.0,0.1,0.067,1.3820000000000001,0.0305,0.5159,85366.0,18.0,85500.0,2487.6,87853.6
PCLN,2010-09-20,2010-10-16,344.79,340.0,-0.0139,2010-09-20,10.4,10.9,10.565,2010-10-16,0.0,0.05,0.034,10.530999999999999,0.0311,0.5281,85366.0,3.0,102000.0,3159.3,88525.3
TPX,2010-09-23,2010-10-16,28.86,28.0,-0.0298,2010-09-23,0.95,1.05,0.983,2010-10-16,0.0,0.05,0.034,0.949,0.0351,0.716,85366.0,30.0,84000.0,2847.0,88213.0
APOL,2010-09-27,2010-11-20,49.48,48.0,-0.0299,2010-09-27,3.15,3.3,3.2,2010-11-20,12.4,13.0,12.802,-9.602,0.0667,0.538,85366.0,18.0,86400.0,-17283.6,68082.4
ANF,2010-09-20,2010-10-16,37.56,37.0,-0.0149,2010-09-20,1.21,1.24,1.22,2010-10-16,0.0,0.02,0.013,1.207,0.033,0.5676,85366.0,23.0,85100.0,2776.1,88142.1
MOS,2010-09-20,2010-10-16,60.98,60.0,-0.0161,2010-09-20,2.6,2.63,2.61,2010-10-16,0.0,0.02,0.013,2.597,0.0435,0.8032,85366.0,14.0,84000.0,3635.8,89001.8
ESL,2010-09-20,2010-10-16,55.88,55.0,-0.0157,2010-09-20,0.1,5.0,1.717,2010-10-16,0.0,5.0,3.35,-1.633,0.0312,0.5302,85366.0,16.0,88000.0,-2612.8,82753.2
BUCY,2010-09-23,2010-10-16,69.6,67.5,-0.0302,2010-09-23,2.38,2.45,2.403,2010-10-16,0.0,0.05,0.034,2.369,0.0356,0.729,85366.0,13.0,87750.0,3079.7,88445.7
GMCR,2010-09-20,2010-10-16,35.91,35.0,-0.0253,2010-09-20,1.07,1.11,1.083,2010-10-16,4.9,5.0,4.967,-3.8839999999999995,0.0309,0.524,85366.0,24.0,84000.0,-9321.6,76044.4
HTLD,2010-09-20,2010-10-16,15.91,15.0,-0.0572,2010-09-20,0.25,5.0,1.818,2010-10-16,0.0,0.8,0.536,1.282,0.1212,3.8744,85366.0,57.0,85500.0,7307.4,92673.4
STRA,2010-09-20,2010-10-16,161.48,155.0,-0.0401,2010-09-20,6.1,7.2,6.463,2010-10-16,22.3,24.5,23.774,-17.311,0.0417,0.7606,85366.0,6.0,93000.0,-10386.6,74979.4
CF,2010-09-20,2010-10-16,102.08,100.0,-0.0204,2010-09-20,3.8,3.9,3.833,2010-10-16,0.0,0.02,0.013,3.8200000000000003,0.0383,0.6827,85366.0,9.0,90000.0,3438.0,88804.0
SM,2010-09-22,2010-10-16,36.1,35.0,-0.0305,2010-09-22,1.0,1.15,1.05,2010-10-16,0.0,0.1,0.067,0.9830000000000001,0.03,0.558,85366.0,24.0,84000.0,2359.2,87725.2
AMED,2010-09-22,2010-10-16,29.41,29.0,-0.0139,2010-09-22,1.62,1.8,1.679,2010-10-16,2.83,3.25,3.111,-1.4320000000000002,0.0579,1.3263,85366.0,29.0,84100.0,-4152.8,81213.2
MON,2010-09-23,2010-10-16,53.72,52.5,-0.0227,2010-09-23,1.44,1.47,1.45,2010-10-16,0.0,0.01,0.007,1.443,0.0276,0.5313,85366.0,16.0,84000.0,2308.8,87674.8
JCP,2010-09-20,2010-10-16,24.6,24.0,-0.0244,2010-09-20,0.76,0.78,0.767,2010-10-16,0.0,0.01,0.007,0.76,0.032,0.5467,85366.0,36.0,86400.0,2736.0,88102.0
APKT,2010-09-20,2010-10-16,38.66,37.5,-0.03,2010-09-20,1.45,1.6,1.5,2010-10-16,0.0,0.05,0.034,1.466,0.04,0.7213,85366.0,23.0,86250.0,3371.8,88737.8
