ticker,trade_date,expiry,current,strike,delta,c_date,c_bid,c_ask,c_mid,f_date,f_bid,f_ask,f_mid,gross_profit,s_yield,a_yield,target_notional,contracts,actual_notional,total_profit,ending_total
MPLX,2015-11-23,2016-01-15,37.38,35.0,-0.0637,2015-11-23,1.85,4.9,2.857,2016-01-15,0.0,0.1,0.067,2.79,0.0816,0.7037,99209.86,28.0,98000.0,7812.0,107021.86
DSW,2015-11-23,2016-01-15,23.03,22.5,-0.023,2015-11-23,1.3,1.4,1.333,2016-01-15,0.15,0.25,0.217,1.1159999999999999,0.0592,0.478,99209.86,44.0,99000.0,4910.4,104120.26
INCY,2015-11-23,2016-01-15,113.43,110.0,-0.0302,2015-11-23,8.5,9.0,8.665,2016-01-15,4.9,5.5,5.302,3.3629999999999995,0.0788,0.674,99209.86,9.0,99000.0,3026.7,102236.56
GIII,2015-12-01,2016-01-15,46.52,45.0,-0.0327,2015-12-01,2.15,2.6,2.299,2016-01-15,1.85,2.15,2.051,0.24799999999999978,0.0511,0.4899,99209.86,22.0,99000.0,545.6,99755.46
JOY,2015-11-23,2015-12-31,15.24,15.0,-0.0157,2015-11-23,0.98,1.15,1.036,2015-12-31,1.49,2.81,2.374,-1.338,0.0691,0.8833,99209.86,66.0,99000.0,-8830.8,90379.06
RAX,2015-11-23,2015-12-31,25.92,25.5,-0.0162,2015-11-23,1.2,1.35,1.25,2015-12-31,0.0,0.5,0.335,0.915,0.049,0.5733,99209.86,39.0,99450.0,3568.5,102778.36
EA,2015-11-24,2015-12-31,67.8,66.5,-0.0192,2015-11-24,2.54,2.83,2.636,2015-12-31,0.0,0.02,0.013,2.623,0.0396,0.4592,99209.86,15.0,99750.0,3934.5,103144.36
ALGT,2015-11-30,2016-01-15,183.8,180.0,-0.0207,2015-11-30,10.5,11.7,10.896,2016-01-15,10.9,14.0,12.977,-2.0809999999999995,0.0605,0.5836,99209.86,6.0,108000.0,-1248.6,97961.26
MYGN,2015-11-23,2015-12-31,44.3,43.5,-0.0181,2015-11-23,1.6,1.9,1.699,2015-12-31,0.0,0.85,0.57,1.129,0.0391,0.4382,99209.86,23.0,100050.0,2596.7,101806.56
UBNT,2015-11-23,2016-01-15,33.99,33.0,-0.0291,2015-11-23,2.1,2.3,2.166,2016-01-15,1.75,1.9,1.85,0.31599999999999984,0.0656,0.5397,99209.86,30.0,99000.0,948.0,100157.86
ABMD,2015-11-23,2016-01-15,81.41,80.0,-0.0173,2015-11-23,4.3,7.8,5.455,2016-01-15,0.0,0.8,0.536,4.9190000000000005,0.0682,0.5654,99209.86,12.0,96000.0,5902.8,105112.66
NFLX,2015-11-23,2015-12-31,123.93,121.0,-0.0236,2015-11-23,5.1,5.3,5.166,2015-12-31,6.1,6.65,6.469,-1.303,0.0427,0.4861,99209.86,8.0,96800.0,-1042.4,98167.46
SYNA,2015-11-23,2015-12-31,88.04,86.5,-0.0175,2015-11-23,3.4,4.4,3.73,2015-12-31,3.5,7.3,6.046,-2.3160000000000003,0.0431,0.4915,99209.86,11.0,95150.0,-2547.6,96662.26
SWKS,2015-11-23,2015-12-31,78.21,76.5,-0.0219,2015-11-23,3.0,3.4,3.132,2015-12-31,0.0,0.1,0.067,3.065,0.0409,0.4619,99209.86,13.0,99450.0,3984.5,103194.36
AEO,2015-11-23,2015-12-31,15.89,15.5,-0.0245,2015-11-23,0.7,0.85,0.75,2015-12-31,0.0,0.25,0.168,0.582,0.0484,0.5648,99209.86,64.0,99200.0,3724.8,102934.66
LVS,2015-11-23,2015-12-31,45.44,44.5,-0.0207,2015-11-23,1.94,2.03,1.97,2015-12-31,0.61,0.68,0.657,1.313,0.0443,0.5078,99209.86,22.0,97900.0,2888.6,102098.46
WDC,2015-11-23,2015-12-31,62.05,61.0,-0.0169,2015-11-23,2.7,2.81,2.736,2015-12-31,0.33,0.94,0.739,1.9970000000000003,0.0449,0.516,99209.86,16.0,97600.0,3195.2,102405.06
TRN,2015-11-23,2015-12-31,26.33,26.0,-0.0125,2015-11-23,1.2,1.4,1.266,2015-12-31,0.3,3.9,2.712,-1.4460000000000002,0.0487,0.5691,99209.86,38.0,98800.0,-5494.8,93715.06
GMCR,2015-11-23,2015-12-31,46.76,46.0,-0.0163,2015-11-23,2.53,2.71,2.589,2015-12-31,0.0,0.02,0.013,2.576,0.0563,0.6802,99209.86,22.0,101200.0,5667.2,104877.06
VIAB,2015-11-23,2015-12-31,51.56,50.5,-0.0206,2015-11-23,2.0,2.25,2.083,2015-12-31,7.7,9.4,8.839,-6.756,0.0412,0.4659,99209.86,20.0,101000.0,-13512.0,85697.86
