ticker,trade_date,expiry,current,strike,delta,c_date,c_bid,c_ask,c_mid,f_date,f_bid,f_ask,f_mid,gross_profit,s_yield,a_yield,target_notional,contracts,actual_notional,total_profit,ending_total
EME,2008-11-26,2009-01-17,14.75,12.5,-0.15,2008-11-26,0.7,0.95,0.782,2009-01-17,0.0,0.1,0.067,0.7150000000000001,0.0626,0.5225,11879.51,10.0,12500.0,715.0,12594.51
COP,2008-11-26,2009-01-17,52.33,45.0,-0.14,2008-11-26,2.19,2.25,2.21,2009-01-17,0.36,0.39,0.38,1.83,0.0491,0.3935,11879.51,3.0,13500.0,549.0,12428.51
WDC,2008-11-26,2009-01-17,11.79,10.0,-0.15,2008-11-26,0.55,0.7,0.6,2009-01-17,0.15,0.25,0.217,0.383,0.06,0.4969,11879.51,12.0,12000.0,459.6,12339.11
FOSL,2008-12-01,2009-01-17,14.34,12.5,-0.13,2008-12-01,1.25,1.45,1.316,2009-01-17,0.0,0.1,0.067,1.249,0.1053,1.153,11879.51,10.0,12500.0,1249.0,13128.51
BBY,2008-12-01,2009-01-17,19.57,17.5,-0.11,2008-12-01,2.25,2.4,2.3,2009-01-17,0.05,0.1,0.084,2.2159999999999997,0.1314,1.5744,11879.51,7.0,12250.0,1551.2,13430.710000000001
CMI,2008-11-26,2009-01-17,23.36,20.0,-0.14,2008-11-26,1.5,1.6,1.533,2009-01-17,0.05,0.1,0.084,1.4489999999999998,0.0766,0.6669,11879.51,6.0,12000.0,869.4,12748.91
MUR,2008-11-26,2009-01-17,43.32,40.0,-0.08,2008-11-26,3.3,3.6,3.399,2009-01-17,0.75,0.85,0.817,2.582,0.085,0.7591,11879.51,3.0,12000.0,774.6,12654.11
AKS,2008-11-26,2009-01-17,7.92,7.5,-0.05,2008-11-26,1.4,1.55,1.45,2009-01-17,0.15,0.25,0.217,1.2329999999999999,0.1933,2.3989,11879.51,16.0,12000.0,1972.8,13852.31
FLR,2008-11-28,2009-01-17,46.09,42.5,-0.08,2008-11-28,3.8,4.0,3.866,2009-01-17,1.3,1.4,1.367,2.499,0.091,0.8721,11879.51,3.0,12750.0,749.7,12629.210000000001
WSM,2008-11-26,2009-01-17,7.14,5.0,-0.3,2008-11-26,0.3,0.4,0.333,2009-01-17,0.0,0.05,0.034,0.29900000000000004,0.0666,0.5626,11879.51,24.0,12000.0,717.6,12597.11
ATI,2008-11-26,2009-01-17,21.38,20.0,-0.06,2008-11-26,2.15,2.3,2.2,2009-01-17,0.2,0.3,0.267,1.9330000000000003,0.11,1.0596,11879.51,6.0,12000.0,1159.8,13039.31
ATW,2008-11-26,2009-01-17,18.02,15.0,-0.17,2008-11-26,1.2,1.45,1.282,2009-01-17,0.8,0.9,0.867,0.41500000000000004,0.0855,0.7647,11879.51,8.0,12000.0,332.0,12211.51
BCO,2008-11-26,2009-01-17,21.0,17.5,-0.17,2008-11-26,0.9,1.1,0.966,2009-01-17,0.0,0.1,0.067,0.899,0.0552,0.4506,11879.51,7.0,12250.0,629.3,12508.81
NVDA,2008-11-26,2009-01-17,7.23,5.0,-0.31,2008-11-26,0.1,0.2,0.133,2009-01-17,0.0,0.05,0.034,0.099,0.0266,0.1993,11879.51,24.0,12000.0,237.6,12117.11
CVH,2008-11-26,2009-01-17,11.61,10.0,-0.14,2008-11-26,0.7,0.85,0.75,2009-01-17,0.0,0.1,0.067,0.683,0.075,0.6498,11879.51,12.0,12000.0,819.6,12699.11
AXE,2008-11-26,2009-01-17,25.7,22.5,-0.12,2008-11-26,1.65,2.95,2.079,2009-01-17,0.0,0.25,0.168,1.9110000000000003,0.0924,0.8438,11879.51,5.0,11250.0,955.5,12835.01
JCP,2008-12-01,2009-01-17,17.54,15.0,-0.14,2008-12-01,1.8,1.95,1.85,2009-01-17,0.15,0.25,0.217,1.633,0.1233,1.4366,11879.51,8.0,12000.0,1306.4,13185.91
