ticker,trade_date,expiry,current,strike,delta,c_date,c_bid,c_ask,c_mid,f_date,f_bid,f_ask,f_mid,gross_profit,s_yield,a_yield,target_notional,contracts,actual_notional,total_profit,ending_total
WDC,2013-12-20,2014-01-18,82.73,75.0,-0.09,2013-12-20,0.57,0.63,0.59,2014-01-18,0.2,0.24,0.227,0.363,0.0079,0.1026,88120.6,12.0,90000.0,435.6,88556.20000000001
HNT,2013-12-19,2014-01-18,28.02,25.0,-0.11,2013-12-19,0.15,0.3,0.2,2014-01-18,0.05,0.1,0.084,0.116,0.008,0.1003,88120.6,35.0,87500.0,406.0,88526.6
CVI,2013-12-19,2014-01-18,40.62,37.5,-0.08,2013-12-19,0.5,0.7,0.566,2014-01-18,0.05,0.3,0.218,0.348,0.0151,0.197,88120.6,23.0,86250.0,800.4,88921.0
JBL,2013-12-19,2014-01-18,16.14,15.0,-0.07,2013-12-19,0.15,0.25,0.183,2014-01-18,0.0,0.05,0.034,0.149,0.0122,0.1566,88120.6,59.0,88500.0,879.1,88999.70000000001
VLO,2013-12-19,2014-01-24,47.38,45.0,-0.05,2013-12-19,1.12,1.17,1.137,2014-01-24,0.12,0.18,0.16,0.977,0.0253,0.2838,88120.6,20.0,90000.0,1954.0,90074.6
DAN,2013-12-19,2014-01-18,18.91,17.0,-0.1,2013-12-19,0.1,0.25,0.15,2014-01-18,0.0,0.1,0.067,0.08299999999999999,0.0088,0.1109,88120.6,52.0,88400.0,431.6,88552.20000000001
WNR,2013-12-19,2014-01-18,39.16,35.0,-0.11,2013-12-19,0.35,0.45,0.383,2014-01-18,0.05,0.1,0.084,0.299,0.0109,0.1389,88120.6,25.0,87500.0,747.5,88868.1
CVRR,2013-12-19,2014-01-18,21.9,20.0,-0.09,2013-12-19,0.15,0.3,0.2,2014-01-18,0.05,0.1,0.084,0.116,0.01,0.1268,88120.6,44.0,88000.0,510.4,88631.0
IEP,2013-12-20,2014-01-18,116.02,105.0,-0.09,2013-12-20,1.05,1.4,1.166,2014-01-18,1.95,2.5,2.319,-1.153,0.0111,0.1469,88120.6,8.0,84000.0,-922.4,87198.20000000001
ALK,2013-12-19,2014-01-18,70.94,65.0,-0.08,2013-12-19,0.5,0.6,0.533,2014-01-18,0.1,0.25,0.201,0.332,0.0082,0.103,88120.6,14.0,91000.0,464.8,88585.40000000001
ANF,2013-12-19,2014-01-24,32.0,29.0,-0.09,2013-12-19,0.33,0.41,0.356,2014-01-24,0.12,0.18,0.16,0.19599999999999998,0.0123,0.13,88120.6,30.0,87000.0,588.0,88708.6
MPC,2013-12-19,2014-01-24,86.66,78.0,-0.1,2013-12-19,0.8,0.9,0.833,2014-01-24,0.1,0.35,0.267,0.566,0.0107,0.1123,88120.6,11.0,85800.0,622.6,88743.20000000001
