ticker,trade_date,expiry,current,strike,delta,c_date,c_bid,c_ask,c_mid,f_date,f_bid,f_ask,f_mid,gross_profit,s_yield,a_yield,target_notional,contracts,actual_notional,total_profit,ending_total
DO,2010-12-21,2011-01-22,64.56,63.5,-0.0164,2010-12-21,1.63,1.69,1.65,2011-01-22,0.62,0.64,0.633,1.017,0.026,0.3348,28769.85,5.0,31750.0,508.5,29278.35
HES,2010-12-21,2011-01-22,75.31,72.5,-0.0373,2010-12-21,0.84,0.87,0.85,2011-01-22,0.54,0.57,0.56,0.2899999999999999,0.0117,0.1398,28769.85,4.0,29000.0,116.0,28885.85
WDC,2010-12-21,2011-01-22,33.44,33.0,-0.0132,2010-12-21,0.91,0.94,0.92,2011-01-22,0.75,0.78,0.77,0.15000000000000002,0.0279,0.3628,28769.85,9.0,29700.0,135.0,28904.85
AET,2010-12-21,2011-01-22,30.52,30.0,-0.017,2010-12-21,0.69,0.72,0.7,2011-01-22,0.42,0.44,0.433,0.26699999999999996,0.0233,0.2958,28769.85,10.0,30000.0,267.0,29036.85
CBST,2010-12-23,2011-01-22,21.7,21.0,-0.0323,2010-12-23,0.55,0.65,0.583,2011-01-22,0.55,0.7,0.65,-0.06700000000000006,0.0278,0.3896,28769.85,14.0,29400.0,-93.8,28676.05
DECK,2010-12-21,2011-01-22,86.27,85.0,-0.0147,2010-12-21,3.2,3.3,3.233,2011-01-22,6.6,6.7,6.667,-3.4339999999999997,0.038,0.5213,28769.85,3.0,25500.0,-1030.2,27739.649999999998
HS,2010-12-21,2011-01-22,26.8,25.0,-0.0672,2010-12-21,0.65,0.85,0.716,2011-01-22,0.45,0.6,0.55,0.16599999999999993,0.0286,0.3733,28769.85,12.0,30000.0,199.2,28969.05
EMN,2010-12-21,2011-01-22,81.73,80.0,-0.0212,2010-12-21,1.25,1.35,1.283,2011-01-22,0.45,0.55,0.517,0.7659999999999999,0.016,0.1955,28769.85,4.0,32000.0,306.4,29076.25
BIIB,2010-12-21,2011-01-22,68.24,67.5,-0.0108,2010-12-21,1.45,1.6,1.5,2011-01-22,1.65,1.8,1.751,-0.2509999999999999,0.0222,0.2802,28769.85,4.0,27000.0,-100.4,28669.449999999997
ATW,2010-12-21,2011-01-22,36.97,35.0,-0.0533,2010-12-21,0.4,0.45,0.417,2011-01-22,0.15,0.25,0.217,0.19999999999999998,0.0119,0.1423,28769.85,8.0,28000.0,160.0,28929.85
KSS,2010-12-21,2011-01-22,54.31,52.5,-0.0333,2010-12-21,0.55,0.65,0.583,2011-01-22,0.4,0.45,0.434,0.14899999999999997,0.0111,0.1322,28769.85,5.0,26250.0,74.5,28844.35
CVH,2010-12-21,2011-01-22,26.64,26.0,-0.024,2010-12-21,0.45,0.6,0.5,2011-01-22,0.5,0.6,0.567,-0.06699999999999995,0.0192,0.2386,28769.85,11.0,28600.0,-73.7,28696.149999999998
NEU,2010-12-21,2011-01-22,125.36,120.0,-0.0428,2010-12-21,1.65,1.9,1.732,2011-01-22,1.8,2.0,1.934,-0.20199999999999996,0.0144,0.1745,28769.85,2.0,24000.0,-40.4,28729.449999999997
TSS,2010-12-21,2011-01-22,15.27,15.0,-0.0177,2010-12-21,0.3,0.45,0.35,2011-01-22,0.15,0.25,0.217,0.13299999999999998,0.0233,0.2958,28769.85,19.0,28500.0,252.7,29022.55
AEO,2010-12-21,2011-01-22,14.8,14.5,-0.0203,2010-12-21,0.35,0.45,0.383,2011-01-22,0.4,0.45,0.434,-0.05099999999999999,0.0264,0.3406,28769.85,20.0,29000.0,-102.0,28667.85
EXC,2010-12-21,2011-01-22,41.48,41.0,-0.0116,2010-12-21,0.5,0.55,0.517,2011-01-22,0.35,0.4,0.384,0.133,0.0126,0.1513,28769.85,7.0,28700.0,93.1,28862.949999999997
CRI,2010-12-21,2011-01-22,31.38,30.0,-0.044,2010-12-21,0.45,0.55,0.483,2011-01-22,1.0,1.2,1.134,-0.6509999999999999,0.0161,0.1968,28769.85,10.0,30000.0,-651.0,28118.85
LANC,2010-12-22,2011-01-22,57.22,55.0,-0.0388,2010-12-22,0.05,4.7,1.585,2011-01-22,0.05,1.15,0.787,0.7979999999999999,0.0288,0.3906,28769.85,5.0,27500.0,399.0,29168.85
HUM,2010-12-21,2011-01-22,55.34,52.5,-0.0513,2010-12-21,0.6,0.7,0.633,2011-01-22,0.45,0.55,0.517,0.11599999999999999,0.0121,0.1449,28769.85,5.0,26250.0,58.0,28827.85
APOL,2010-12-21,2011-01-22,38.71,38.0,-0.0183,2010-12-21,1.69,1.73,1.703,2011-01-22,1.43,1.47,1.457,0.246,0.0448,0.6373,28769.85,8.0,30400.0,196.8,28966.649999999998
RTN,2010-12-21,2011-01-22,45.02,44.0,-0.0227,2010-12-21,0.63,0.65,0.637,2011-01-22,0.22,0.24,0.233,0.404,0.0145,0.1758,28769.85,7.0,30800.0,282.8,29052.649999999998
MUR,2010-12-21,2011-01-22,73.19,70.0,-0.0436,2010-12-21,0.7,0.85,0.75,2011-01-22,0.45,0.55,0.517,0.23299999999999998,0.0107,0.1272,28769.85,4.0,28000.0,93.2,28863.05
MSFT,2010-12-21,2011-01-22,27.95,27.5,-0.0161,2010-12-21,0.39,0.41,0.397,2011-01-22,0.37,0.39,0.383,0.014000000000000012,0.0144,0.1745,28769.85,10.0,27500.0,14.0,28783.85
WHR,2010-12-21,2011-01-22,88.61,85.0,-0.0407,2010-12-21,1.78,1.83,1.797,2011-01-22,1.2,1.24,1.227,0.5699999999999998,0.0211,0.2648,28769.85,3.0,25500.0,171.0,28940.85
KBR,2010-12-21,2011-01-22,29.53,29.0,-0.0179,2010-12-21,0.6,0.75,0.649,2011-01-22,0.25,0.4,0.351,0.29800000000000004,0.0224,0.283,28769.85,10.0,29000.0,298.0,29067.85
BMY,2010-12-21,2011-01-22,26.48,26.0,-0.0181,2010-12-21,0.44,0.46,0.447,2011-01-22,0.32,0.33,0.327,0.12,0.0172,0.2115,28769.85,11.0,28600.0,132.0,28901.85
LZ,2010-12-21,2011-01-22,109.41,105.0,-0.0403,2010-12-21,1.5,1.65,1.55,2011-01-22,1.55,1.75,1.684,-0.1339999999999999,0.0148,0.1797,28769.85,3.0,31500.0,-40.2,28729.649999999998
CA,2010-12-21,2011-01-22,24.84,24.0,-0.0338,2010-12-21,0.3,0.35,0.317,2011-01-22,0.35,0.4,0.384,-0.067,0.0132,0.159,28769.85,12.0,28800.0,-80.4,28689.449999999997
FCN,2010-12-22,2011-01-22,36.15,35.0,-0.0318,2010-12-22,0.35,0.5,0.399,2011-01-22,0.05,0.15,0.117,0.28200000000000003,0.0114,0.1407,28769.85,8.0,28000.0,225.6,28995.449999999997
FLR,2010-12-27,2011-01-22,66.2,65.0,-0.0181,2010-12-27,1.2,1.3,1.233,2011-01-22,1.2,1.3,1.267,-0.03399999999999981,0.019,0.2977,28769.85,4.0,26000.0,-13.6,28756.25
CI,2010-12-21,2011-01-22,37.06,36.0,-0.0286,2010-12-21,0.57,0.6,0.58,2011-01-22,0.54,0.57,0.56,0.019999999999999907,0.0161,0.1968,28769.85,8.0,28800.0,16.0,28785.85
ABC,2010-12-21,2011-01-22,33.56,33.0,-0.0167,2010-12-21,0.5,0.6,0.533,2011-01-22,0.3,0.4,0.367,0.16600000000000004,0.0162,0.1982,28769.85,9.0,29700.0,149.4,28919.25
GIS,2010-12-21,2011-01-22,35.91,35.0,-0.0253,2010-12-21,0.48,0.51,0.49,2011-01-22,0.33,0.36,0.35,0.14,0.014,0.1693,28769.85,8.0,28000.0,112.0,28881.85
RMD,2010-12-23,2011-01-22,35.68,35.0,-0.0191,2010-12-23,0.5,0.75,0.583,2011-01-22,0.55,1.15,0.952,-0.369,0.0167,0.2199,28769.85,8.0,28000.0,-295.2,28474.649999999998
LEA,2010-12-21,2011-01-22,100.03,95.0,-0.0503,2010-12-21,1.1,1.25,1.15,2011-01-22,0.85,0.95,0.917,0.23299999999999987,0.0121,0.1449,28769.85,3.0,28500.0,69.9,28839.75
GILD,2010-12-21,2011-01-22,36.94,36.0,-0.0254,2010-12-21,0.63,0.64,0.633,2011-01-22,0.67,0.7,0.69,-0.05699999999999994,0.0176,0.2169,28769.85,8.0,28800.0,-45.6,28724.25
HPQ,2010-12-23,2011-01-22,41.61,41.0,-0.0147,2010-12-23,0.69,0.7,0.693,2011-01-22,0.49,0.5,0.497,0.19599999999999995,0.0169,0.2228,28769.85,7.0,28700.0,137.2,28907.05
HRS,2010-12-21,2011-01-22,46.39,45.0,-0.03,2010-12-21,0.5,0.6,0.533,2011-01-22,0.35,0.55,0.484,0.049000000000000044,0.0118,0.1411,28769.85,6.0,27000.0,29.4,28799.25
BBY,2010-12-21,2011-01-22,33.78,33.0,-0.0231,2010-12-21,0.78,0.8,0.787,2011-01-22,0.41,0.43,0.423,0.36400000000000005,0.0238,0.3029,28769.85,9.0,29700.0,327.6,29097.449999999997
UNH,2010-12-21,2011-01-22,35.43,35.0,-0.0121,2010-12-21,0.88,0.9,0.887,2011-01-22,0.5,0.52,0.513,0.374,0.0253,0.3246,28769.85,8.0,28000.0,299.2,29069.05
FRX,2010-12-21,2011-01-22,32.59,31.0,-0.0488,2010-12-21,0.3,0.4,0.333,2011-01-22,0.35,0.45,0.417,-0.08399999999999996,0.0107,0.1272,28769.85,9.0,27900.0,-75.6,28694.25
TSCO,2010-12-21,2011-01-22,48.39,47.5,-0.0184,2010-12-21,0.95,1.1,1.0,2011-01-22,0.65,0.8,0.751,0.249,0.0211,0.2648,28769.85,6.0,28500.0,149.4,28919.25
OI,2010-12-21,2011-01-22,30.27,29.0,-0.042,2010-12-21,0.35,0.45,0.383,2011-01-22,0.25,0.3,0.284,0.09900000000000003,0.0132,0.159,28769.85,10.0,29000.0,99.0,28868.85
LO,2010-12-21,2011-01-22,81.9,80.0,-0.0232,2010-12-21,1.18,1.25,1.203,2011-01-22,0.94,0.99,0.974,0.2290000000000001,0.015,0.1823,28769.85,4.0,32000.0,91.6,28861.449999999997
ADM,2010-12-21,2011-01-22,30.36,30.0,-0.0119,2010-12-21,0.69,0.71,0.697,2011-01-22,0.68,0.69,0.687,0.009999999999999898,0.0232,0.2944,28769.85,10.0,30000.0,10.0,28779.85
SPR,2010-12-21,2011-01-22,20.3,20.0,-0.0148,2010-12-21,0.45,0.7,0.532,2011-01-22,0.25,0.4,0.351,0.18100000000000005,0.0266,0.3436,28769.85,14.0,28000.0,253.4,29023.25
ROST,2010-12-21,2011-01-22,62.9,60.0,-0.0461,2010-12-21,0.65,0.75,0.683,2011-01-22,0.45,0.55,0.517,0.16600000000000004,0.0114,0.136,28769.85,5.0,30000.0,83.0,28852.85
TJX,2010-12-21,2011-01-22,44.06,43.0,-0.0241,2010-12-21,0.45,0.55,0.483,2011-01-22,0.3,0.4,0.367,0.11599999999999999,0.0112,0.1335,28769.85,7.0,30100.0,81.2,28851.05
LXK,2010-12-21,2011-01-22,35.06,34.0,-0.0302,2010-12-21,0.6,0.7,0.633,2011-01-22,0.6,0.7,0.667,-0.03400000000000003,0.0186,0.2304,28769.85,8.0,27200.0,-27.2,28742.649999999998
