c_ask,gross_profit,contracts,expiry,actual_notional,delta,target_notional,f_mid,c_bid,f_ask,ticker,total_profit,c_date,ending_total,f_date,c_mid,current,f_bid,trade_date,strike
1.125,0.603,23.0,1999-01-16,46000.0,-0.12,46348.03,0.355,0.875,0.4375,DO,1386.9,1998-11-30,47734.93,1999-01-16,0.958,22.72,0.1875,1998-11-30,20.0
0.8125,0.061000000000000054,19.0,1999-01-16,47500.0,-0.11,46348.03,0.584,0.5625,0.625,SKS,115.9,1998-11-23,46463.93,1999-01-16,0.645,28.19,0.5,1998-11-23,25.0
0.4375,0.10200000000000001,26.0,1998-12-19,45500.0,-0.12,46348.03,0.168,0.1875,0.25,AKS,265.2,1998-11-23,46613.229999999996,1998-12-19,0.27,19.78,0.0,1998-11-23,17.5
0.8125,0.5609999999999999,15.0,1999-01-16,45000.0,-0.06,46348.03,0.168,0.6875,0.25,NYT,841.5,1998-11-23,47189.53,1999-01-16,0.729,31.81,0.0,1998-11-23,30.0
0.375,-0.418,10.0,1998-12-19,45000.0,-0.07,46348.03,0.709,0.25,0.75,CCN,-418.0,1998-11-23,45930.03,1998-12-19,0.291,48.19,0.625,1998-11-23,45.0
0.6875,0.52,19.0,1998-12-19,47500.0,-0.1,46348.03,0.084,0.5625,0.125,ATR,988.0,1998-11-23,47336.03,1998-12-19,0.604,27.84,0.0,1998-11-23,25.0
0.5625,0.39499999999999996,31.0,1999-01-16,46500.0,-0.12,46348.03,0.084,0.4375,0.125,TMO,1224.5,1998-11-30,47572.53,1999-01-16,0.479,17.06,0.0,1998-11-30,15.0
0.375,0.08099999999999999,31.0,1998-12-19,46500.0,-0.09,46348.03,0.168,0.1875,0.25,FHCC,251.1,1998-11-23,46599.13,1998-12-19,0.249,16.5,0.0,1998-11-23,15.0
1.5,0.853,10.0,1999-01-16,47500.0,-0.1,46348.03,0.48,1.25,0.5625,DAL,853.0,1998-11-23,47201.03,1999-01-16,1.333,52.94,0.3125,1998-11-23,47.5
0.875,0.039999999999999925,26.0,1999-01-16,45500.0,-0.08,46348.03,0.668,0.625,0.75,HUM,104.0,1998-11-23,46452.03,1999-01-16,0.708,19.03,0.5,1998-11-23,17.5
0.25,-0.0020000000000000018,15.0,1998-12-19,45000.0,-0.17,46348.03,0.168,0.125,0.25,TGH,-3.0,1998-11-23,46345.03,1998-12-19,0.166,36.0,0.0,1998-11-23,30.0
0.1875,0.01999999999999999,37.0,1999-01-16,46250.0,-0.2,46348.03,0.126,0.125,0.1875,SCS,74.0,1998-11-23,46422.03,1999-01-16,0.146,15.56,0.0,1998-11-23,12.5
1.0,-0.583,15.0,1999-01-16,45000.0,-0.11,46348.03,1.667,1.125,1.75,HCR,-874.5,1998-11-23,45473.53,1999-01-16,1.084,33.59,1.5,1998-11-23,30.0
1.4375,-0.2729999999999999,15.0,1999-01-16,45000.0,-0.07,46348.03,1.543,1.1875,1.625,HAL,-409.5,1998-11-23,45938.53,1999-01-16,1.27,32.19,1.375,1998-11-23,30.0
0.4375,0.10200000000000001,21.0,1998-12-19,47250.0,-0.13,46348.03,0.168,0.1875,0.25,ABF,214.2,1998-11-23,46562.229999999996,1998-12-19,0.27,25.91,0.0,1998-11-23,22.5
0.3125,-0.0010000000000000009,62.0,1999-01-16,46500.0,-0.23,46348.03,0.188,0.125,0.25,RDC,-6.2,1998-12-02,46341.83,1999-01-16,0.187,9.78,0.0625,1998-12-02,7.5
0.75,-0.33499999999999985,46.0,1998-12-19,46000.0,-0.04,46348.03,1.001,0.625,1.0625,PIR,-1541.0,1998-11-23,44807.03,1998-12-19,0.666,10.47,0.875,1998-11-23,10.0
0.625,0.374,31.0,1999-01-16,46500.0,-0.16,46348.03,0.084,0.375,0.125,BHI,1159.4,1998-12-01,47507.43,1999-01-16,0.458,17.84,0.0,1998-12-01,15.0
0.625,0.29000000000000004,46.0,1999-01-16,46000.0,-0.14,46348.03,0.168,0.375,0.25,NIN,1334.0,1998-11-23,47682.03,1999-01-16,0.458,11.69,0.0,1998-11-23,10.0
1.0625,0.769,15.0,1999-01-16,45000.0,-0.13,46348.03,0.126,0.8125,0.1875,ALK,1153.5,1998-11-23,47501.53,1999-01-16,0.895,34.44,0.0,1998-11-23,30.0
0.8125,-1.272,15.0,1999-01-16,45000.0,-0.17,46348.03,1.917,0.5625,2.0,ANV,-1908.0,1998-11-23,44440.03,1999-01-16,0.645,36.03,1.75,1998-11-23,30.0
0.4375,0.10200000000000001,21.0,1999-01-16,47250.0,-0.13,46348.03,0.168,0.1875,0.25,TJX,214.2,1998-11-23,46562.229999999996,1999-01-16,0.27,25.88,0.0,1998-11-23,22.5
0.875,0.581,31.0,1999-01-16,46500.0,-0.08,46348.03,0.168,0.6875,0.25,LZB,1801.1,1998-11-23,48149.13,1999-01-16,0.749,16.28,0.0,1998-11-23,15.0
