ticker,trade_date,expiry,current,strike,delta,c_date,c_bid,c_ask,c_mid,f_date,f_bid,f_ask,f_mid,gross_profit,s_yield,a_yield,target_notional,contracts,actual_notional,total_profit,ending_total
WDC,2008-06-23,2008-07-19,36.77,35.0,-0.0481,2008-06-23,1.45,1.55,1.483,2008-07-19,2.45,2.65,2.584,-1.101,0.0424,0.7771,73558.68,21.0,73500.0,-2312.1,71246.57999999999
DKS,2008-06-23,2008-07-19,20.4,20.0,-0.0196,2008-06-23,1.05,1.2,1.1,2008-07-19,2.2,2.35,2.301,-1.201,0.055,1.0987,73558.68,37.0,74000.0,-4443.7,69114.98
TXI,2008-06-30,2008-08-16,57.22,55.0,-0.0388,2008-06-30,3.8,4.2,3.932,2008-08-16,1.5,2.0,1.835,2.097,0.0715,0.6972,73558.68,13.0,71500.0,2726.1,76284.78
GT,2008-06-23,2008-07-19,20.38,20.0,-0.0186,2008-06-23,1.05,1.15,1.083,2008-07-19,1.4,1.55,1.501,-0.4179999999999999,0.0541,1.0741,73558.68,37.0,74000.0,-1546.6,72012.07999999999
THO,2008-06-23,2008-07-19,23.64,22.5,-0.0482,2008-06-23,0.85,1.0,0.899,2008-07-19,0.4,1.0,0.802,0.09699999999999998,0.04,0.7213,73558.68,33.0,74250.0,320.1,73878.78
HRB,2008-06-23,2008-07-19,21.0,20.0,-0.0476,2008-06-23,0.85,0.9,0.867,2008-07-19,0.0,0.05,0.034,0.833,0.0433,0.7984,73558.68,37.0,74000.0,3082.1,76640.78
CMI,2008-06-23,2008-07-19,73.66,72.5,-0.0157,2008-06-23,3.0,3.2,3.066,2008-07-19,6.1,6.4,6.301,-3.2350000000000003,0.0423,0.7747,73558.68,10.0,72500.0,-3235.0,70323.68
PII,2008-06-23,2008-07-19,43.49,40.0,-0.0802,2008-06-23,1.6,1.7,1.633,2008-07-19,0.0,0.05,0.034,1.599,0.0408,0.7397,73558.68,18.0,72000.0,2878.2,76436.87999999999
TRA,2008-06-24,2008-08-16,52.25,50.0,-0.0431,2008-06-24,4.8,5.0,4.866,2008-08-16,5.7,5.9,5.834,-0.968,0.0973,0.8789,73558.68,15.0,75000.0,-1452.0,72106.68
FTO,2008-06-24,2008-08-16,25.3,25.0,-0.0119,2008-06-24,1.95,2.1,2.0,2008-08-16,5.7,6.0,5.901,-3.901,0.08,0.6867,73558.68,29.0,72500.0,-11312.9,62245.77999999999
CBG,2008-06-23,2008-07-19,20.61,20.0,-0.0296,2008-06-23,0.9,1.1,0.966,2008-07-19,0.6,1.1,0.935,0.030999999999999917,0.0483,0.9215,73558.68,37.0,74000.0,114.7,73673.37999999999
KMX,2008-06-23,2008-07-19,15.47,15.0,-0.0304,2008-06-23,0.75,0.85,0.783,2008-07-19,1.25,1.55,1.451,-0.668,0.0522,1.0229,73558.68,49.0,73500.0,-3273.2,70285.48
VSEA,2008-06-23,2008-07-19,36.25,35.0,-0.0345,2008-06-23,1.4,1.5,1.433,2008-07-19,2.3,2.5,2.434,-1.0010000000000001,0.0409,0.742,73558.68,21.0,73500.0,-2102.1,71456.57999999999
DECK,2008-06-23,2008-07-19,142.42,140.0,-0.017,2008-06-23,6.1,6.6,6.265,2008-07-19,25.4,26.4,26.07,-19.805,0.0447,0.8321,73558.68,5.0,70000.0,-9902.5,63656.17999999999
SNDK,2008-06-23,2008-07-19,21.05,20.0,-0.0499,2008-06-23,0.9,0.92,0.907,2008-07-19,2.38,2.45,2.427,-1.52,0.0454,0.8492,73558.68,37.0,74000.0,-5624.0,67934.68
WHR,2008-06-23,2008-07-19,65.69,65.0,-0.0105,2008-06-23,2.9,3.1,2.966,2008-07-19,0.0,0.05,0.034,2.9320000000000004,0.0456,0.8541,73558.68,11.0,71500.0,3225.2,76783.87999999999
CASY,2008-06-23,2008-07-19,25.75,25.0,-0.0291,2008-06-23,0.8,1.3,0.965,2008-07-19,1.5,2.0,1.835,-0.87,0.0386,0.6895,73558.68,29.0,72500.0,-2523.0,71035.68
BID,2008-06-23,2008-07-19,25.55,25.0,-0.0215,2008-06-23,1.2,1.35,1.25,2008-07-19,0.0,0.05,0.034,1.216,0.05,0.9651,73558.68,29.0,72500.0,3526.4,77085.07999999999
CNW,2008-06-23,2008-07-19,48.05,47.5,-0.0114,2008-06-23,2.2,2.4,2.266,2008-07-19,0.0,0.1,0.067,2.199,0.0477,0.9064,73558.68,15.0,71250.0,3298.5,76857.18
BEAV,2008-06-26,2008-08-16,25.94,25.0,-0.0362,2008-06-26,2.15,2.3,2.2,2008-08-16,0.0,0.05,0.034,2.1660000000000004,0.088,0.8137,73558.68,29.0,72500.0,6281.4,79840.07999999999
