ticker,trade_date,expiry,current,strike,delta,c_date,c_bid,c_ask,c_mid,f_date,f_bid,f_ask,f_mid,gross_profit,s_yield,a_yield,target_notional,contracts,actual_notional,total_profit,ending_total
NFLX,2008-01-22,2008-02-16,21.54,20.0,-0.0715,2008-01-22,1.0,1.1,1.033,2008-02-16,0.0,0.05,0.034,0.9989999999999999,0.0516,1.0637,68580.34,34.0,68000.0,3396.6,71976.94
SHLD,2008-01-22,2008-02-16,96.14,95.0,-0.0119,2008-01-22,5.0,5.4,5.132,2008-02-16,0.0,0.05,0.034,5.098,0.054,1.1326,68580.34,7.0,66500.0,3568.6,72148.94
PII,2008-01-22,2008-02-16,36.26,35.0,-0.0347,2008-01-22,1.9,2.05,1.95,2008-02-16,0.0,0.05,0.034,1.916,0.0557,1.1826,68580.34,20.0,70000.0,3832.0,72412.34
SEPR,2008-01-24,2008-02-16,27.95,27.5,-0.0161,2008-01-24,1.3,1.55,1.383,2008-02-16,3.6,3.8,3.734,-2.351,0.0503,1.1558,68580.34,25.0,68750.0,-5877.5,62702.84
CTSH,2008-01-23,2008-02-16,25.64,25.0,-0.025,2008-01-23,1.1,1.2,1.133,2008-02-16,0.0,0.05,0.034,1.099,0.0453,0.9436,68580.34,27.0,67500.0,2967.3,71547.64
HRB,2008-01-22,2008-02-16,18.01,17.5,-0.0283,2008-01-22,0.95,1.1,1.0,2008-02-16,0.0,0.05,0.034,0.966,0.0571,1.2247,68580.34,39.0,68250.0,3767.4,72347.73999999999
VMI,2008-01-22,2008-02-16,81.41,80.0,-0.0173,2008-01-22,4.3,5.1,4.564,2008-02-16,0.0,0.3,0.201,4.363,0.0571,1.2247,68580.34,9.0,72000.0,3926.7,72507.04
CMI,2008-01-22,2008-02-16,40.7,40.0,-0.0172,2008-01-22,2.15,2.3,2.2,2008-02-16,0.0,0.05,0.034,2.1660000000000004,0.055,1.1619,68580.34,17.0,68000.0,3682.2,72262.54
DECK,2008-01-23,2008-02-16,119.85,115.0,-0.0405,2008-01-23,6.7,7.4,6.931,2008-02-16,0.3,1.05,0.803,6.128,0.0603,1.4068,68580.34,6.0,69000.0,3676.8,72257.14
NOV,2008-01-22,2008-02-16,56.47,55.0,-0.026,2008-01-22,2.75,2.95,2.816,2008-02-16,0.0,0.05,0.034,2.782,0.0512,1.0524,68580.34,12.0,66000.0,3338.4,71918.73999999999
CROX,2008-01-22,2008-02-16,27.89,25.0,-0.1036,2008-01-22,1.15,1.3,1.2,2008-02-16,0.0,0.05,0.034,1.166,0.048,0.9643,68580.34,27.0,67500.0,3148.2,71728.54
HNI,2008-01-22,2008-02-16,30.8,30.0,-0.026,2008-01-22,1.35,1.85,1.515,2008-02-16,0.0,0.35,0.234,1.281,0.0505,1.0328,68580.34,23.0,69000.0,2946.3,71526.64
SNDK,2008-01-22,2008-02-16,26.74,25.0,-0.0651,2008-01-22,1.2,1.3,1.233,2008-02-16,0.0,0.05,0.034,1.199,0.0493,0.9997,68580.34,27.0,67500.0,3237.3,71817.64
CAKE,2008-01-22,2008-02-16,17.91,17.5,-0.0229,2008-01-22,0.9,1.0,0.933,2008-02-16,0.0,0.05,0.034,0.899,0.0533,1.1123,68580.34,39.0,68250.0,3506.1,72086.44
NVDA,2008-01-22,2008-02-16,23.25,22.5,-0.0323,2008-01-22,1.5,1.6,1.533,2008-02-16,0.2,0.3,0.267,1.266,0.0681,1.5823,68580.34,30.0,67500.0,3798.0,72378.34
TOL,2008-01-22,2008-02-16,17.81,17.5,-0.0174,2008-01-22,0.95,1.05,0.983,2008-02-16,0.0,0.05,0.034,0.949,0.0562,1.1976,68580.34,39.0,68250.0,3701.1,72281.44
VARI,2008-01-22,2008-02-16,58.05,55.0,-0.0525,2008-01-22,2.0,4.7,2.891,2008-02-16,0.95,1.5,1.319,1.572,0.0526,1.0921,68580.34,12.0,66000.0,1886.4,70466.73999999999
PCAR,2008-01-24,2008-02-16,46.5,45.0,-0.0323,2008-01-24,2.35,2.55,2.416,2008-02-16,2.1,2.85,2.603,-0.18700000000000028,0.0537,1.2676,68580.34,15.0,67500.0,-280.5,68299.84
ADS,2008-01-22,2008-02-16,57.54,55.0,-0.0441,2008-01-22,6.6,7.2,6.798,2008-02-16,0.0,0.05,0.034,6.764,0.1236,4.3556,68580.34,12.0,66000.0,8116.8,76697.14
WCG,2008-01-22,2008-02-16,52.52,50.0,-0.048,2008-01-22,3.8,4.5,4.031,2008-02-16,0.0,0.05,0.034,3.997,0.0806,2.0533,68580.34,14.0,70000.0,5595.8,74176.14
