ticker,trade_date,expiry,current,strike,delta,c_date,c_bid,c_ask,c_mid,f_date,f_bid,f_ask,f_mid,gross_profit,s_yield,a_yield,target_notional,contracts,actual_notional,total_profit,ending_total
DO,2010-09-27,2010-11-20,64.21,60.0,-0.0656,2010-09-27,1.76,1.82,1.78,2010-11-20,0.27,0.31,0.297,1.483,0.0297,0.2155,27847.43,5.0,30000.0,741.5,28588.93
HES,2010-10-05,2010-11-20,61.41,60.0,-0.023,2010-10-05,2.15,2.2,2.167,2010-11-20,0.0,0.03,0.02,2.147,0.0361,0.3199,27847.43,5.0,30000.0,1073.5,28920.93
WDC,2010-09-27,2010-11-20,27.83,27.0,-0.0298,2010-09-27,1.66,1.69,1.67,2010-11-20,0.0,0.06,0.04,1.63,0.0619,0.4924,27847.43,10.0,27000.0,1630.0,29477.43
EXC,2010-09-27,2010-11-20,43.15,42.0,-0.0267,2010-09-27,0.95,1.0,0.966,2010-11-20,1.95,2.2,2.118,-1.152,0.023,0.1637,27847.43,7.0,29400.0,-806.4,27041.03
DECK,2010-09-27,2010-11-20,48.02,45.0,-0.0629,2010-09-27,1.9,2.1,1.966,2010-11-20,0.0,0.05,0.034,1.932,0.0437,0.33,27847.43,6.0,27000.0,1159.2,29006.63
FLR,2010-09-27,2010-11-20,48.9,48.0,-0.0184,2010-09-27,2.0,2.1,2.033,2010-11-20,0.0,0.05,0.034,1.9989999999999999,0.0424,0.319,27847.43,6.0,28800.0,1199.4,29046.83
AMED,2010-09-28,2010-11-20,24.98,24.0,-0.0392,2010-09-28,2.17,2.29,2.21,2010-11-20,0.0,0.06,0.04,2.17,0.0921,0.8193,27847.43,12.0,28800.0,2604.0,30451.43
BJ,2010-10-04,2010-11-20,41.8,40.0,-0.0431,2010-10-04,1.15,1.25,1.183,2010-11-20,0.0,0.1,0.067,1.116,0.0296,0.2504,27847.43,7.0,28000.0,781.2,28628.63
SLGN,2010-09-27,2010-11-20,31.38,30.0,-0.044,2010-09-27,0.6,0.7,0.633,2010-11-20,0.0,0.05,0.034,0.599,0.0211,0.1494,27847.43,9.0,27000.0,539.1,28386.53
ATW,2010-10-01,2010-11-20,30.79,30.0,-0.0257,2010-10-01,1.1,1.2,1.133,2010-11-20,0.0,0.05,0.034,1.099,0.0378,0.3062,27847.43,9.0,27000.0,989.1,28836.53
BGC,2010-10-01,2010-11-20,27.05,26.0,-0.0388,2010-10-01,1.15,1.45,1.249,2010-11-20,0.0,0.1,0.067,1.1820000000000002,0.048,0.4015,27847.43,11.0,28600.0,1300.2,29147.63
RDC,2010-09-27,2010-11-20,29.81,29.0,-0.0272,2010-09-27,1.5,1.6,1.533,2010-11-20,0.0,0.05,0.034,1.4989999999999999,0.0529,0.4101,27847.43,10.0,29000.0,1499.0,29346.43
CVH,2010-09-29,2010-11-20,21.36,21.0,-0.0169,2010-09-29,1.2,1.3,1.233,2010-11-20,0.0,0.1,0.067,1.1660000000000001,0.0587,0.4842,27847.43,13.0,27300.0,1515.8,29363.23
NEU,2010-09-27,2010-11-20,110.0,105.0,-0.0455,2010-09-27,4.6,5.0,4.732,2010-11-20,0.0,0.1,0.067,4.665,0.0451,0.3419,27847.43,3.0,31500.0,1399.5,29246.93
AEO,2010-09-28,2010-11-20,14.71,14.0,-0.0483,2010-09-28,0.45,0.55,0.483,2010-11-20,0.0,0.05,0.034,0.44899999999999995,0.0345,0.2591,27847.43,20.0,28000.0,898.0,28745.43
BKE,2010-09-27,2010-11-20,26.55,25.0,-0.0584,2010-09-27,1.25,1.4,1.3,2010-11-20,0.0,0.1,0.067,1.233,0.052,0.4021,27847.43,11.0,27500.0,1356.3,29203.73
LLY,2010-09-27,2010-11-20,36.06,35.0,-0.0294,2010-09-27,0.82,0.84,0.827,2010-11-20,0.5,0.53,0.52,0.30699999999999994,0.0236,0.1682,27847.43,8.0,28000.0,245.6,28093.03
HUM,2010-10-01,2010-11-20,50.27,49.0,-0.0253,2010-10-01,1.8,1.9,1.833,2010-11-20,0.0,0.15,0.101,1.732,0.0374,0.3026,27847.43,6.0,29400.0,1039.2,28886.63
APOL,2010-09-27,2010-11-20,49.48,48.0,-0.0299,2010-09-27,3.15,3.3,3.2,2010-11-20,12.4,13.0,12.802,-9.602,0.0667,0.538,27847.43,6.0,28800.0,-5761.2,22086.23
RTN,2010-09-27,2010-11-20,45.72,45.0,-0.0157,2010-09-27,1.59,1.63,1.603,2010-11-20,0.0,0.05,0.034,1.569,0.0356,0.2626,27847.43,6.0,27000.0,941.4,28788.83
BIG,2010-09-27,2010-11-20,34.19,32.5,-0.0494,2010-09-27,0.8,0.9,0.833,2010-11-20,3.0,3.2,3.134,-2.301,0.0256,0.1836,27847.43,9.0,29250.0,-2070.9,25776.53
MSFT,2010-10-01,2010-11-20,24.56,24.0,-0.0228,2010-10-01,0.84,0.85,0.843,2010-11-20,0.0,0.01,0.007,0.836,0.0351,0.282,27847.43,12.0,28800.0,1003.2,28850.63
LLL,2010-10-01,2010-11-20,72.27,70.0,-0.0314,2010-10-01,2.05,2.15,2.083,2010-11-20,0.0,0.05,0.034,2.0490000000000004,0.0298,0.2354,27847.43,4.0,28000.0,819.6,28667.03
MDR,2010-09-27,2010-11-20,14.36,14.0,-0.0251,2010-09-27,0.6,0.75,0.649,2010-11-20,0.0,0.05,0.034,0.615,0.0464,0.3531,27847.43,20.0,28000.0,1230.0,29077.43
BMY,2010-09-27,2010-11-20,27.68,27.0,-0.0246,2010-09-27,0.73,0.75,0.737,2010-11-20,1.04,1.11,1.087,-0.35,0.0273,0.1967,27847.43,10.0,27000.0,-350.0,27497.43
HPQ,2010-09-30,2010-11-20,42.44,42.0,-0.0104,2010-09-30,1.66,1.68,1.667,2010-11-20,0.0,0.01,0.007,1.6600000000000001,0.0397,0.3163,27847.43,7.0,29400.0,1162.0,29009.43
CI,2010-09-27,2010-11-20,35.84,35.0,-0.0234,2010-09-27,1.46,1.51,1.477,2010-11-20,0.01,0.04,0.03,1.447,0.0422,0.3173,27847.43,8.0,28000.0,1157.6,29005.03
GIS,2010-09-27,2010-11-20,36.91,36.0,-0.0247,2010-09-27,1.04,1.09,1.057,2010-11-20,0.86,0.99,0.947,0.10999999999999999,0.0294,0.2131,27847.43,8.0,28800.0,88.0,27935.43
INTC,2010-09-27,2010-11-20,19.3,19.0,-0.0155,2010-09-27,0.73,0.75,0.737,2010-11-20,0.0,0.01,0.007,0.73,0.0388,0.2889,27847.43,15.0,28500.0,1095.0,28942.43
LNCR,2010-09-27,2010-11-20,24.59,24.0,-0.024,2010-09-27,0.95,1.1,1.0,2010-11-20,0.0,0.15,0.101,0.899,0.0417,0.3131,27847.43,12.0,28800.0,1078.8,28926.23
GILD,2010-09-27,2010-11-20,36.14,35.0,-0.0315,2010-09-27,1.24,1.27,1.25,2010-11-20,0.0,0.02,0.013,1.237,0.0357,0.2635,27847.43,8.0,28000.0,989.6,28837.03
CA,2010-09-27,2010-11-20,21.03,20.0,-0.049,2010-09-27,0.6,0.65,0.617,2010-11-20,0.0,0.05,0.034,0.583,0.0308,0.2241,27847.43,14.0,28000.0,816.2,28663.63
CF,2010-09-27,2010-11-20,101.82,100.0,-0.0179,2010-09-27,5.75,5.95,5.816,2010-11-20,0.0,0.04,0.027,5.789,0.0582,0.4581,27847.43,3.0,30000.0,1736.7,29584.13
JEC,2010-09-27,2010-11-20,37.65,37.0,-0.0173,2010-09-27,1.45,1.55,1.483,2010-11-20,0.0,0.05,0.034,1.449,0.0401,0.2997,27847.43,8.0,29600.0,1159.2,29006.63
GD,2010-09-27,2010-11-20,63.49,60.0,-0.055,2010-09-27,1.45,1.55,1.483,2010-11-20,0.0,0.05,0.034,1.449,0.0247,0.1766,27847.43,5.0,30000.0,724.5,28571.93
BBY,2010-09-27,2010-11-20,39.94,39.0,-0.0235,2010-09-27,1.67,1.7,1.68,2010-11-20,0.0,0.03,0.02,1.66,0.0431,0.3249,27847.43,7.0,27300.0,1162.0,29009.43
UNH,2010-09-27,2010-11-20,35.54,35.0,-0.0152,2010-09-27,1.44,1.48,1.453,2010-11-20,0.0,0.03,0.02,1.433,0.0415,0.3114,27847.43,8.0,28000.0,1146.4,28993.83
VZ,2010-09-27,2010-11-20,32.8,32.0,-0.0244,2010-09-27,0.78,0.8,0.787,2010-11-20,0.0,0.01,0.007,0.78,0.0246,0.1759,27847.43,9.0,28800.0,702.0,28549.43
FRX,2010-09-27,2010-11-20,31.21,30.0,-0.0388,2010-09-27,0.9,1.0,0.933,2010-11-20,0.0,0.1,0.067,0.8660000000000001,0.0311,0.2265,27847.43,9.0,27000.0,779.4,28626.83
DHR,2010-09-27,2010-11-20,40.87,40.0,-0.0213,2010-09-27,1.15,1.25,1.183,2010-11-20,0.0,0.05,0.034,1.149,0.0296,0.2147,27847.43,7.0,28000.0,804.3,28651.73
GPS,2010-09-27,2010-11-20,18.7,18.0,-0.0374,2010-09-27,0.67,0.7,0.68,2010-11-20,0.0,0.03,0.02,0.66,0.0378,0.2806,27847.43,15.0,27000.0,990.0,28837.43
MCK,2010-09-29,2010-11-20,62.66,60.0,-0.0425,2010-09-29,1.8,1.9,1.833,2010-11-20,0.0,0.05,0.034,1.799,0.0306,0.232,27847.43,5.0,30000.0,899.5,28746.93
