c_ask,gross_profit,contracts,expiry,actual_notional,delta,target_notional,f_mid,c_bid,f_ask,ticker,total_profit,c_date,ending_total,f_date,c_mid,current,f_bid,trade_date,strike
0.75,0.45699999999999996,16.0,1998-01-17,56000.0,-0.05,55528.52,0.126,0.5,0.1875,MKG,731.2,1997-11-24,56259.719999999994,1998-01-17,0.583,36.94,0.0,1997-11-24,35.0
0.5,0.165,32.0,1998-01-17,56000.0,-0.12,55528.52,0.168,0.25,0.25,ASC,528.0,1997-11-24,56056.52,1998-01-17,0.333,19.91,0.0,1997-11-24,17.5
1.875,1.478,4.0,1998-01-17,60000.0,-0.1,55528.52,0.23,1.625,0.3125,CI,591.2,1997-11-24,56119.719999999994,1998-01-17,1.708,166.63,0.0625,1997-11-24,150.0
1.875,-2.3350000000000004,28.0,1998-01-17,56000.0,-0.05,55528.52,4.001,1.5625,4.125,WDC,-6538.0,1997-11-25,48990.52,1998-01-17,1.666,21.06,3.75,1997-11-25,20.0
0.6875,-0.06399999999999995,14.0,1997-12-20,56000.0,-0.14,55528.52,0.584,0.4375,0.625,SCI,-89.6,1997-11-24,55438.92,1997-12-20,0.52,46.72,0.5,1997-11-24,40.0
0.3125,0.103,22.0,1998-01-17,55000.0,-0.17,55528.52,0.084,0.125,0.125,ARW,226.6,1997-11-24,55755.119999999995,1998-01-17,0.187,30.03,0.0,1997-11-24,25.0
0.1875,0.01999999999999999,56.0,1998-01-17,56000.0,-0.23,55528.52,0.084,0.0625,0.125,TRA,112.0,1997-11-24,55640.52,1998-01-17,0.104,12.94,0.0,1997-11-24,10.0
0.6875,0.040000000000000036,28.0,1998-01-17,56000.0,-0.11,55528.52,0.48,0.4375,0.5625,UTH,112.0,1997-11-24,55640.52,1998-01-17,0.52,22.44,0.3125,1997-11-24,20.0
1.4375,0.874,12.0,1998-01-17,54000.0,-0.06,55528.52,0.396,1.1875,0.4375,CAT,1048.8,1997-11-26,56577.32,1998-01-17,1.27,47.66,0.3125,1997-11-26,45.0
1.75,-0.06400000000000006,28.0,1998-01-17,56000.0,-0.12,55528.52,1.479,1.25,1.5,SEG,-179.2,1997-11-24,55349.32,1998-01-17,1.415,22.69,1.4375,1997-11-24,20.0
2.1875,1.727,6.0,1998-01-17,60000.0,-0.08,55528.52,0.293,1.9375,0.375,DAL,1036.2,1997-11-24,56564.719999999994,1998-01-17,2.02,109.06,0.125,1997-11-24,100.0
0.3125,0.14500000000000002,12.0,1997-12-20,54000.0,-0.09,55528.52,0.084,0.1875,0.125,CCN,174.0,1997-11-24,55702.52,1997-12-20,0.229,49.66,0.0,1997-11-24,45.0
0.375,0.24899999999999997,32.0,1997-12-20,56000.0,-0.09,55528.52,0.042,0.25,0.0625,LQI,796.8,1997-11-24,56325.32,1997-12-20,0.291,19.22,0.0,1997-11-24,17.5
0.375,0.12299999999999997,10.0,1998-01-17,55000.0,-0.16,55528.52,0.168,0.25,0.25,PD,123.0,1997-12-01,55651.52,1998-01-17,0.291,65.63,0.0,1997-12-01,55.0
3.125,1.04,10.0,1998-01-17,55000.0,-0.1,55528.52,1.834,2.75,1.875,CPQ,1040.0,1997-11-24,56568.52,1998-01-17,2.874,61.06,1.75,1997-11-24,55.0
0.75,0.33199999999999996,16.0,1998-01-17,56000.0,-0.12,55528.52,0.251,0.5,0.3125,FJ,531.2,1997-11-24,56059.719999999994,1998-01-17,0.583,39.66,0.125,1997-11-24,35.0
0.4375,0.29200000000000004,28.0,1998-01-17,56000.0,-0.15,55528.52,0.104,0.375,0.125,TUP,817.6,1997-11-24,56346.119999999995,1998-01-17,0.396,23.59,0.0625,1997-11-24,20.0
1.5,1.1039999999999999,19.0,1998-01-17,57000.0,-0.12,55528.52,0.229,1.25,0.25,COMS,2097.6,1997-11-24,57626.119999999995,1998-01-17,1.333,34.25,0.1875,1997-11-24,30.0
1.1875,-1.585,22.0,1998-01-17,55000.0,-0.01,55528.52,2.605,0.9375,2.6875,AR,-3487.0,1997-11-24,52041.52,1998-01-17,1.02,25.22,2.4375,1997-11-24,25.0
