ticker,secid,trade_date,expiry,current,strike,delta,c_date,c_bid,c_ask,c_mid,f_date,f_bid,f_ask,f_mid,gross_profit,s_yield,a_yield,target_notional,contracts,actual_notional,total_profit,ending_total
ENCD,104304.0,1996-12-23,1997-01-18,40.81,40.0,-0.0198,1996-12-23,2.125,2.375,2.208,1997-01-18,1.75,1.9375,1.876,0.3320000000000003,0.0552,1.1042,21346.44,5.0,20000.0,166.0,21512.44
CPQ,103282.0,1996-12-23,1997-01-18,74.69,70.0,-0.0628,1996-12-23,2.4375,2.625,2.499,1997-01-18,1.375,1.4375,1.417,1.082,0.0357,0.6253,21346.44,3.0,21000.0,324.6,21671.039999999997
CMOS,103512.0,1996-12-23,1997-01-18,21.81,20.0,-0.083,1996-12-23,0.625,0.8125,0.687,1997-01-18,1.0,1.1875,1.126,-0.43899999999999983,0.0344,0.5973,21346.44,11.0,22000.0,-482.9,20863.539999999997
UTMD,111529.0,1996-12-23,1997-01-18,12.94,12.5,-0.034,1996-12-23,0.3125,0.5625,0.395,1997-01-18,0.0625,0.25,0.188,0.20700000000000002,0.0316,0.5384,21346.44,17.0,21250.0,351.9,21698.34
TLAB,110914.0,1996-12-23,1997-01-18,37.88,35.0,-0.076,1996-12-23,1.1875,1.4375,1.27,1997-01-18,0.75,0.9375,0.876,0.394,0.0363,0.6384,21346.44,6.0,21000.0,236.4,21582.84
BBBY,102068.0,1996-12-23,1997-01-18,25.5,25.0,-0.0196,1996-12-23,0.75,1.0,0.833,1997-01-18,1.1875,1.4375,1.355,-0.522,0.0333,0.5739,21346.44,9.0,22500.0,-469.8,20876.64
XLNX,112161.0,1996-12-23,1997-01-18,38.94,35.0,-0.1012,1996-12-23,1.1875,1.4375,1.27,1997-01-18,1.625,1.75,1.709,-0.43900000000000006,0.0363,0.6384,21346.44,6.0,21000.0,-263.4,21083.039999999997
EFII,104239.0,1996-12-23,1997-01-18,78.25,75.0,-0.0415,1996-12-23,2.0625,2.4375,2.186,1997-01-18,1.0625,1.3125,1.23,0.956,0.0291,0.4876,21346.44,3.0,22500.0,286.8,21633.239999999998
ALRN,5028.0,1996-12-23,1997-01-18,20.5,20.0,-0.0244,1996-12-23,0.8125,0.9375,0.854,1997-01-18,0.4375,0.6875,0.605,0.249,0.0427,0.7842,21346.44,11.0,22000.0,273.9,21620.34
SFSK,8028.0,1996-12-23,1997-01-18,50.5,45.0,-0.1089,1996-12-23,1.125,1.5,1.249,1997-01-18,1.3125,1.6875,1.564,-0.31499999999999995,0.0278,0.4618,21346.44,5.0,22500.0,-157.5,21188.94
EMC,104049.0,1996-12-23,1997-01-18,33.38,32.5,-0.0264,1996-12-23,0.9375,1.1875,1.02,1997-01-18,0.8125,1.0625,0.98,0.040000000000000036,0.0314,0.5343,21346.44,7.0,22750.0,28.0,21374.44
WTT,112079.0,1996-12-23,1997-01-18,10.25,10.0,-0.0244,1996-12-23,0.5,0.6875,0.562,1997-01-18,0.4375,0.625,0.563,-0.0009999999999998899,0.0562,1.132,21346.44,21.0,21000.0,-2.1,21344.34
AMAT,101610.0,1996-12-23,1997-01-18,36.0,35.0,-0.0278,1996-12-23,1.1875,1.4375,1.27,1997-01-18,0.75,0.9375,0.876,0.394,0.0363,0.6384,21346.44,6.0,21000.0,236.4,21582.84
FINL,104687.0,1996-12-23,1997-01-18,23.19,22.5,-0.0298,1996-12-23,1.625,1.8125,1.687,1997-01-18,2.25,2.375,2.334,-0.647,0.075,1.722,21346.44,9.0,20250.0,-582.3,20764.14
GEN,105198.0,1996-12-23,1997-01-18,20.31,20.0,-0.0153,1996-12-23,0.5625,0.8125,0.645,1997-01-18,0.0,0.125,0.084,0.561,0.0323,0.553,21346.44,11.0,22000.0,617.1,21963.539999999997
NVLS,108266.0,1996-12-23,1997-01-18,59.63,55.0,-0.0776,1996-12-23,1.5625,1.6875,1.604,1997-01-18,3.0,3.25,3.168,-1.564,0.0292,0.4896,21346.44,4.0,22000.0,-625.6,20720.84
PAYX,108804.0,1996-12-23,1997-01-18,48.13,45.0,-0.065,1996-12-23,1.3125,1.5625,1.395,1997-01-18,0.1875,0.3125,0.271,1.124,0.031,0.5261,21346.44,5.0,22500.0,562.0,21908.44
MDLI,7881.0,1996-12-23,1997-01-18,17.88,17.5,-0.0213,1996-12-23,1.0625,1.3125,1.145,1997-01-18,0.5,0.75,0.668,0.477,0.0654,1.4041,21346.44,12.0,21000.0,572.4,21918.84
MU,107544.0,1996-12-30,1997-01-18,30.19,27.5,-0.0891,1996-12-30,0.6875,0.8125,0.729,1997-01-18,0.8125,0.9375,0.896,-0.16700000000000004,0.0265,0.6414,21346.44,8.0,22000.0,-133.6,21212.84
ALTR,101293.0,1996-12-23,1997-01-18,70.88,65.0,-0.083,1996-12-23,1.875,2.125,1.958,1997-01-18,0.9375,1.1875,1.105,0.853,0.0301,0.5078,21346.44,3.0,19500.0,255.9,21602.34
CPWR,103307.0,1996-12-23,1997-01-18,54.38,50.0,-0.0805,1996-12-23,1.8125,2.0625,1.895,1997-01-18,2.75,2.875,2.834,-0.9390000000000001,0.0379,0.6738,21346.44,4.0,20000.0,-375.6,20970.84
