ticker,secid,trade_date,expiry,current,strike,delta,c_date,c_bid,c_ask,c_mid,f_date,f_bid,f_ask,f_mid,gross_profit,s_yield,a_yield,target_notional,contracts,actual_notional,total_profit,ending_total
HPC,105688.0,1997-06-23,1997-07-19,46.63,45.0,-0.035,1997-06-23,0.625,0.875,0.708,1997-07-19,0.0,0.25,0.168,0.5399999999999999,0.0157,0.2407,22521.32,5.0,22500.0,270.0,22791.32
DG,103906.0,1997-06-23,1997-07-19,37.19,35.0,-0.0589,1997-06-23,0.5,0.75,0.583,1997-07-19,0.0,0.25,0.168,0.4149999999999999,0.0167,0.2577,22521.32,6.0,21000.0,249.0,22770.32
CPB,102660.0,1997-07-01,1997-07-19,48.53,47.5,-0.0212,1997-07-01,1.0,1.25,1.083,1997-07-19,0.0,0.25,0.168,0.9149999999999999,0.0228,0.5697,22521.32,5.0,23750.0,457.5,22978.82
SWY,109854.0,1997-06-23,1997-07-19,47.06,45.0,-0.0438,1997-06-23,0.375,0.4375,0.396,1997-07-19,0.0,0.125,0.084,0.312,0.0088,0.129,22521.32,5.0,22500.0,156.0,22677.32
LLTC,106982.0,1997-06-26,1997-07-19,51.44,50.0,-0.028,1997-06-26,1.875,2.125,1.958,1997-07-19,0.0,0.25,0.168,1.79,0.0392,0.8255,22521.32,5.0,25000.0,895.0,23416.32
KLAC,106595.0,1997-06-23,1997-07-19,50.75,45.0,-0.1133,1997-06-23,1.0625,1.3125,1.145,1997-07-19,0.0,0.25,0.168,0.977,0.0254,0.4152,22521.32,5.0,22500.0,488.5,23009.82
CPQ,103282.0,1997-06-23,1997-07-19,104.5,100.0,-0.0431,1997-06-23,3.0,3.375,3.124,1997-07-19,0.0,0.0625,0.042,3.0820000000000003,0.0312,0.5302,22521.32,2.0,20000.0,616.4,23137.72
DOV,103932.0,1997-06-23,1997-07-19,62.44,60.0,-0.0391,1997-06-23,0.4375,0.6875,0.52,1997-07-19,0.0,0.25,0.168,0.352,0.0087,0.1274,22521.32,4.0,24000.0,140.8,22662.12
ADSK,101795.0,1997-06-23,1997-07-19,37.25,35.0,-0.0604,1997-06-23,1.1875,1.4375,1.27,1997-07-19,0.0,0.25,0.168,1.102,0.0363,0.6384,22521.32,6.0,21000.0,661.2,23182.52
COHU,103147.0,1997-06-23,1997-07-19,32.0,30.0,-0.0625,1997-06-23,0.1875,0.4375,0.27,1997-07-19,0.0,0.0625,0.042,0.228,0.009,0.1321,22521.32,8.0,24000.0,182.4,22703.72
