ticker,secid,trade_date,expiry,current,strike,delta,c_date,c_bid,c_ask,c_mid,f_date,f_bid,f_ask,f_mid,gross_profit,s_yield,a_yield,target_notional,contracts,actual_notional,total_profit,ending_total
CPWR,103307.0,1996-08-19,1996-09-21,45.0,40.0,-0.1111,1996-08-19,1.3125,1.5,1.374,1996-09-21,0.125,0.3125,0.251,1.1230000000000002,0.0344,0.4462,20331.61,5.0,20000.0,561.5,20893.11
REY,109620.0,1996-08-19,1996-09-21,48.56,45.0,-0.0733,1996-08-19,0.6875,0.9375,0.77,1996-09-21,0.0,0.125,0.084,0.686,0.0171,0.2032,20331.61,5.0,22500.0,343.0,20674.61
KSS,106723.0,1996-08-19,1996-09-21,39.25,35.0,-0.1083,1996-08-19,0.3125,0.5625,0.395,1996-09-21,0.375,0.625,0.542,-0.14700000000000002,0.0113,0.1304,20331.61,6.0,21000.0,-88.2,20243.41
RXSD,7834.0,1996-08-19,1996-09-21,32.0,30.0,-0.0625,1996-08-19,1.75,1.875,1.791,1996-09-21,0.3125,0.5,0.438,1.353,0.0597,0.8824,20331.61,7.0,21000.0,947.1,21278.71
TMB,5908.0,1996-08-19,1996-09-21,41.31,40.0,-0.0317,1996-08-19,0.4375,0.6875,0.52,1996-09-21,0.1875,0.4375,0.355,0.16500000000000004,0.013,0.1513,20331.61,5.0,20000.0,82.5,20414.11
UST,111298.0,1996-08-28,1996-09-21,30.94,30.0,-0.0304,1996-08-28,0.1875,0.4375,0.27,1996-09-21,0.25,0.5,0.418,-0.14799999999999996,0.009,0.1438,20331.61,7.0,21000.0,-103.6,20228.010000000002
MXIM,107289.0,1996-08-19,1996-09-21,30.06,25.0,-0.1683,1996-08-19,0.4375,0.5625,0.479,1996-09-21,0.125,0.375,0.293,0.186,0.0192,0.2306,20331.61,8.0,20000.0,148.8,20480.41
NUHC,108255.0,1996-08-20,1996-09-21,8.81,7.5,-0.1487,1996-08-20,0.1875,0.3125,0.229,1996-09-21,0.0,0.125,0.084,0.14500000000000002,0.0305,0.4021,20331.61,27.0,20250.0,391.5,20723.11
CPQ,103282.0,1996-08-19,1996-09-21,58.63,55.0,-0.0619,1996-08-19,0.875,0.9375,0.896,1996-09-21,0.0,0.0625,0.042,0.854,0.0163,0.1929,20331.61,4.0,22000.0,341.6,20673.21
TSS,111107.0,1996-08-19,1996-09-21,23.31,22.5,-0.0347,1996-08-19,0.6875,0.9375,0.77,1996-09-21,0.0,0.125,0.084,0.686,0.0342,0.4432,20331.61,9.0,20250.0,617.4,20949.010000000002
USRX,7374.0,1996-08-23,1996-09-21,55.0,50.0,-0.0909,1996-08-23,1.3125,1.5625,1.395,1996-09-21,0.0,0.0625,0.042,1.353,0.0279,0.4072,20331.61,4.0,20000.0,541.2,20872.81
LLY,106967.0,1996-08-19,1996-09-21,58.25,55.0,-0.0558,1996-08-19,0.5625,0.8125,0.645,1996-09-21,0.0,0.25,0.168,0.477,0.0117,0.1353,20331.61,4.0,22000.0,190.8,20522.41
WTT,112079.0,1996-08-19,1996-09-21,8.97,7.5,-0.1639,1996-08-19,0.125,0.3125,0.187,1996-09-21,0.0,0.1875,0.126,0.061,0.0249,0.3078,20331.61,27.0,20250.0,164.7,20496.31
NSM,107951.0,1996-08-21,1996-09-21,15.38,15.0,-0.0247,1996-08-21,0.375,0.5,0.416,1996-09-21,0.0,0.0625,0.042,0.374,0.0277,0.3734,20331.61,14.0,21000.0,523.6,20855.21
PPD,109146.0,1996-08-19,1996-09-21,13.75,12.5,-0.0909,1996-08-19,0.5,0.75,0.583,1996-09-21,0.3125,0.4375,0.396,0.18699999999999994,0.0466,0.6436,20331.61,16.0,20000.0,299.2,20630.81
SGP,109954.0,1996-08-19,1996-09-21,56.56,55.0,-0.0276,1996-08-19,0.875,1.125,0.958,1996-09-21,0.0,0.1875,0.126,0.832,0.0174,0.2071,20331.61,4.0,22000.0,332.8,20664.41
CAMP,102617.0,1996-08-19,1996-09-21,8.0,7.5,-0.0625,1996-08-19,0.5625,0.75,0.624,1996-09-21,0.0625,0.25,0.188,0.436,0.0832,1.3913,20331.61,27.0,20250.0,1177.2,21508.81
QHGI,109393.0,1996-08-19,1996-09-21,25.44,25.0,-0.0173,1996-08-19,0.375,0.5,0.416,1996-09-21,0.0,0.25,0.168,0.24799999999999997,0.0166,0.1967,20331.61,8.0,20000.0,198.4,20530.010000000002
ASPT,101714.0,1996-08-19,1996-09-21,51.38,50.0,-0.0269,1996-08-19,1.9375,2.4375,2.103,1996-09-21,1.4375,2.1875,1.94,0.16300000000000026,0.0421,0.5681,20331.61,4.0,20000.0,65.2,20396.81
KWP,5528.0,1996-08-19,1996-09-21,35.94,35.0,-0.0262,1996-08-19,0.625,0.6875,0.646,1996-09-21,0.625,0.875,0.793,-0.14700000000000002,0.0185,0.2214,20331.61,6.0,21000.0,-88.2,20243.41
ORCL,108505.0,1996-08-19,1996-09-21,39.63,36.625,-0.0758,1996-08-19,0.8125,0.875,0.833,1996-09-21,0.0,0.125,0.084,0.749,0.0227,0.2775,20331.61,6.0,21975.0,449.4,20781.010000000002
GAL,5389.0,1996-08-19,1996-09-21,27.38,25.0,-0.0869,1996-08-19,0.5,0.625,0.541,1996-09-21,0.0,0.125,0.084,0.457,0.0216,0.2625,20331.61,8.0,20000.0,365.6,20697.21
BBBY,102068.0,1996-08-23,1996-09-21,20.75,20.0,-0.0361,1996-08-23,0.5,0.625,0.541,1996-09-21,0.0625,0.125,0.104,0.43700000000000006,0.0271,0.3937,20331.61,10.0,20000.0,437.0,20768.61
EFII,104239.0,1996-08-19,1996-09-21,58.75,55.0,-0.0638,1996-08-19,2.4375,2.8125,2.561,1996-09-21,0.0,0.25,0.168,2.393,0.0466,0.6436,20331.61,4.0,22000.0,957.2,21288.81
K,106638.0,1996-08-27,1996-09-21,71.75,70.0,-0.0244,1996-08-27,0.8125,1.0625,0.895,1996-09-21,0.875,1.125,1.042,-0.14700000000000002,0.0128,0.201,20331.61,3.0,21000.0,-44.1,20287.510000000002
NVLS,108266.0,1996-08-28,1996-09-21,38.5,35.0,-0.0909,1996-08-28,0.5625,0.75,0.624,1996-09-21,0.0,0.25,0.168,0.45599999999999996,0.0178,0.303,20331.61,6.0,21000.0,273.6,20605.21
PAYX,108804.0,1996-08-19,1996-09-21,50.25,45.0,-0.1045,1996-08-19,0.5,0.625,0.541,1996-09-21,0.125,0.25,0.209,0.3320000000000001,0.012,0.139,20331.61,5.0,22500.0,166.0,20497.61
GIS,105174.0,1996-08-19,1996-09-21,55.88,55.0,-0.0157,1996-08-19,0.8125,1.0625,0.895,1996-09-21,0.0625,0.1875,0.146,0.749,0.0163,0.1929,20331.61,4.0,22000.0,299.6,20631.21
XRIT,112152.0,1996-08-19,1996-09-21,16.5,15.0,-0.0909,1996-08-19,0.125,0.375,0.208,1996-09-21,0.0,0.25,0.168,0.03999999999999998,0.0139,0.1625,20331.61,14.0,21000.0,56.0,20387.61
TEAM,107956.0,1996-08-19,1996-09-21,11.78,10.0,-0.1511,1996-08-19,0.3125,0.5625,0.395,1996-09-21,0.0,0.25,0.168,0.227,0.0395,0.5259,20331.61,20.0,20000.0,454.0,20785.61
HON,5459.0,1996-08-19,1996-09-21,57.13,55.0,-0.0373,1996-08-19,0.9375,1.1875,1.02,1996-09-21,0.0,0.25,0.168,0.852,0.0185,0.2214,20331.61,4.0,22000.0,340.8,20672.41
CLE,103074.0,1996-08-19,1996-09-21,32.5,30.0,-0.0769,1996-08-19,0.5625,0.8125,0.645,1996-09-21,0.125,0.375,0.293,0.35200000000000004,0.0215,0.2612,20331.61,7.0,21000.0,246.4,20578.010000000002
CA,103296.0,1996-08-19,1996-09-21,57.44,55.0,-0.0425,1996-08-19,1.375,1.625,1.458,1996-09-21,0.0,0.0625,0.042,1.416,0.0265,0.3302,20331.61,4.0,22000.0,566.4,20898.010000000002
COMR,5208.0,1996-08-19,1996-09-21,22.81,21.625,-0.052,1996-08-19,0.9375,1.1875,1.02,1996-09-21,0.0,0.1875,0.126,0.894,0.0472,0.6539,20331.61,9.0,19462.5,804.6,21136.21
BBOX,102211.0,1996-08-19,1996-09-21,25.63,25.0,-0.0246,1996-08-19,1.25,1.5,1.333,1996-09-21,0.0,0.25,0.168,1.165,0.0533,0.7621,20331.61,8.0,20000.0,932.0,21263.61
VAR,111628.0,1996-08-19,1996-09-21,45.5,40.0,-0.1209,1996-08-19,0.375,0.625,0.458,1996-09-21,0.0,0.25,0.168,0.29000000000000004,0.0115,0.1329,20331.61,5.0,20000.0,145.0,20476.61
LANC,106813.0,1996-08-19,1996-09-21,38.06,35.0,-0.0804,1996-08-19,0.3125,0.5625,0.395,1996-09-21,0.0,0.25,0.168,0.227,0.0113,0.1304,20331.61,6.0,21000.0,136.2,20467.81
XLNX,112161.0,1996-08-19,1996-09-21,36.81,35.0,-0.0492,1996-08-19,1.25,1.4375,1.312,1996-09-21,0.0,0.0625,0.042,1.27,0.0375,0.4942,20331.61,6.0,21000.0,762.0,21093.61
NKE,108161.0,1996-08-19,1996-09-21,105.75,100.0,-0.0544,1996-08-19,1.5625,1.8125,1.645,1996-09-21,0.0,0.25,0.168,1.477,0.0164,0.1942,20331.61,2.0,20000.0,295.4,20627.010000000002
JNY,106569.0,1996-08-19,1996-09-21,55.0,50.0,-0.0909,1996-08-19,0.5,0.75,0.583,1996-09-21,0.0,0.25,0.168,0.4149999999999999,0.0117,0.1353,20331.61,4.0,20000.0,166.0,20497.61
