ticker,secid,trade_date,expiry,current,strike,delta,c_date,c_bid,c_ask,c_mid,f_date,f_bid,f_ask,f_mid,gross_profit,s_yield,a_yield,target_notional,contracts,actual_notional,total_profit,ending_total
SEG,5828.0,1996-04-22,1996-05-18,56.75,55.0,-0.0308,1996-04-22,2.5,2.875,2.624,1996-05-18,0.0,0.125,0.084,2.54,0.0477,0.9064,51334.294,9.0,49500.0,2286.0,53620.294
CPWR,103307.0,1996-04-22,1996-05-18,29.0,25.0,-0.1379,1996-04-22,0.375,0.625,0.458,1996-05-18,0.3125,0.5625,0.48,-0.021999999999999964,0.0183,0.2854,51334.294,21.0,52500.0,-46.2,51288.094000000005
MAT,107280.0,1996-04-22,1996-05-18,25.94,25.0,-0.0362,1996-04-22,0.4375,0.625,0.499,1996-05-18,0.0,0.1875,0.126,0.373,0.02,0.3155,51334.294,21.0,52500.0,783.3,52117.594000000005
NSM,107951.0,1996-04-25,1996-05-18,16.38,15.0,-0.0842,1996-04-25,0.125,0.25,0.166,1996-05-18,0.0,0.0625,0.042,0.124,0.0111,0.1886,51334.294,34.0,51000.0,421.6,51755.894
ARW,101675.0,1996-04-22,1996-06-22,46.19,45.0,-0.0258,1996-04-22,1.6875,1.9375,1.77,1996-06-22,0.0,0.125,0.084,1.686,0.0393,0.2554,51334.294,11.0,49500.0,1854.6,53188.894
HON,5459.0,1996-04-22,1996-05-18,51.75,50.0,-0.0338,1996-04-22,0.5625,0.8125,0.645,1996-05-18,0.6875,0.9375,0.855,-0.20999999999999996,0.0129,0.1942,51334.294,10.0,50000.0,-210.0,51124.294
MO,108965.0,1996-04-25,1996-05-18,87.31,85.0,-0.0265,1996-04-25,0.9375,1.125,0.999,1996-05-18,0.0,0.0625,0.042,0.957,0.0118,0.2016,51334.294,6.0,51000.0,574.2,51908.494
ABS,101199.0,1996-04-22,1996-06-22,37.13,35.0,-0.0574,1996-04-22,0.5,0.625,0.541,1996-06-22,0.0,0.125,0.084,0.457,0.0155,0.095,51334.294,15.0,52500.0,685.5,52019.794
CAT,102796.0,1996-04-22,1996-05-18,65.44,60.0,-0.0831,1996-04-22,0.1875,0.4375,0.27,1996-05-18,0.0,0.125,0.084,0.186,0.0045,0.0641,51334.294,9.0,54000.0,167.4,51501.694
MU,107544.0,1996-04-23,1996-05-18,33.25,32.5,-0.0226,1996-04-23,1.25,1.3125,1.271,1996-05-18,0.0,0.0625,0.042,1.2289999999999999,0.0391,0.7373,51334.294,16.0,52000.0,1966.4,53300.694
TMB,5908.0,1996-04-22,1996-05-18,46.13,45.0,-0.0245,1996-04-22,0.5625,0.8125,0.645,1996-05-18,0.1875,0.375,0.313,0.332,0.0143,0.2173,51334.294,11.0,49500.0,365.2,51699.494
GD,105168.0,1996-04-22,1996-05-18,61.31,60.0,-0.0214,1996-04-22,0.625,0.875,0.708,1996-05-18,0.1875,0.4375,0.355,0.353,0.0118,0.1764,51334.294,9.0,54000.0,317.7,51651.994
CLX,103106.0,1996-04-22,1996-05-18,80.0,80.0,0.0,1996-04-22,2.0625,2.4375,2.186,1996-05-18,0.4375,0.5625,0.521,1.665,0.0273,0.452,51334.294,6.0,48000.0,999.0,52333.294
IDTI,106190.0,1996-04-22,1996-05-18,12.31,10.0,-0.1877,1996-04-22,0.125,0.1875,0.146,1996-05-18,0.0,0.125,0.084,0.061999999999999986,0.0146,0.2222,51334.294,51.0,51000.0,316.2,51650.494
BROD,7403.0,1996-04-26,1996-05-18,42.5,40.0,-0.0588,1996-04-26,0.625,0.75,0.666,1996-05-18,0.125,0.375,0.293,0.37300000000000005,0.0167,0.3113,51334.294,13.0,52000.0,484.9,51819.194
ELY,102632.0,1996-04-22,1996-05-18,26.5,25.0,-0.0566,1996-04-22,0.4375,0.5,0.458,1996-05-18,0.0,0.0625,0.042,0.41600000000000004,0.0183,0.2854,51334.294,21.0,52500.0,873.6,52207.894
NVLS,108266.0,1996-04-30,1996-05-18,54.5,50.0,-0.0826,1996-04-30,0.875,1.0,0.916,1996-05-18,0.0,0.25,0.168,0.748,0.0183,0.4372,51334.294,10.0,50000.0,748.0,52082.294
