ticker,secid,trade_date,expiry,current,strike,delta,c_date,c_bid,c_ask,c_mid,f_date,f_bid,f_ask,f_mid,gross_profit,s_yield,a_yield,target_notional,contracts,actual_notional,total_profit,ending_total
NSM,107951.0,1996-08-21,1996-09-21,15.38,15.0,-0.0247,1996-08-21,0.375,0.5,0.416,1996-09-21,0.0,0.0625,0.042,0.374,0.0277,0.3734,101393.07400000002,68.0,102000.0,2543.2,103936.27400000002
ARW,101675.0,1996-08-19,1996-09-21,43.88,40.0,-0.0884,1996-08-19,0.25,0.4375,0.312,1996-09-21,0.5,0.6875,0.626,-0.314,0.0078,0.0885,101393.07400000002,25.0,100000.0,-785.0,100608.07400000002
COMR,5208.0,1996-08-19,1996-09-21,22.81,22.5,-0.0136,1996-08-19,1.25,1.5,1.333,1996-09-21,0.0,0.25,0.168,1.165,0.0592,0.8728,101393.07400000002,45.0,101250.0,5242.5,106635.57400000002
MU,107544.0,1996-08-26,1996-09-21,22.69,20.0,-0.1186,1996-08-26,0.5625,0.625,0.583,1996-09-21,0.0,0.0625,0.042,0.5409999999999999,0.0291,0.4876,101393.07400000002,51.0,102000.0,2759.1,104152.17400000003
KWP,5528.0,1996-08-19,1996-09-21,35.94,35.0,-0.0262,1996-08-19,0.625,0.6875,0.646,1996-09-21,0.625,0.875,0.793,-0.14700000000000002,0.0185,0.2214,101393.07400000002,29.0,101500.0,-426.3,100966.77400000002
LRCX,106808.0,1996-08-20,1996-09-21,23.88,22.5,-0.0578,1996-08-20,0.875,0.9375,0.896,1996-09-21,0.0625,0.3125,0.23,0.666,0.0398,0.5513,101393.07400000002,45.0,101250.0,2997.0,104390.07400000002
