end_date,market_value
1996-01-01,1000000
1996-01-21,1004600.4
1996-02-18,1021933.78
1996-03-17,1020940.4800000001
1996-04-21,1034198.1100000001
1996-05-24,1054335.2300000002
1996-06-23,1026544.8300000002
1996-07-21,1001782.0600000002
1996-08-18,1013930.7400000002
1996-09-22,1031097.1300000002
1996-10-20,1031035.7400000002
1996-11-17,1049796.9900000002
1996-12-22,1069570.4100000004
1997-02-15,1084080.2600000002
1997-03-23,1081310.4800000002
1997-04-20,1084573.4400000002
1997-05-18,1098720.7000000002
1997-06-22,1105658.03
1997-07-20,1114765.54
1997-08-17,1112786.2000000002
1997-09-21,1120502.85
1997-10-19,1134200.9000000001
1997-11-23,1145174.2400000002
1997-12-21,1133032.2600000002
1998-01-18,1151718.6600000004
1998-02-22,1162011.7900000003
1998-03-22,1141718.32
1998-04-19,1159919.8900000001
1998-05-17,1166723.59
1998-06-21,1136074.8100000003
1998-07-19,1147113.1700000004
1998-08-23,1097929.1900000004
1998-09-20,1087454.9200000004
1998-10-18,1106622.5200000005
1998-11-22,1134238.7000000004
1998-12-20,1121984.0400000005
1999-01-17,1137595.7200000004
1999-02-21,1137322.8500000003
1999-03-21,1129701.7100000002
