ticker,secid,trade_date,expiry,current,strike,delta,c_date,c_bid,c_ask,c_mid,f_date,f_bid,f_ask,f_mid,gross_profit,s_yield,a_yield,target_notional,contracts,actual_notional,total_profit,ending_total
UTI,111339.0,1999-03-02,1999-03-20,5.5,5.0,-0.0909,1999-03-02,0.25,0.4375,0.312,1999-03-20,0.0,0.125,0.084,0.22799999999999998,0.0624,2.3555,53297.90199999998,107.0,53500.0,2439.6,55737.50199999998
OLN,108425.0,1999-02-22,1999-03-20,13.66,12.5,-0.0849,1999-02-22,0.0625,0.3125,0.145,1999-03-20,1.6875,1.9375,1.855,-1.71,0.0116,0.1731,53297.90199999998,43.0,53750.0,-7353.0,45944.90199999998
VRC,5995.0,1999-02-22,1999-03-20,7.91,7.5,-0.0518,1999-02-22,0.375,0.5625,0.437,1999-03-20,0.0,0.125,0.084,0.353,0.0583,1.1915,53297.90199999998,71.0,53250.0,2506.3,55804.20199999998
LCE,5561.0,1999-02-22,1999-03-20,32.19,30.0,-0.068,1999-02-22,0.3125,0.5625,0.395,1999-03-20,2.125,2.5,2.376,-1.9809999999999999,0.0132,0.1991,53297.90199999998,18.0,54000.0,-3565.8,49732.10199999998
SEHI,110341.0,1999-02-22,1999-03-20,5.94,5.0,-0.1582,1999-02-22,0.0625,0.3125,0.145,1999-03-20,0.5,0.75,0.668,-0.523,0.029,0.4856,53297.90199999998,107.0,53500.0,-5596.1,47701.80199999998
MAPX,107206.0,1999-02-23,1999-03-20,11.06,10.0,-0.0958,1999-02-23,0.25,0.5,0.333,1999-03-20,2.75,3.125,3.001,-2.6679999999999997,0.0333,0.6027,53297.90199999998,53.0,53000.0,-14140.4,39157.50199999998
VRLN,5996.0,1999-02-22,1999-03-20,21.75,20.0,-0.0805,1999-02-22,1.0,1.25,1.083,1999-03-20,0.0,0.25,0.168,0.9149999999999999,0.0541,1.0741,53297.90199999998,27.0,54000.0,2470.5,55768.40199999998
