ticker,secid,trade_date,expiry,current,strike,delta,c_date,c_bid,c_ask,c_mid,f_date,f_bid,f_ask,f_mid,gross_profit,s_yield,a_yield,target_notional,contracts,actual_notional,total_profit,ending_total
SUPX,110648.0,1998-06-22,1998-07-18,9.03,7.5,-0.1694,1998-06-22,0.0625,0.3125,0.145,1998-07-18,0.0,0.25,0.168,-0.02300000000000002,0.0193,0.303,54424.83699999999,73.0,54750.0,-167.9,54256.93699999999
STBI,8490.0,1998-06-22,1998-07-18,10.88,10.0,-0.0809,1998-06-22,0.4375,0.625,0.499,1998-07-18,0.375,0.5,0.459,0.03999999999999998,0.0499,0.9625,54424.83699999999,54.0,54000.0,216.0,54640.83699999999
ARW,101675.0,1998-06-22,1998-07-18,21.5,20.0,-0.0698,1998-06-22,0.25,0.375,0.291,1998-07-18,0.0,0.1875,0.126,0.16499999999999998,0.0145,0.2206,54424.83699999999,27.0,54000.0,445.5,54870.33699999999
LANC,106813.0,1998-06-22,1998-07-18,38.06,35.0,-0.0804,1998-06-22,0.125,0.3125,0.187,1998-07-18,0.0,0.1875,0.126,0.061,0.0053,0.0759,54424.83699999999,16.0,56000.0,97.6,54522.43699999999
CDCO,103021.0,1998-06-24,1998-07-18,5.19,5.0,-0.0366,1998-06-24,0.3125,0.5625,0.395,1998-07-18,0.1875,0.375,0.313,0.08200000000000002,0.079,2.1284,54424.83699999999,109.0,54500.0,893.8,55318.636999999995
WLP,111951.0,1998-06-22,1998-07-18,66.56,60.0,-0.0986,1998-06-22,0.5,0.625,0.541,1998-07-18,0.0,0.1875,0.126,0.41500000000000004,0.009,0.1321,54424.83699999999,9.0,54000.0,373.5,54798.33699999999
ALRN,5028.0,1998-06-22,1998-07-18,10.97,10.0,-0.0884,1998-06-22,0.125,0.3125,0.187,1998-07-18,0.0,0.125,0.084,0.103,0.0187,0.2924,54424.83699999999,54.0,54000.0,556.2,54981.03699999999
UTR,5979.0,1998-06-30,1998-07-18,11.5,10.0,-0.1304,1998-06-30,0.125,0.375,0.208,1998-07-18,0.0,0.25,0.168,0.03999999999999998,0.0208,0.5094,54424.83699999999,54.0,54000.0,216.0,54640.83699999999
IOM,106390.0,1998-06-23,1998-07-18,5.59,5.0,-0.1055,1998-06-23,0.25,0.3125,0.271,1998-07-18,0.0,0.0625,0.042,0.229,0.0542,1.1384,54424.83699999999,109.0,54500.0,2496.1,56920.93699999999
GD,105168.0,1998-06-22,1998-07-18,43.56,40.0,-0.0817,1998-06-22,0.125,0.375,0.208,1998-07-18,0.0,0.0625,0.042,0.16599999999999998,0.0052,0.0745,54424.83699999999,14.0,56000.0,232.4,54657.236999999994
SIE,110146.0,1998-06-22,1998-07-18,23.97,22.5,-0.0613,1998-06-22,0.125,0.3125,0.187,1998-07-18,0.0,0.1875,0.126,0.061,0.0083,0.1213,54424.83699999999,24.0,54000.0,146.4,54571.236999999994
CPQ,103282.0,1998-06-22,1998-07-18,27.88,25.0,-0.1033,1998-06-22,0.3125,0.4375,0.354,1998-07-18,0.0,0.0625,0.042,0.312,0.0142,0.2156,54424.83699999999,22.0,55000.0,686.4,55111.236999999994
SMOD,8706.0,1998-06-30,1998-07-18,14.59,12.5,-0.1432,1998-06-30,0.125,0.3125,0.187,1998-07-18,0.0,0.125,0.084,0.103,0.015,0.3469,54424.83699999999,44.0,55000.0,453.2,54878.03699999999
SMRT,110502.0,1998-07-01,1998-07-18,13.34,12.5,-0.063,1998-07-01,0.1875,0.375,0.249,1998-07-18,0.375,0.5,0.459,-0.21000000000000002,0.0199,0.5178,54424.83699999999,44.0,55000.0,-924.0,53500.83699999999
UST,111298.0,1998-06-25,1998-07-18,26.69,25.0,-0.0633,1998-06-25,0.0625,0.25,0.124,1998-07-18,0.0,0.25,0.168,-0.04400000000000001,0.005,0.0812,54424.83699999999,22.0,55000.0,-96.8,54328.03699999999
CPU,7410.0,1998-06-30,1998-07-18,18.44,17.5,-0.051,1998-06-30,0.5625,0.6875,0.604,1998-07-18,0.0,0.125,0.084,0.52,0.0345,0.9707,54424.83699999999,31.0,54250.0,1612.0,56036.83699999999
