ticker,secid,trade_date,expiry,current,strike,delta,c_date,c_bid,c_ask,c_mid,f_date,f_bid,f_ask,f_mid,gross_profit,s_yield,a_yield,target_notional,contracts,actual_notional,total_profit,ending_total
RYL,109754.0,2005-01-24,2005-02-19,60.63,55.0,-0.0929,2005-01-24,0.65,0.7,0.667,2005-02-19,0.0,0.05,0.034,0.633,0.0121,0.1812,51541.46,9.0,49500.0,569.7,52111.159999999996
KOMG,115938.0,2005-01-24,2005-02-19,18.01,15.0,-0.1671,2005-01-24,0.15,0.35,0.216,2005-02-19,0.0,0.2,0.134,0.08199999999999999,0.0144,0.2189,51541.46,34.0,51000.0,278.8,51820.26
RCII,109575.0,2005-01-24,2005-02-19,25.8,22.5,-0.1279,2005-01-24,0.05,0.15,0.083,2005-02-19,0.0,0.15,0.101,-0.018000000000000002,0.0037,0.0525,51541.46,23.0,51750.0,-41.4,51500.06
SIE,110146.0,2005-01-24,2005-02-19,53.06,50.0,-0.0577,2005-01-24,0.9,1.05,0.95,2005-02-19,0.0,0.25,0.168,0.7819999999999999,0.019,0.2977,51541.46,10.0,50000.0,782.0,52323.46
BZH,102064.0,2005-01-24,2005-02-19,141.86,130.0,-0.0836,2005-01-24,2.4,2.65,2.482,2005-02-19,0.0,0.05,0.034,2.4480000000000004,0.0191,0.2995,51541.46,4.0,52000.0,979.2,52520.659999999996
ODSY,113123.0,2005-01-24,2005-02-19,11.18,10.0,-0.1055,2005-01-24,0.15,0.3,0.2,2005-02-19,0.0,0.25,0.168,0.032,0.02,0.3155,51541.46,52.0,52000.0,166.4,51707.86
JOSB,106573.0,2005-01-24,2005-02-19,27.38,25.0,-0.0869,2005-01-24,0.5,0.65,0.55,2005-02-19,0.0,0.25,0.168,0.382,0.022,0.3516,51541.46,21.0,52500.0,802.2,52343.659999999996
PPD,109146.0,2005-01-24,2005-02-19,36.64,32.5,-0.113,2005-01-24,0.25,0.55,0.349,2005-02-19,0.0,0.05,0.034,0.31499999999999995,0.0107,0.1588,51541.46,16.0,52000.0,504.0,52045.46
MDC,107084.0,2005-01-24,2005-02-19,69.95,61.5,-0.1208,2005-01-24,0.35,0.5,0.399,2005-02-19,0.0,0.25,0.168,0.231,0.0065,0.0939,51541.46,8.0,49200.0,184.8,51726.26
CACH,102597.0,2005-01-24,2005-02-19,14.32,12.5,-0.1271,2005-01-24,0.15,0.4,0.233,2005-02-19,0.0,0.25,0.168,0.065,0.0186,0.2907,51541.46,41.0,51250.0,266.5,51807.96
OSK,108553.0,2005-01-24,2005-02-19,61.71,60.0,-0.0277,2005-01-24,1.25,1.45,1.316,2005-02-19,0.0,0.05,0.034,1.282,0.0219,0.3498,51541.46,9.0,54000.0,1153.8,52695.26
WGO,112069.0,2005-01-24,2005-02-19,34.3,30.0,-0.1254,2005-01-24,0.15,0.35,0.216,2005-02-19,0.0,0.05,0.034,0.182,0.0072,0.1044,51541.46,17.0,51000.0,309.4,51850.86
CALM,102609.0,2005-02-02,2005-02-19,11.93,10.0,-0.1618,2005-02-02,0.15,0.25,0.183,2005-02-19,0.1,0.15,0.134,0.04899999999999999,0.0183,0.4682,51541.46,52.0,52000.0,254.8,51796.26
SAFM,109900.0,2005-01-27,2005-02-19,42.32,40.0,-0.0548,2005-01-27,0.5,0.6,0.533,2005-02-19,0.0,0.25,0.168,0.365,0.0133,0.2297,51541.46,13.0,52000.0,474.5,52015.96
