ticker,secid,trade_date,expiry,current,strike,delta,c_date,c_bid,c_ask,c_mid,f_date,f_bid,f_ask,f_mid,gross_profit,s_yield,a_yield,target_notional,contracts,actual_notional,total_profit,ending_total
RMDY,109561.0,1998-11-23,1998-12-19,11.13,10.0,-0.1015,1998-11-23,0.4375,0.625,0.499,1998-12-19,0.0,0.1875,0.126,0.373,0.0499,0.9625,44150.84,44.0,44000.0,1641.2,45792.03999999999
RGC,5775.0,1998-11-23,1998-12-19,14.06,12.5,-0.111,1998-11-23,0.0625,0.3125,0.145,1998-12-19,0.0,0.25,0.168,-0.02300000000000002,0.0116,0.1731,44150.84,35.0,43750.0,-80.5,44070.34
FINL,104687.0,1998-11-25,1998-12-19,8.5,7.5,-0.1176,1998-11-25,0.25,0.5,0.333,1998-12-19,0.0,0.25,0.168,0.165,0.0444,0.9187,44150.84,59.0,44250.0,973.5,45124.34
COHU,103147.0,1998-11-23,1998-12-19,20.38,17.5,-0.1413,1998-11-23,0.125,0.375,0.208,1998-12-19,0.0,0.25,0.168,0.03999999999999998,0.0119,0.178,44150.84,25.0,43750.0,100.0,44250.84
SLOT,101542.0,1998-11-23,1998-12-19,50.81,45.0,-0.1143,1998-11-23,1.25,1.1875,1.229,1998-12-19,0.0,0.1875,0.126,1.1030000000000002,0.0273,0.452,44150.84,10.0,45000.0,1103.0,45253.84
WIRE,104313.0,1998-11-23,1998-12-19,13.94,12.5,-0.1033,1998-11-23,0.625,0.875,0.708,1998-12-19,3.875,4.25,4.126,-3.418,0.0566,1.1432,44150.84,35.0,43750.0,-11963.0,32187.839999999997
TXI,110971.0,1998-11-23,1998-12-19,30.34,25.0,-0.176,1998-11-23,0.0625,0.3125,0.145,1998-12-19,0.0,0.25,0.168,-0.02300000000000002,0.0058,0.0834,44150.84,18.0,45000.0,-41.4,44109.439999999995
INVX,106133.0,1998-11-23,1998-12-19,15.97,15.0,-0.0607,1998-11-23,0.6875,0.8125,0.729,1998-12-19,0.0,0.1875,0.126,0.603,0.0486,0.9292,44150.84,29.0,43500.0,1748.7,45899.53999999999
DAL,103757.0,1998-11-23,1998-12-19,52.94,47.5,-0.1028,1998-11-23,0.375,0.625,0.458,1998-12-19,0.0,0.0625,0.042,0.41600000000000004,0.0096,0.1414,44150.84,9.0,42750.0,374.4,44525.24
ADEX,100874.0,1998-11-23,1998-12-19,14.38,12.5,-0.1307,1998-11-23,0.25,0.4375,0.312,1998-12-19,0.125,0.75,0.544,-0.23200000000000004,0.025,0.4076,44150.84,35.0,43750.0,-812.0,43338.84
VRC,5995.0,1998-12-01,1998-12-19,6.66,5.0,-0.2492,1998-12-01,0.125,0.3125,0.187,1998-12-19,0.0,0.25,0.168,0.01899999999999999,0.0374,1.0841,44150.84,88.0,44000.0,167.2,44318.03999999999
AOS,110244.0,1998-11-23,1998-12-19,22.44,20.0,-0.1087,1998-11-23,0.0625,0.3125,0.145,1998-12-19,0.0,0.25,0.168,-0.02300000000000002,0.0072,0.1044,44150.84,22.0,44000.0,-50.6,44100.24
FHCC,104807.0,1998-11-23,1998-12-19,16.5,15.0,-0.0909,1998-11-23,0.1875,0.375,0.249,1998-12-19,0.0,0.25,0.168,0.08099999999999999,0.0166,0.256,44150.84,29.0,43500.0,234.9,44385.74
STBI,8490.0,1998-11-23,1998-12-19,5.38,5.0,-0.0706,1998-11-23,0.3125,0.5,0.374,1998-12-19,0.0,0.25,0.168,0.206,0.0748,1.715,44150.84,88.0,44000.0,1812.8,45963.64
