ticker,secid,trade_date,expiry,current,strike,delta,c_date,c_bid,c_ask,c_mid,f_date,f_bid,f_ask,f_mid,gross_profit,s_yield,a_yield,target_notional,contracts,actual_notional,total_profit,ending_total
CMTL,103311.0,2006-07-24,2006-08-19,27.19,25.0,-0.0805,2006-07-24,0.35,0.45,0.383,2006-08-19,0.0,0.05,0.034,0.349,0.0153,0.234,53575.19,21.0,52500.0,732.9,54308.090000000004
RYL,109754.0,2006-07-24,2006-08-19,37.5,35.0,-0.0667,2006-07-24,0.6,0.65,0.617,2006-08-19,0.0,0.05,0.034,0.583,0.0176,0.2732,53575.19,15.0,52500.0,874.5,54449.69
AET,112507.0,2006-07-24,2006-08-19,39.75,35.0,-0.1195,2006-07-24,0.35,0.4,0.366,2006-08-19,0.0,0.05,0.034,0.33199999999999996,0.0105,0.1556,53575.19,15.0,52500.0,498.0,54073.19
CMI,103574.0,2006-07-24,2006-08-19,112.09,100.0,-0.1079,2006-07-24,0.9,1.0,0.933,2006-08-19,0.0,0.05,0.034,0.899,0.0093,0.1368,53575.19,5.0,50000.0,449.5,54024.69
BGG,102339.0,2006-07-24,2006-08-19,24.8,22.5,-0.0927,2006-07-24,0.1,0.4,0.199,2006-08-19,0.0,0.5,0.335,-0.136,0.0088,0.129,53575.19,24.0,54000.0,-326.4,53248.79
CI,102525.0,2006-07-25,2006-08-19,104.53,95.0,-0.0912,2006-07-25,1.3,1.45,1.35,2006-08-19,0.0,0.05,0.034,1.316,0.0142,0.2251,53575.19,6.0,57000.0,789.6,54364.79
MFLX,121605.0,2006-07-24,2006-08-19,23.1,20.0,-0.1342,2006-07-24,0.7,0.85,0.75,2006-08-19,1.4,1.6,1.534,-0.784,0.0375,0.6648,53575.19,27.0,54000.0,-2116.8,51458.39
COLM,103190.0,2006-07-24,2006-08-19,45.05,40.0,-0.1121,2006-07-24,0.2,0.35,0.249,2006-08-19,0.0,0.1,0.067,0.182,0.0062,0.0893,53575.19,13.0,52000.0,236.6,53811.79
KSWS,106601.0,2006-07-24,2006-08-19,23.67,22.5,-0.0494,2006-07-24,0.55,0.65,0.583,2006-08-19,0.0,0.1,0.067,0.516,0.0259,0.4248,53575.19,24.0,54000.0,1238.4,54813.590000000004
TOL,111071.0,2006-07-25,2006-08-19,24.14,22.5,-0.0679,2006-07-25,0.4,0.45,0.417,2006-08-19,0.0,0.05,0.034,0.383,0.0185,0.3021,53575.19,24.0,54000.0,919.2,54494.39
BZH,102064.0,2006-07-24,2006-08-19,38.94,35.0,-0.1012,2006-07-24,0.6,0.7,0.633,2006-08-19,0.0,0.05,0.034,0.599,0.0181,0.2819,53575.19,15.0,52500.0,898.5,54473.69
OVTI,108441.0,2006-07-25,2006-08-19,18.31,15.0,-0.1808,2006-07-25,0.15,0.25,0.183,2006-08-19,0.0,0.05,0.034,0.149,0.0122,0.1908,53575.19,36.0,54000.0,536.4,54111.590000000004
BSX,102296.0,2006-07-24,2006-08-19,15.88,15.0,-0.0554,2006-07-24,0.3,0.35,0.317,2006-08-19,0.0,0.05,0.034,0.28300000000000003,0.0211,0.3352,53575.19,36.0,54000.0,1018.8,54593.990000000005
JOSB,106573.0,2006-07-24,2006-08-19,26.06,22.5,-0.1366,2006-07-24,0.2,0.3,0.233,2006-08-19,0.0,0.05,0.034,0.199,0.0104,0.154,53575.19,24.0,54000.0,477.6,54052.79
MNST,110771.0,2006-08-02,2006-08-19,38.96,35.0,-0.1016,2006-08-02,0.2,0.3,0.233,2006-08-19,0.0,0.05,0.034,0.199,0.0067,0.1519,53575.19,15.0,52500.0,298.5,53873.69
MDC,107084.0,2006-07-24,2006-08-19,44.11,40.0,-0.0932,2006-07-24,0.35,0.45,0.383,2006-08-19,0.0,0.05,0.034,0.349,0.0096,0.1414,53575.19,13.0,52000.0,453.7,54028.89
IIIN,106168.0,2006-07-24,2006-08-19,17.84,15.0,-0.1592,2006-07-24,0.1,0.3,0.166,2006-08-19,0.0,0.15,0.101,0.065,0.0111,0.1651,53575.19,36.0,54000.0,234.0,53809.19
PLAY,122384.0,2006-07-24,2006-08-19,9.09,7.5,-0.1749,2006-07-24,0.15,0.2,0.167,2006-08-19,0.0,0.05,0.034,0.133,0.0223,0.3571,53575.19,71.0,53250.0,944.3,54519.490000000005
