ticker,secid,trade_date,expiry,current,strike,delta,c_date,c_bid,c_ask,c_mid,f_date,f_bid,f_ask,f_mid,gross_profit,s_yield,a_yield,target_notional,contracts,actual_notional,total_profit,ending_total
SEG,5828.0,1997-02-07,1997-02-22,49.13,45.0,-0.0841,1997-02-07,0.25,0.3125,0.271,1997-02-22,0.0,0.0625,0.042,0.229,0.006,0.1544,53254.18300000001,12.0,54000.0,274.8,53528.983000000015
LRCX,106808.0,1997-02-07,1997-02-22,37.88,35.0,-0.076,1997-02-07,0.5,0.75,0.583,1997-02-22,0.0,0.0625,0.042,0.5409999999999999,0.0167,0.4881,53254.18300000001,15.0,52500.0,811.5,54065.68300000001
LQI,5538.0,1997-02-07,1997-02-22,19.0,17.5,-0.0789,1997-02-07,0.125,0.25,0.166,1997-02-22,0.0,0.0625,0.042,0.124,0.0095,0.2547,53254.18300000001,30.0,52500.0,372.0,53626.18300000001
SIE,110146.0,1997-02-07,1997-02-22,26.75,25.0,-0.0654,1997-02-07,0.125,0.25,0.166,1997-02-22,0.0,0.125,0.084,0.082,0.0066,0.171,53254.18300000001,21.0,52500.0,172.2,53426.38300000001
COHU,103147.0,1997-02-07,1997-02-22,24.0,22.5,-0.0625,1997-02-07,0.1875,0.375,0.249,1997-02-22,0.0,0.25,0.168,0.08099999999999999,0.0111,0.3033,53254.18300000001,24.0,54000.0,194.4,53448.58300000001
