ticker,secid,trade_date,expiry,current,strike,delta,c_date,c_bid,c_ask,c_mid,f_date,f_bid,f_ask,f_mid,gross_profit,s_yield,a_yield,target_notional,contracts,actual_notional,total_profit,ending_total
CDCO,103021.0,1997-03-24,1997-04-19,14.25,12.5,-0.1228,1997-03-24,0.25,0.375,0.291,1997-04-19,0.0,0.125,0.084,0.20699999999999996,0.0233,0.3756,53603.462500000016,43.0,53750.0,890.1,54493.562500000015
CSDS,102774.0,1997-03-24,1997-04-19,5.0,5.0,0.0,1997-03-24,0.375,0.5625,0.437,1997-04-19,0.75,1.0,0.917,-0.48000000000000004,0.0874,2.1905,53603.462500000016,107.0,53500.0,-5136.0,48467.462500000016
SEG,5828.0,1997-03-24,1997-04-19,42.81,40.0,-0.0656,1997-03-24,1.625,1.875,1.708,1997-04-19,0.0,0.125,0.084,1.6239999999999999,0.0427,0.7842,53603.462500000016,13.0,52000.0,2111.2,55714.66250000001
KWP,5528.0,1997-03-24,1997-04-19,37.31,35.0,-0.0619,1997-03-24,0.0625,0.3125,0.145,1997-04-19,0.0,0.25,0.168,-0.02300000000000002,0.0041,0.0583,53603.462500000016,15.0,52500.0,-34.5,53568.962500000016
LQI,5538.0,1997-03-24,1997-04-19,21.38,20.0,-0.0645,1997-03-24,0.1875,0.3125,0.229,1997-04-19,0.0,0.0625,0.042,0.187,0.0115,0.1715,53603.462500000016,27.0,54000.0,504.9,54108.36250000002
SIE,110146.0,1997-03-24,1997-04-19,26.25,25.0,-0.0476,1997-03-24,0.375,0.5,0.416,1997-04-19,0.0,0.125,0.084,0.33199999999999996,0.0166,0.256,53603.462500000016,21.0,52500.0,697.2,54300.66250000001
BROD,7403.0,1997-03-24,1997-04-19,20.88,20.0,-0.0421,1997-03-24,0.8125,1.0,0.874,1997-04-19,0.0,0.125,0.084,0.79,0.0437,0.808,53603.462500000016,27.0,54000.0,2133.0,55736.462500000016
COHU,103147.0,1997-03-24,1997-04-19,23.69,22.5,-0.0502,1997-03-24,0.3125,0.75,0.457,1997-04-19,0.0,0.25,0.168,0.28900000000000003,0.0203,0.3208,53603.462500000016,24.0,54000.0,693.6,54297.062500000015
LRCX,106808.0,1997-03-24,1997-04-19,31.06,30.0,-0.0341,1997-03-24,1.375,1.625,1.458,1997-04-19,3.25,3.625,3.501,-2.043,0.0486,0.9292,53603.462500000016,18.0,54000.0,-3677.4,49926.062500000015
