ticker,secid,trade_date,expiry,current,strike,delta,c_date,c_bid,c_ask,c_mid,f_date,f_bid,f_ask,f_mid,gross_profit,s_yield,a_yield,target_notional,contracts,actual_notional,total_profit,ending_total
ENCD,104304.0,1998-05-18,1998-06-20,11.47,10.0,-0.1282,1998-05-18,0.25,0.5,0.333,1998-06-20,0.5625,0.8125,0.73,-0.39699999999999996,0.0333,0.4295,55010.622,55.0,55000.0,-2183.5,52827.122
SONC,110295.0,1998-05-21,1998-06-20,20.25,17.5,-0.1358,1998-05-21,0.125,0.25,0.166,1998-06-20,0.0,0.125,0.084,0.082,0.0095,0.1201,55010.622,31.0,54250.0,254.2,55264.822
LANC,106813.0,1998-05-18,1998-06-20,40.38,36.625,-0.093,1998-05-18,0.25,0.4375,0.312,1998-06-20,0.0625,0.25,0.188,0.124,0.0085,0.0967,55010.622,15.0,54937.5,186.0,55196.622
WLP,111951.0,1998-05-18,1998-06-20,70.91,65.0,-0.0833,1998-05-18,1.0625,1.1875,1.104,1998-06-20,0.0,0.125,0.084,1.02,0.017,0.2019,55010.622,8.0,52000.0,816.0,55826.622
BBX,102001.0,1998-05-18,1998-06-20,13.0,12.0,-0.0769,1998-05-18,0.1875,0.3125,0.229,1998-06-20,0.0,0.1875,0.126,0.10300000000000001,0.0191,0.2292,55010.622,46.0,55200.0,473.8,55484.422000000006
KWP,5528.0,1998-05-18,1998-06-20,26.34,25.0,-0.0509,1998-05-18,0.375,0.625,0.458,1998-06-20,0.0,0.25,0.168,0.29000000000000004,0.0183,0.2188,55010.622,22.0,55000.0,638.0,55648.622
ELY,102632.0,1998-05-26,1998-06-20,21.13,20.0,-0.0535,1998-05-26,0.4375,0.5625,0.479,1998-06-20,0.875,1.125,1.042,-0.5630000000000001,0.0239,0.4051,55010.622,28.0,56000.0,-1576.4,53434.222
CPQ,103282.0,1998-05-18,1998-06-20,29.63,27.5,-0.0719,1998-05-18,0.75,0.8125,0.771,1998-06-20,0.0,0.0625,0.042,0.729,0.028,0.3516,55010.622,20.0,55000.0,1458.0,56468.622
SMOD,8706.0,1998-05-18,1998-06-20,22.66,20.0,-0.1174,1998-05-18,0.4375,0.625,0.499,1998-06-20,6.875,7.25,7.126,-6.627000000000001,0.0249,0.3078,55010.622,28.0,56000.0,-18555.6,36455.022000000004
GFF,105418.0,1998-05-18,1998-06-20,13.66,12.5,-0.0849,1998-05-18,0.125,0.25,0.166,1998-06-20,0.0,0.125,0.084,0.082,0.0133,0.155,55010.622,44.0,55000.0,360.8,55371.422000000006
CPU,7410.0,1998-05-20,1998-06-20,17.25,15.0,-0.1304,1998-05-20,0.125,0.25,0.166,1998-06-20,0.0,0.0625,0.042,0.124,0.0111,0.1368,55010.622,37.0,55500.0,458.8,55469.422000000006
SMTC,110050.0,1998-05-26,1998-06-20,18.25,17.5,-0.0411,1998-05-26,1.3125,1.5,1.374,1998-06-20,1.0625,1.1875,1.146,0.2280000000000002,0.0785,1.969,55010.622,31.0,54250.0,706.8,55717.422000000006
