ticker,secid,trade_date,expiry,current,strike,delta,c_date,c_bid,c_ask,c_mid,f_date,f_bid,f_ask,f_mid,gross_profit,s_yield,a_yield,target_notional,contracts,actual_notional,total_profit,ending_total
USG,111318.0,2005-05-23,2005-06-18,43.91,40.0,-0.089,2005-05-23,1.6,1.7,1.633,2005-06-18,0.0,0.05,0.034,1.599,0.0408,0.7397,72352.90449999999,18.0,72000.0,2878.2,75231.10449999999
RYL,109754.0,2005-05-23,2005-06-18,65.12,60.0,-0.0786,2005-05-23,0.55,0.65,0.583,2005-06-18,0.0,0.05,0.034,0.5489999999999999,0.0097,0.143,72352.90449999999,12.0,72000.0,658.8,73011.70449999999
AZO,101806.0,2005-05-23,2005-06-18,88.92,80.0,-0.1003,2005-05-23,0.9,0.95,0.917,2005-06-18,0.0,0.05,0.034,0.883,0.0115,0.1715,72352.90449999999,9.0,72000.0,794.7,73147.60449999999
RCII,109575.0,2005-05-23,2005-06-18,24.16,22.5,-0.0687,2005-05-23,0.05,0.15,0.083,2005-06-18,0.0,0.05,0.034,0.049,0.0037,0.0525,72352.90449999999,32.0,72000.0,156.8,72509.70449999999
HELE,112293.0,2005-05-23,2005-06-18,23.16,20.0,-0.1364,2005-05-23,0.05,0.2,0.1,2005-06-18,0.0,0.1,0.067,0.033,0.005,0.0715,72352.90449999999,36.0,72000.0,118.8,72471.70449999999
SIE,110146.0,2005-05-23,2005-06-18,66.09,60.0,-0.0921,2005-05-23,0.3,0.5,0.366,2005-06-18,0.0,0.1,0.067,0.299,0.0061,0.0879,72352.90449999999,12.0,72000.0,358.8,72711.70449999999
ETH,104455.0,2005-05-23,2005-06-18,32.15,30.0,-0.0669,2005-05-23,0.1,0.35,0.182,2005-06-18,0.0,0.1,0.067,0.11499999999999999,0.0061,0.0879,72352.90449999999,24.0,72000.0,276.0,72628.90449999999
BZH,102064.0,2005-05-23,2005-06-18,51.95,45.0,-0.1338,2005-05-23,0.3,0.35,0.317,2005-06-18,0.0,0.05,0.034,0.28300000000000003,0.007,0.1014,72352.90449999999,16.0,72000.0,452.8,72805.70449999999
ODSY,113123.0,2005-05-23,2005-06-18,13.62,12.5,-0.0822,2005-05-23,0.05,0.25,0.116,2005-06-18,0.0,0.25,0.168,-0.052000000000000005,0.0093,0.1368,72352.90449999999,58.0,72500.0,-301.6,72051.30449999998
EASI,104340.0,2005-05-23,2005-06-18,36.96,35.0,-0.053,2005-05-23,0.5,0.6,0.533,2005-06-18,0.0,0.05,0.034,0.499,0.0152,0.2323,72352.90449999999,21.0,73500.0,1047.9,73400.80449999998
MDC,107084.0,2005-05-23,2005-06-18,72.48,65.375,-0.098,2005-05-23,0.45,0.5,0.467,2005-06-18,0.0,0.05,0.034,0.43300000000000005,0.0071,0.1029,72352.90449999999,11.0,71912.5,476.3,72829.20449999999
SPLS,110464.0,2005-05-23,2005-06-18,21.94,20.0,-0.0884,2005-05-23,0.1,0.15,0.117,2005-06-18,0.0,0.05,0.034,0.083,0.0059,0.0849,72352.90449999999,36.0,72000.0,298.8,72651.70449999999
TTC,111088.0,2005-05-23,2005-06-18,48.52,42.5,-0.1241,2005-05-23,0.15,0.4,0.233,2005-06-18,0.3,0.55,0.468,-0.23500000000000001,0.0055,0.0789,72352.90449999999,17.0,72250.0,-399.5,71953.40449999999
SAFM,109900.0,2005-05-25,2005-06-18,37.83,35.0,-0.0748,2005-05-25,0.2,0.4,0.266,2005-06-18,0.0,0.1,0.067,0.199,0.0076,0.1203,72352.90449999999,21.0,73500.0,417.9,72770.80449999998
DHI,103651.0,2005-05-23,2005-06-18,33.03,30.0,-0.0917,2005-05-23,0.35,0.4,0.366,2005-06-18,0.0,0.05,0.034,0.33199999999999996,0.0122,0.1828,72352.90449999999,24.0,72000.0,796.8,73149.70449999999
WGO,112069.0,2005-05-23,2005-06-18,33.36,30.0,-0.1007,2005-05-23,0.45,0.7,0.532,2005-06-18,0.0,0.05,0.034,0.498,0.0177,0.275,72352.90449999999,24.0,72000.0,1195.2,73548.10449999999
MTH,107452.0,2005-05-23,2005-06-18,73.36,65.0,-0.114,2005-05-23,0.3,0.55,0.383,2005-06-18,0.0,0.25,0.168,0.215,0.0059,0.0849,72352.90449999999,11.0,71500.0,236.5,72589.40449999999
MRK,107430.0,2005-05-23,2005-06-18,32.72,30.0,-0.0831,2005-05-23,0.15,0.2,0.167,2005-06-18,0.0,0.05,0.034,0.133,0.0056,0.0804,72352.90449999999,24.0,72000.0,319.2,72672.10449999999
PHM,109297.0,2005-05-23,2005-06-18,74.49,65.0,-0.1274,2005-05-23,0.55,0.6,0.567,2005-06-18,0.0,0.05,0.034,0.5329999999999999,0.0087,0.1274,72352.90449999999,11.0,71500.0,586.3,72939.20449999999
