end_date,market_value
1996-01-01,1000000
1996-01-21,1002263.4
1996-02-18,1011768.75
1996-03-17,1011543.76
1996-04-21,1019662.05
1996-05-23,1033658.9
1996-06-23,1023294.77
1996-07-21,1001842.4
1996-08-18,1013685.8200000001
1996-09-22,1030781.74
1996-10-20,1040632.43
1996-11-17,1050276.4000000001
1996-12-22,1058862.0
1997-02-07,1065083.6600000001
1997-02-23,1069131.9200000002
1997-03-23,1072069.2500000002
1997-04-20,1074472.6200000003
1997-05-18,1087692.0700000003
1997-06-22,1082574.3600000003
1997-07-20,1092278.7900000003
1997-08-17,1083789.8300000003
1997-09-21,1097565.1900000002
1997-10-19,1103707.87
1997-11-23,1092675.01
1997-12-21,1083938.3599999999
1998-01-18,1094594.2099999997
1998-02-22,1107899.5999999999
1998-03-22,1097654.63
1998-04-19,1095381.9
1998-05-17,1100212.44
1998-06-21,1088496.7399999998
1998-07-19,1099806.8399999996
1998-08-23,1062635.9699999997
1998-09-20,1026593.4399999997
1998-10-18,1032793.2899999997
1998-11-22,1059620.0799999996
1998-12-20,1051262.5999999996
1999-01-17,1060632.0399999996
1999-02-21,1065958.0399999996
1999-03-21,1046316.7499999995
1999-04-18,1055834.1999999997
1999-05-23,1064956.2899999998
1999-06-20,1070828.3999999997
1999-07-24,1063423.8799999997
1999-08-22,1069920.2099999997
1999-09-19,1077402.8699999996
1999-10-19,1083437.8299999996
1999-11-23,1101107.1599999997
1999-12-23,1111245.1899999997
2000-01-23,1118090.8499999996
2000-02-20,1123403.0299999996
2000-03-19,1140762.6699999995
2000-04-23,1155917.9699999995
2000-05-21,1165897.4899999995
2000-06-23,1181385.4699999995
2000-07-26,1196078.1599999995
2000-08-20,1207276.8699999994
2000-09-17,1220932.1099999994
2000-10-22,1208234.2299999995
2000-11-19,1223647.2699999996
2000-12-17,1214685.6799999997
2001-01-22,1230688.9399999997
2001-02-18,1240795.3699999996
2001-03-18,1236306.7899999998
2001-04-22,1267711.9799999997
2001-05-20,1278941.3499999999
2001-06-17,1231129.82
2001-07-23,1252470.37
2001-08-19,1254507.55
2001-09-23,1121860.9200000002
2001-10-21,1134696.77
2001-11-18,1150556.8
2001-12-23,1162446.31
2002-01-20,1169058.01
2002-02-17,1174837.7100000002
2002-03-17,1182323.1400000001
2002-04-21,1193419.59
2002-05-19,1200165.75
2002-06-23,1198321.75
2002-07-21,1143019.31
2002-08-18,1155326.61
2002-09-22,1166551.87
2002-10-20,1159166.1300000001
2002-11-17,1184752.1800000002
2002-12-22,1200574.29
2003-01-19,1216442.69
2003-02-23,1219118.8699999999
2003-03-23,1236084.73
2003-04-20,1253673.05
2003-05-18,1264490.65
2003-06-26,1272915.93
2003-07-28,1277444.38
2003-08-19,1281626.9
2003-10-05,1289403.1799999997
2003-10-21,1293490.3499999996
2003-11-23,1301513.8399999996
2003-12-21,1308877.2099999997
2004-01-18,1311550.3899999997
2004-02-22,1319529.3499999996
2004-03-21,1320399.6099999996
2004-04-18,1333316.4899999995
2004-05-23,1321334.4699999995
2004-06-20,1332353.2299999995
2004-07-18,1335954.4599999995
2004-08-22,1346045.5699999996
2004-09-19,1355150.5599999996
2004-10-17,1353445.0799999996
2004-11-21,1369107.8699999996
2004-12-19,1382600.9199999997
2005-01-23,1391619.2999999996
2005-02-20,1406714.5899999996
2005-03-20,1421480.6799999995
2005-04-17,1426996.3899999997
2005-05-22,1447058.0899999996
2005-06-19,1460584.9899999995
2005-07-17,1472059.9899999995
2005-08-21,1455819.9899999995
2005-09-18,1472137.8399999996
2005-10-23,1463512.3799999994
2005-11-20,1482486.0999999994
2005-12-18,1499068.0899999994
2006-01-22,1507054.3999999992
2006-02-19,1524320.1399999992
2006-03-19,1535159.5899999992
2006-04-23,1550716.8099999991
2006-05-21,1511311.799999999
2006-06-18,1515829.209999999
2006-07-23,1500105.189999999
2006-08-20,1506422.0299999989
2006-09-17,1523010.2199999988
2006-10-22,1543729.6999999988
2006-11-19,1558677.1099999987
2006-12-17,1579975.2999999989
2007-01-21,1586280.7399999988
2007-02-18,1606037.389999999
2007-03-18,1583850.609999999
2007-04-22,1600049.389999999
2007-05-20,1620731.169999999
2007-06-17,1632703.779999999
2007-07-22,1630506.189999999
2007-08-19,1598345.939999999
2007-09-23,1625210.649999999
2007-10-21,1639831.039999999
2007-11-18,1600284.549999999
2007-12-23,1635093.9299999992
2008-01-20,1636966.7299999993
2008-02-17,1682896.7799999993
2008-03-23,1684063.7899999993
2008-04-20,1697515.7399999993
2008-05-18,1731704.6099999994
2008-06-22,1705041.4499999995
2008-07-20,1713172.3999999994
2008-08-18,1717180.1999999993
2008-09-21,1692090.6099999994
2008-10-19,1342536.7099999995
2008-11-23,1178324.0699999996
2008-12-21,1232448.7599999995
2009-01-18,1261916.4999999995
2009-02-23,1272630.3199999996
2009-03-22,1308562.0599999996
2009-04-19,1336501.0699999996
2009-05-17,1380593.0999999996
2009-06-21,1410481.4399999997
2009-07-19,1439031.8099999998
2009-08-23,1456808.8399999999
2009-09-20,1473700.88
2009-10-19,1484539.96
2009-11-22,1464762.4300000002
2009-12-20,1480460.06
2010-01-17,1486441.9900000002
2010-02-21,1499894.4200000002
2010-03-21,1511642.36
2010-04-18,1520854.12
2010-05-23,1477298.0400000003
2010-06-20,1493406.4000000004
2010-07-18,1483688.5100000002
2010-08-22,1498001.62
2010-09-19,1513514.9800000002
2010-10-17,1518363.9500000002
